year (AD) [1-1],age (BP) [1-1],depth (cm) [1-1],SumDiatoms (number/cm2) [1-1],CAL (unitless) [1-1],Acinocyclus. curvatulus (unitless) [1-1],A. octonarius (unitless) [1-1],Actinoptychus spp. (unitless) [1-1],Azpeitia nodulifer (unitless) [1-1],Az. tabularis (unitless) [1-1],Coscinodiscus spp. (unitless) [1-1],Cyclotella spp. (unitless) [1-1],Hemidiscus cuneiformis (unitless) [1-1],Paralia sulcata (unitless) [1-1],Roperia tesselata (unitless) [1-1],Stephanopyxis spp. (unitless) [1-1],Thalassiosira spp. (unitless) [1-1],Chaetoceros spores (unitless) [1-1],year (AD) [2-1],age (BP) [2-1],depth (cm) [2-1],percentOpal (percent) [2-1],CAL (unitless) [2-1],year (AD) [3-1],age (BP) [3-1],depth (cm) [3-1],CAL (unitless) [3-1],LSR (cm/ky) (unitless) [3-1],Bulk MAR (unitless) [3-1],Al (unitless) [3-1],Fe (unitless) [3-1],% Mg (unitless) [3-1],Na (unitless) [3-1],% Ca-detr (unitless) [3-1],% Ca-ex (unitless) [3-1],% CaCO3-ex (unitless) [3-1],% K (unitless) [3-1],P (unitless) [3-1],% Ti (unitless) [3-1],% Mn (unitless) [3-1],ppm Mn (unitless) [3-1],ppm As (unitless) [3-1],ppm Ba (unitless) [3-1],ppm Be (unitless) [3-1],ppm Cd (unitless) [3-1],ppm Co (unitless) [3-1],ppm Cr (unitless) [3-1],ppm Cu (unitless) [3-1],ppm La (unitless) [3-1],ppm Mo (unitless) [3-1],ppm Ni (unitless) [3-1],ppm Pb (unitless) [3-1],ppm Sc (unitless) [3-1],ppm Sr (unitless) [3-1],ppm V (unitless) [3-1],ppm Y (unitless) [3-1],ppm Zr (unitless) [3-1],ppm Zn (unitless) [3-1],% TC (unitless) [3-1],% IC (unitless) [3-1],CaCO3-IC (unitless) [3-1],% OC (unitless) [3-1],ppm Cd/% Mn (unitless) [3-1],ppmBa/%Al (unitless) [3-1],OC-MAR (g) (unitless) [3-1],OC-MAR (mg) (unitless) [3-1],Cd MAR (ug/cm2/ky) (unitless) [3-1],Mo MAR (ug/cm2/ky) (unitless) [3-1],Mn/Mo (unitless) [3-1]
1126.285,823.715,0.5,296436,CAL,6307,6307,0,94607,6307,44150,100915,0,25229,0,0,12614,2560706,1126,824,25,10.76,CAL,1126.285,823.715,1,CAL,29.743,5.491,2.63,1.59,1.46,5.28,0.963,6.937,17.344,0.97,0.23,0.14,0.012,123,18,957,0.6,7,7,124,82.1,13,21,114,8,5.7,430,96,15.1,30.1,152,16.15,2.08,17.333,14.07,569.106,363.878,0.773,772.615,38.439,115.316,5.857
958.181,991.819,5.5,223215,CAL,14881,0,0,44643,14881,44643,59524,0,29762,0,14881,0,1875000,958,992,30,8.97,CAL,958.181,991.819,5,CAL,29.743,5.668,2.65,1.53,1.52,5.55,0.97,5.66,14.15,1.04,0.26,0.14,0.012,123,17,1060,0.6,8,6,123,75.9,12.9,24,120,6,6,399,100,16.4,30.7,164,17.3,1.65,13.75,15.65,650.407,400,0.887,887.024,45.343,136.029,5.125
823.697,1126.303,10.5,171741,CAL,10409,5204,10409,36430,0,5204,46838,0,15613,0,15613,26021,10382514,824,1126,35,13.32,CAL,823.697,1126.303,10,CAL,29.743,6.035,2.71,1.68,1.61,6.33,0.992,4.108,10.27,1.08,0.25,0.15,0.013,127,20,967,0.6,11,7,120,80.5,13.5,37,125,5,6.2,334,126,16.2,31.8,162,16.38,1.11,9.25,15.27,866.142,356.827,0.922,921.567,66.387,223.3,3.432
655.591,1294.409,15.5,229278,CAL,5879,0,5879,17637,23516,41152,58789,0,41152,0,17637,17637,2386831,656,1294,40,10.59,CAL,655.591,1294.409,15,CAL,29.743,7.43,2.64,1.65,1.45,5.34,0.966,7.074,17.684,0.98,0.25,0.14,0.012,124,11,677,0.6,6,6,111,71.3,12.8,23,109,-2,5.8,434,97,14.9,29.7,144,15.66,2.08,17.333,13.58,483.871,256.439,1.009,1008.968,44.579,170.886,5.391
487.486,1462.514,20.5,47176,CAL,0,0,0,11794,0,11794,11794,0,11794,0,0,0,123839,319,1631,50,8.26,CAL,487.486,1462.514,20,CAL,29.743,6.342,2.38,1.39,1.25,4.52,0.871,11.529,28.822,0.84,0.24,0.13,0.011,113,6,683,0.5,4,6,94,55.8,11.5,14,88,3,4.9,624,75,12.8,25,122,14.63,3.51,29.25,11.12,353.982,286.975,0.705,705.227,25.368,88.788,8.071
319.382,1630.619,25.5,240033,CAL,7743,0,23229,38715,7743,30972,46458,7743,38715,0,7743,30972,1734417,151,1799,55,8.93,CAL,319.382,1630.619,25,CAL,29.743,7.425,2.34,1.41,1.24,4.44,0.856,11.544,28.859,0.82,0.21,0.12,0.011,111,10,770,0.5,4,5,105,73,11.3,15,95,-2,4.8,628,78,13.1,25.4,138,15.16,3.46,28.833,11.7,360.36,329.06,0.869,868.744,29.701,111.377,7.4
151.276,1798.724,30.5,48841,CAL,0,0,0,5427,0,5427,32560,0,5427,0,0,0,37987,-17,1967,60,8.81,CAL,151.276,1798.724,30,CAL,29.743,7.509,2.3,1.38,1.23,4.48,0.842,12.958,32.395,0.81,0.22,0.12,0.011,112,5,746,-0.5,4,6,100,61.6,12.1,15,92,-2,4.8,674,77,12.8,26.5,126,14.97,3.27,27.25,11.7,357.143,324.348,0.879,878.535,30.035,112.633,7.467
-16.829,1966.829,35.5,406842,CAL,0,0,18493,138696,0,92464,92464,18493,36986,0,0,9246,647249,-185,2135,65,7.68,CAL,-16.829,1966.829,35,CAL,29.743,8.457,2.38,1.45,1.21,4.1,0.871,12.829,32.072,0.79,0.24,0.12,0.011,114,7,764,0.6,5,6,96,58.7,12.2,14,90,-2,4.8,678,76,12.8,27.1,126,14.83,3.92,32.667,10.91,438.596,321.008,0.923,922.682,42.286,118.401,8.143
-184.934,2134.934,40.5,45460,CAL,0,0,0,22730,0,4546,0,0,18184,0,0,0,63644,-353,2303,70,8.96,CAL,-184.934,2134.934,40,CAL,29.743,8.676,2.54,1.46,1.3,4.39,0.93,10.87,27.176,0.85,0.42,0.13,0.012,120,10,769,0.5,5,6,102,64.6,12.2,14,95,3,5.1,628,77,13.3,28.2,133,14.48,3.24,27,11.24,416.667,302.756,0.975,975.15,43.379,121.46,8.571
-353.038,2303.039,45.5,144499,CAL,0,0,26273,52545,0,26273,19704,6568,6568,0,0,6568,597701,-521,2471,75,9.25,CAL,-353.038,2303.039,45,CAL,29.743,9.108,2.33,1.46,1.18,4.08,0.853,12.547,31.368,0.76,0.26,0.12,0.011,109,7,785,-0.5,5,4,97,60,12.2,15,95,-2,4.7,691,67,12.7,26.2,132,15.12,3.78,31.5,11.34,458.716,336.91,1.033,1032.854,45.54,136.621,7.267
-521.144,2471.144,50.5,162600,CAL,0,0,5807,34843,0,23229,40650,5807,29036,0,11614,11614,3577236,-689,2639,80,5.43,CAL,-521.144,2471.144,50,CAL,29.743,7.527,2.51,1.82,1.31,4.68,0.919,8.151,20.378,0.84,0.22,0.13,0.012,120,8,570,0.6,8,6,114,73.7,13.5,28,121,6,5.2,476,106,14.1,29.3,147,15.94,2.47,20.583,13.47,666.667,227.092,1.014,1013.946,60.22,210.768,4.286
-689.249,2639.249,55.5,243999,CAL,7871,0,23613,70838,7871,55096,39355,0,15742,0,7871,15742,440771,-857,2807,85,7.08,CAL,-689.249,2639.249,55,CAL,29.743,7.369,2.22,1.27,1.1,3.59,0.813,13.987,34.969,0.72,0.21,0.12,0.011,106,3,707,-0.5,4,5,89,55.8,11.1,14,89,-2,4.5,762,74,11.7,24.5,114,14.93,4.38,36.5,10.55,377.358,318.468,0.777,777.469,29.478,103.171,7.571
-857.354,2807.354,60.5,69517,CAL,0,0,0,18538,0,9269,32441,0,9269,0,0,0,64882,-1025,2975,90,8.68,CAL,-857.354,2807.354,60,CAL,29.743,8.457,2.43,1.45,1.21,3.96,0.889,12.711,31.777,0.8,0.26,0.13,0.011,115,10,700,0.6,5,6,102,60.2,13.1,18,96,5,5,692,77,13.4,27.2,135,15.16,3.85,32.083,11.31,434.783,288.066,0.957,956.511,42.286,152.23,6.389
-1025.458,2975.459,65.5,327267,CAL,0,0,18386,47803,0,91929,113992,7354,18386,7354,3677,18386,3063063,-1194,3144,95,14.73,CAL,-1025.458,2975.459,65,CAL,29.743,7.881,2.42,1.39,1.18,3.82,0.886,12.214,30.536,0.77,0.29,0.12,0.011,112,4,775,-0.5,4,5,93,51.1,11.7,15,86,-2,4.9,690,70,12.2,26.7,122,14.9,3.83,31.917,11.07,357.143,320.248,0.872,872.399,31.523,118.211,7.467
-1193.563,3143.564,70.5,167655,CAL,9314,4657,23286,13971,0,37257,18628,4657,9314,4657,9314,32600,14050530,-1362,3312,100,8.1,CAL,-1193.563,3143.564,70,CAL,29.743,6.956,2.26,1.35,1.19,4.34,0.827,9.373,23.432,0.76,0.25,0.11,0.011,106,7,851,-0.5,9,6,97,58.7,11.6,23,98,6,4.7,537,72,12.7,26.2,132,14.91,2.8,23.333,12.11,849.057,376.549,0.842,842.326,62.601,159.979,4.609
-1361.668,3311.669,75.5,173706,CAL,0,5990,0,35939,0,35939,77868,0,5990,0,0,11980,670860,-1530,3480,105,7.47,CAL,-1361.668,3311.669,75,CAL,29.743,8.573,2.81,1.73,1.39,4.36,1.028,6.842,17.104,0.91,0.24,0.14,0.013,128,13,549,0.7,8,6,130,67,13.9,23,121,6,5.9,448,102,14.8,33,163,15.41,2.14,17.833,13.27,625,195.374,1.138,1137.695,68.587,197.189,5.565
-1529.774,3479.773,80.5,162108,CAL,0,7369,3684,51580,3684,22106,55264,3684,11053,0,0,3684,825274,-1698,3648,110,7.45,CAL,-1529.774,3479.773,80,CAL,29.743,8.262,2.35,1.34,1.18,3.67,0.86,12.24,30.6,0.77,0.22,0.12,0.011,111,6,749,0.5,5,5,101,52.1,11.4,19,93,4,4.8,649,78,12.2,26.3,132,16.65,3.88,32.333,12.77,450.45,318.723,1.055,1055.052,41.31,156.977,5.842
-1697.879,3647.878,85.5,96498,CAL,0,0,8391,41955,4196,12587,20978,0,8391,0,0,0,469897,-1866,3816,115,7.98,CAL,-1697.879,3647.878,85,CAL,29.743,8.318,2.68,1.69,1.26,3.73,0.981,11.019,27.548,0.86,0.23,0.14,0.012,124,12,821,0.6,5,5,107,66.2,12.7,21,104,3,5.3,623,83,13.1,28.9,142,15.16,3.46,28.833,11.7,403.226,306.343,0.973,973.176,41.589,174.673,5.905
-1865.984,3815.983,90.5,23860,CAL,0,0,0,11930,0,3977,7953,0,0,0,0,0,83507,-2034,3984,120,7.82,CAL,-1865.984,3815.983,90,CAL,29.743,9.294,2.58,1.6,1.27,3.99,0.944,10.056,25.139,0.84,0.22,0.13,0.012,119,8,829,0.5,7,5,110,64.9,11.8,23,110,2,5.2,574,86,13.4,28.3,144,15.85,3.17,26.417,12.68,588.235,321.318,1.178,1178.481,65.058,213.762,5.174
-2034.089,3984.088,95.5,239427,CAL,0,5321,5321,74488,5321,37244,90450,0,10641,0,0,10641,1191806,-2202,4152,125,8.04,CAL,-2034.089,3984.088,95,CAL,29.743,9.048,2.52,1.62,1.26,3.97,0.922,10.478,26.194,0.83,0.21,0.13,0.012,117,14,669,0.6,7,6,112,66.7,13.7,22,114,6,5.2,582,89,13.7,30.4,148,15.99,3.29,27.417,12.7,598.291,265.476,1.149,1149.048,63.333,199.048,5.318
-2202.193,4152.194,100.5,292063,CAL,0,0,16931,55026,0,55026,139683,8466,12698,0,0,4233,1214815,-2370,4320,130,6.37,CAL,-2202.193,4152.194,100,CAL,29.743,8.922,2.66,1.7,1.32,4.09,0.974,10.326,25.816,0.89,0.22,0.14,0.012,122,13,1010,0.6,6,7,117,67.6,11.8,25,114,-2,5.3,597,93,14.3,28.4,154,16.35,3.12,26,13.23,491.803,379.699,1.18,1180.394,53.533,223.053,4.88
-2370.298,4320.298,105.5,55770,CAL,0,0,0,12870,0,12870,12870,4290,8580,0,0,4290,60060,-2538,4488,135,8.13,CAL,-2370.298,4320.298,105,CAL,29.743,9.787,2.88,1.79,1.32,3.73,1.054,10.946,27.365,0.95,0.19,0.15,0.014,137,7,582,0.7,4,8,111,64.2,13.3,18,107,5,5.8,646,84,14,30.6,148,15.22,3.4,28.333,11.82,291.971,202.083,1.157,1156.799,39.147,176.162,7.611
-2538.403,4488.404,110.5,160134,CAL,0,4214,8428,33713,8428,8428,63211,0,25284,4214,0,4214,2389381,-2707,4657,140,6.4,CAL,-2538.403,4488.404,110,CAL,29.743,9.898,2.69,1.82,1.3,4.07,0.985,10.315,25.789,0.9,0.22,0.14,0.013,127,18,878,0.6,10,7,115,72.2,13.5,24,111,6,5.5,597,93,14.2,29,151,15.58,3.21,26.75,12.37,787.402,326.394,1.224,1224.428,98.984,237.561,5.292
-2706.508,4656.508,115.5,118308,CAL,0,8873,11831,62112,0,17746,8873,0,5915,0,0,2958,103520,-2875,4825,145,5.79,CAL,-2706.508,4656.508,115,CAL,29.743,10.67,2.5,1.52,1.2,3.5,0.915,14.085,35.212,0.83,0.26,0.13,0.012,117,12,737,0.6,4,7,99,57.8,12.6,17,97,4,5.2,779,73,13.1,28.3,130,13.83,4.36,36.333,9.47,341.88,294.8,1.01,1010.457,42.68,181.391,6.882
-2874.613,4824.614,120.5,79182,CAL,0,0,0,35192,0,4399,21995,0,13197,0,0,4399,184758,-3043,4993,150,6.09,CAL,-2874.613,4824.614,120,CAL,29.743,8.876,2.75,1.55,1.3,3.81,1.006,11.594,28.984,0.88,0.26,0.14,0.013,125,-3,816,0.6,5,6,112,62.7,12,18,107,-2,5.4,655,79,14.1,28.2,144,15.52,3.58,29.833,11.94,400,296.727,1.06,1059.748,44.378,159.761,6.944
-3042.718,4992.718,125.5,122548,CAL,0,3501,7003,77031,0,10504,3501,3501,10504,0,0,7003,73529,-3211,5161,155,5.99,CAL,-3042.718,4992.718,125,CAL,29.743,9.294,2.76,1.72,1.29,3.89,1.01,10.29,25.725,0.87,0.21,0.14,0.012,121,12,924,0.6,6,6,132,66.5,11.6,24,119,-2,5.4,588,84,13.9,27.5,149,15.98,3.35,27.917,12.63,495.868,334.783,1.174,1173.834,55.764,223.056,5.042
-3210.823,5160.824,130.5,106769,CAL,0,0,0,46978,4271,12812,34166,4271,4271,0,0,0,149477,-3379,5329,160,9.08,CAL,-3210.823,5160.824,130,CAL,29.743,9.898,2.63,1.57,1.27,3.86,0.963,10.837,27.094,0.86,0.23,0.13,0.012,117,11,907,0.5,6,6,115,63,12.4,23,109,3,5.4,603,85,13.9,29.5,148,15.91,3.45,28.75,12.46,512.821,344.867,1.233,1233.337,59.39,227.662,5.087
-3378.928,5328.928,135.5,73005,CAL,0,0,0,39821,0,16592,3318,0,6637,0,0,6637,209059,-3547,5497,165,5.84,CAL,-3378.928,5328.928,135,CAL,29.743,9.996,2.53,1.51,1.18,3.52,0.926,12.774,31.935,0.81,0.2,0.13,0.012,117,13,838,0.6,6,7,107,60.7,12.4,23,107,5,5.1,690,76,13,28.4,141,15.35,3.77,31.417,11.58,512.821,331.225,1.158,1157.536,59.976,229.908,5.087
-3547.034,5497.033,140.5,44104,CAL,0,0,0,16539,0,5513,5513,0,16539,0,0,0,57887,-3715,5665,170,7,CAL,-3547.034,5497.033,140,CAL,29.743,9.387,2.72,1.68,1.26,3.59,0.996,12.404,31.011,0.85,0.18,0.14,0.012,123,7,737,0.6,5,6,104,59.8,11.4,21,101,-2,5.2,675,75,12.9,27.6,140,14.74,3.87,32.25,10.87,406.504,270.956,1.02,1020.366,46.935,197.127,5.857
