depth (cm),age (bp),age14C (bp),age_error (years),age_type (),lab_id (),material_dated ()
92.5,2243,2220,90,1,4,1
192.5,3612,3360,150,1,6,1
262.5,4933,4390,160,1,5,1
347.5,6829,5970,160,1,3,1
386.5,10221,9240,120,1,1,1
436.5,12923,11000,340,1,2,1
