depth (cm),age (bp),age14C (bp),age_error (years),cal_age_range_old (bp),cal_age_range_young (2_s),age_type (),lab_id (),material_dated (),rejected_dates (),note ()
0,-56,NA,NA,NA,NA,3,NA,NA,NA,1
18.5,NA,780,25,511,475,2,12,1,NA,NA
18.75,NA,465,140,510,NA,1,13,3,NA,NA
21.5,NA,1430,30,994,940,2,10,1,NA,NA
24.5,NA,1585,45,1219,1089,2,1,1,NA,NA
28,NA,1500,140,1530,1264,1,14,3,NA,NA
38.5,NA,3230,40,3043,2921,2,9,1,1,2
54.5,NA,3685,50,3616,3488,2,2,1,NA,NA
58,NA,3950,30,3927,3851,2,8,1,NA,NA
58.5,NA,3920,35,3899,3809,1,7,2,NA,NA
60,NA,3780,55,4235,4065,1,6,3,NA,NA
60,NA,4185,55,4311,4129,2,3,1,NA,NA
83,NA,5300,40,5698,5616,2,11,1,NA,NA
94.5,NA,5785,60,6293,6171,2,4,1,NA,NA
118,NA,6735,55,7359,7243,2,5,1,NA,NA
