age (BP),year (AD),age (BP),age (1s),age (1s),HumidificationIndex (missing)
175,2108,-158,99,86,13
183,2071,-121,93,84,13
191,2033,-83,88,82,12
198,1997,-47,83,80,16
206,1960,-10,78,77,13
214,1923,27,74,75,17
222,1887,63,70,73,NA
230,1851,99,67,71,NA
238,1814,136,65,69,NA
245,1778,172,63,67,NA
253,1743,207,63,65,18
261,1707,243,63,63,24
269,1671,279,65,61,25
277,1636,314,67,60,20
284,1601,349,70,58,20
292,1565,385,73,56,17
300,1530,420,78,54,27
315,1495,455,70,53,19
336,1461,489,55,51,31
357,1426,524,48,50,32
378,1391,559,53,48,34
409,1357,593,59,47,33
448,1322,628,56,45,30
487,1288,662,53,44,32
526,1254,696,51,43,29
566,1220,730,49,41,30
605,1186,764,47,40,30
644,1152,798,46,39,32
683,1118,832,45,38,30
723,1085,865,45,37,31
762,1051,899,45,36,33
801,1018,932,45,35,25
840,985,965,46,34,24
880,951,999,48,34,35
919,918,1032,49,33,34
958,886,1064,51,32,34
997,853,1097,54,32,28
1037,820,1130,56,31,28
1076,788,1162,59,31,27
1115,756,1194,62,30,26
1154,724,1226,65,30,25
1192,692,1258,65,30,28
1229,660,1290,61,30,24
1265,628,1322,58,29,33
1301,597,1353,55,29,35
1338,565,1385,52,29,45
1374,534,1416,50,29,44
1411,503,1447,48,29,16
1447,472,1478,47,29,19
1484,442,1508,47,29,19
1520,411,1539,47,30,26
1556,381,1569,48,30,38
1593,350,1600,50,30,36
1629,320,1630,52,30,19
1666,291,1659,54,30,21
1702,261,1689,57,31,23
1738,231,1719,60,31,20
1775,202,1748,64,31,18
1805,173,1777,64,31,22
1830,144,1806,60,32,34
1855,115,1835,57,32,46
1880,86,1864,54,32,40
1904,58,1892,52,33,42
1929,30,1920,50,33,36
1954,2,1948,49,33,29
1979,-26,1976,48,34,42
2004,-54,2004,48,34,37
2028,-81,2031,48,34,37
2053,-109,2059,50,35,39
2078,-136,2086,51,35,26
2103,-162,2112,54,35,42
2127,-189,2139,56,35,24
2152,-216,2166,60,36,25
2177,-242,2192,63,36,20
2202,-268,2218,67,36,21
2222,-294,2244,66,37,36
2239,-319,2269,60,37,43
2256,-345,2295,56,37,47
2273,-371,2321,55,37,52
2290,-397,2347,56,37,49
2307,-422,2372,60,37,51
2323,-448,2398,65,37,31
2340,-474,2424,73,38,31
2357,-499,2449,81,38,31
2374,-524,2474,90,38,39
2410,-550,2500,74,38,35
2447,-575,2525,69,38,27
2483,-600,2550,77,38,20
2520,-624,2574,96,38,23
2554,-649,2599,104,38,21
