depth (cm),age (BP),temperature (degC),precipitation (mm),age (BP),temperature (degC)
0.25,0,-12.72,634,0,-0.63
1,35,-11.956,778,35,-0.525
2,185,-10.907,957,185,0.262
3,333,-12.435,754,333,-0.542
4,480,-10.328,1080,480,0.625
5,628,-10.921,1117,628,0.365
6,775,-13.471,526,775,-0.875
7,923,-11.662,899,923,-0.091
8,1070,-11.67,850,1070,-0.051
9,1218,-12.905,810,1218,-0.784
10,1366,-10.631,957,1366,0.614
11,1513,-12.727,845,1513,-0.273
12,1661,-12.251,661,1661,-0.145
13,1808,-10.634,952,1808,0.766
14,1956,-11.94,794,1956,0.177
15,2103,-11.549,913,2103,0.359
16,2251,-11.787,663,2251,-0.17
17,2398,-11.503,833,2398,0.225
18,2546,-12.864,657,2546,-0.842
19,2694,-12.109,718,2694,-0.35
20,2841,-11.775,1094,2841,-0.505
21,2989,-13.139,729,2989,-1.077
22,3136,-12.451,625,3136,-0.304
23,3284,-11.52,846,3284,-0.08
24,3431,-12.861,816,3431,-0.511
25,3579,-13.511,582,3579,-0.524
26,3727,-11.491,723,3727,0.133
27,3874,-11.978,687,3874,0.272
28,4022,-12.187,822,4022,-0.007
29,4169,-11.577,699,4169,0.397
30,4317,-11.933,883,4317,0.121
31,4464,-13.922,526,4464,-0.7
32,4612,-12.539,688,4612,0.055
33,4759,-10.856,998,4759,0.554
34,4907,-12.653,885,4907,0.471
35,5055,-13.217,707,5055,-0.183
36,5202,-12.438,607,5202,-0.169
37,5350,-12.161,758,5350,0.557
38,5497,-12.999,706,5497,-0.402
39,5645,-12.559,769,5645,0.381
40,5792,-9.636,955,5792,1.837
41,5940,-13.138,742,5940,-0.278
42,6087,-11.118,650,6087,0.861
43,6235,-12.602,815,6235,0.076
44,6383,-8.866,1240,6383,2.179
45,6530,-10.592,1148,6530,1.51
46,6680,-12.299,895,6680,0.495
47,6825,-12.539,872,6825,0.605
48,6973,-12.546,696,6973,0.399
49,7120,-11.692,886,7120,0.567
50,7268,-12.944,639,7268,-0.343
51,7415,-12.88,952,7415,-0.728
52,7563,-12.604,756,7563,-0.424
53,7711,-12.547,454,7711,-0.642
54,7858,-10.776,794,7858,0.495
55,8006,-12.403,855,8006,-0.868
56,8153,-10.703,905,8153,0.506
57,8301,-11.298,488,8301,0.183
58,8448,-10.647,956,8448,0.585
59,8596,-11.275,994,8596,0.541
60,8744,-12.52,735,8744,-0.15
61,8891,-11.513,1062,8891,0.166
62,9039,-13.525,1055,9039,-1.794
63,9186,-10.723,901,9186,0.334
64,9334,-13.953,710,9334,-1.296
65,9481,-9.124,1200,9481,1.277
66,9629,-10.49,920,9629,-0.837
67,9776,-11.504,251,9776,0.014
68,9924,-14.658,324,9924,-2.273
69,10071,-11.711,394,NA,NA
70,10366,-11.707,714,NA,NA
71,10514,-12.737,283,NA,NA
