depth (cm),age (yrBP),laboratory number (NA),error (yr),type (NA)
160,1120,Beta-91211,90,AMS14C
245,3270,Beta-91212,110,AMS14C
345,5800,Beta-91213,110,AMS14C
385.5,6730,Mazama Ash,40,tephra
450,8660,Beta-91214,110,AMS14C
527.5,10270,Beta-91215,60,AMS14C
