depth (cm),age (BP),D50 (mcm),TOC (percent),TN (percent),Sulfur (percent),C/N (missing)
0.02,371,3.52,1.82,0.25,0.1,7.28
0.06,721,3.08,1.29,0.19,0.1,6.79
0.1,931,5.52,1.94,0.24,0.08,8.08
0.14,1059,4.07,4.01,0.35,0.11,11.46
0.18,1144,4.75,1.66,0.22,0.05,7.55
0.22,1215,3.15,1.78,0.2,0.04,8.9
0.26,1289,3.95,2.28,0.25,0.06,9.12
0.3,1379,4.18,1.75,0.17,0.04,10.29
0.34,1489,4.2,1.51,0.19,0.05,7.95
0.38,1621,4.71,1.12,0.14,0.05,8
0.42,1776,4.68,0.92,0.13,0.06,7.08
0.46,1949,5.53,0.7,0.09,0.03,7.78
0.5,2139,5.85,0.73,0.09,0.03,8.11
0.54,2341,7.42,2.94,0.32,0.07,9.19
0.58,2552,6.06,3.69,0.42,0.15,8.79
0.62,2769,6.49,5.34,0.59,0.15,9.05
0.66,2989,6.04,5.12,0.56,0.2,9.14
0.7,3211,5.28,5.23,0.47,0.15,11.13
0.74,3433,6.57,5.11,0.54,0.16,9.46
0.78,3654,5.39,4.52,0.49,0.17,9.22
0.82,3876,5.61,4.55,0.5,0.14,9.1
0.86,4098,5.68,5.99,0.54,0.28,11.09
0.9,4322,5.37,3.87,0.3,0.1,12.9
0.94,4547,5.11,5.55,0.45,0.14,12.33
0.98,4776,6.45,4.55,0.43,0.13,10.58
1.02,5009,5.01,4.08,0.36,0.11,11.33
1.06,5247,6.96,5.02,0.41,0.11,12.24
1.1,5490,5.02,5.91,0.51,0.24,11.59
1.14,5739,7.58,4.13,0.33,0.17,12.52
1.18,5993,6.85,3.31,0.32,0.12,10.34
1.22,6251,7.14,3.41,0.31,0.12,11
1.26,6513,6.38,3.66,0.35,0.14,10.46
1.3,6778,8.07,5.48,0.34,0.3,16.12
1.34,7042,6.44,2.71,0.27,0.1,10.04
1.38,7305,8.31,3.13,0.27,0.3,11.59
1.42,7565,6.26,3.86,0.38,0.15,10.16
1.46,7817,8.94,1.64,0.16,0.08,10.25
1.5,8061,17.93,0.67,0.07,0.05,9.57
1.54,8294,8.45,0.73,0.08,0.04,9.13
1.58,8514,8.4,1.3,0.13,0.06,10
1.62,8718,16.27,0.82,0.09,0.04,9.11
1.66,8906,7.49,0.7,0.1,0.04,7
1.7,9075,14.09,0.65,0.07,0.04,9.29
1.74,9225,5.86,0.68,0.07,0.04,9.71
1.78,9357,6.47,0.51,0.07,0.05,7.29
1.82,9469,4.85,0.51,0.06,0.04,8.5
1.86,9563,3.15,0.58,0.05,0.04,11.6
1.9,9641,4.01,0.41,0.05,0.04,8.2
1.94,9703,2.46,0.39,0.06,0.04,6.5
1.98,9751,3.42,0.41,0.05,0.02,8.2
2.02,9789,4.03,0.43,0.06,0.02,7.17
2.06,9818,4.66,0.45,0.06,0.02,7.5
2.1,9841,4.34,0.46,0.05,0.05,9.2
2.14,9860,4.82,0.38,0.05,0.04,7.6
2.18,9877,2.92,0.26,0.07,0.04,3.71
2.22,9893,5.94,0.3,0.06,0.05,5
2.26,9911,3.73,0.31,0.06,0.05,5.17
2.3,9929,2.17,0.39,0.06,0.05,6.5
2.34,9948,2.43,0.39,0.05,0.05,7.8
2.38,9968,4.49,0.39,0.05,0.05,7.8
2.42,9986,6.08,0.26,0.03,0.05,8.67
2.46,10000,6.37,0.37,0.04,0.05,9.25
2.5,10009,9.51,0.33,0.04,0.05,8.25
