age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),cal_age_range_old (bp),cal_age_range_young (bp),thickness (mm),age_type (),lab_id (),material_dated (),note ()
-49,NA,0,NA,NA,NA,NA,NA,NA,2,NA,NA,1
2580,22,170,270,2480,80,2740,2360,100,1,6,1,NA
3370,38.5,350,420,3150,70,3450,3270,70,1,1,1,NA
5600,64.5,610,680,4880,130,5910,5480,70,1,2,1,NA
7250,90.5,870,940,6330,110,7240,7100,70,1,3,1,NA
8340,116.5,1130,1200,7490,90,8390,8180,70,1,4,1,NA
10750,142.5,1390,1460,9520,160,11140,1550,70,1,5,1,NA
