year (AD),age (BP),MTWM (degC)
1950,0,19.4
1900,50,19.396
1850,100,19.393
1800,150,19.389
1750,200,19.385
1700,250,19.381
1650,300,19.378
1600,350,19.374
1550,400,19.37
1500,450,19.366
1450,500,19.363
1400,550,19.359
1350,600,19.355
1300,650,19.351
1250,700,19.348
1200,750,19.344
1150,800,19.644
1100,850,19.664
1050,900,19.576
1000,950,19.657
950,1000,19.557
900,1050,19.557
850,1100,19.592
800,1150,19.706
750,1200,19.505
700,1250,19.433
650,1300,19.709
600,1350,19.839
550,1400,19.711
500,1450,19.621
450,1500,19.648
400,1550,19.675
350,1600,19.679
300,1650,19.668
250,1700,19.658
200,1750,19.694
150,1800,19.732
100,1850,19.754
50,1900,19.743
0,1950,19.732
-50,2000,19.773
-100,2050,19.838
-150,2100,19.899
-200,2150,19.889
-250,2200,19.879
-300,2250,19.869
-350,2300,19.859
-400,2350,19.734
-450,2400,19.721
-500,2450,19.748
-550,2500,19.765
-600,2550,19.716
-650,2600,19.667
-700,2650,19.632
-750,2700,19.61
-800,2750,19.589
-850,2800,19.626
-900,2850,19.672
-950,2900,19.723
-1000,2950,19.814
-1050,3000,19.899
-1100,3050,19.797
-1150,3100,19.73
-1200,3150,19.906
-1250,3200,19.884
-1300,3250,19.89
-1350,3300,19.565
-1400,3350,19.732
-1450,3400,19.669
-1500,3450,19.617
-1550,3500,19.743
-1600,3550,19.717
-1650,3600,19.81
-1700,3650,19.579
-1750,3700,19.521
-1800,3750,19.706
-1850,3800,19.933
-1900,3850,19.489
-1950,3900,19.593
-2000,3950,19.827
-2050,4000,19.666
-2100,4050,19.85
-2150,4100,19.801
-2200,4150,19.591
-2250,4200,19.851
-2300,4250,19.602
-2350,4300,19.858
-2400,4350,19.673
-2450,4400,19.525
-2500,4450,19.469
-2550,4500,19.676
-2600,4550,19.79
-2650,4600,19.87
-2700,4650,19.901
-2750,4700,19.974
-2800,4750,19.997
-2850,4800,19.8
-2900,4850,19.66
-2950,4900,19.537
-3000,4950,19.686
-3050,5000,19.79
-3100,5050,19.476
-3150,5100,19.683
-3200,5150,19.767
-3250,5200,19.886
-3300,5250,19.578
-3350,5300,19.861
-3400,5350,19.74
-3450,5400,19.784
-3500,5450,19.768
-3550,5500,19.814
-3600,5550,19.814
-3650,5600,19.807
-3700,5650,19.968
-3750,5700,19.778
-3800,5750,19.842
-3850,5800,19.647
-3900,5850,19.66
-3950,5900,19.967
-4000,5950,19.725
-4050,6000,19.951
-4100,6050,19.914
-4150,6100,19.815
-4200,6150,19.758
-4250,6200,19.913
-4300,6250,20.094
-4350,6300,20.102
-4400,6350,19.933
-4450,6400,19.834
-4500,6450,19.92
-4550,6500,20.118
-4600,6550,20.061
-4650,6600,19.84
-4700,6650,19.755
-4750,6700,19.909
-4800,6750,20.003
-4850,6800,19.781
-4900,6850,20.351
-4950,6900,20.412
-5000,6950,20.449
-5050,7000,20.434
-5100,7050,20.384
-5150,7100,20.501
-5200,7150,20.586
-5250,7200,20.586
-5300,7250,20.501
-5350,7300,20.506
-5400,7350,20.502
-5450,7400,20.433
-5500,7450,20.382
-5550,7500,20.486
-5600,7550,20.486
-5650,7600,20.474
-5700,7650,20.527
-5750,7700,20.439
-5800,7750,20.314
-5850,7800,20.357
-5900,7850,20.499
-5950,7900,20.565
-6000,7950,20.55
-6050,8000,20.536
-6100,8050,20.289
-6150,8100,20.19
-6200,8150,20.429
-6250,8200,20.429
-6300,8250,20.375
-6350,8300,20.346
-6400,8350,20.228
-6450,8400,19.992
-6500,8450,20.012
-6550,8500,19.946
-6600,8550,19.842
-6650,8600,19.567
-6700,8650,19.759
-6750,8700,20.086
-6800,8750,19.948
-6850,8800,19.917
-6900,8850,20.145
-6950,8900,19.515
-7000,8950,19.495
-7050,9000,19.979
-7100,9050,19.677
-7150,9100,19.707
-7200,9150,20.005
-7250,9200,19.263
-7300,9250,19.286
-7350,9300,19.31
-7400,9350,19.329
-7450,9400,19.329
-7500,9450,19.329
-7550,9500,19.329
-7600,9550,19.329
-7650,9600,19.32
-7700,9650,19.312
-7750,9700,19.303
-7800,9750,19.274
-7850,9800,19.231
-7900,9850,19.189
-7950,9900,19.155
-8000,9950,19.147
-8050,10000,19.138
-8100,10050,19.13
-8150,10100,19.101
-8200,10150,19.069
-8250,10200,19.037
-8300,10250,19.005
-8350,10300,18.973
-8400,10350,18.942
-8450,10400,18.928
-8500,10450,19.025
-8550,10500,19.123
-8600,10550,19.22
-8650,10600,19.314
-8700,10650,19.407
-8750,10700,19.501
-8800,10750,19.52
-8850,10800,19.427
-8900,10850,19.334
-8950,10900,19.24
-9000,10950,19.122
-9050,11000,19.003
