depth (cm),age (BP),temperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing),Commentregardingreliability1 (missing)
1.5,-60,14.317,12.875,15.76,Y,NA
6.0,-50,13.758,12.332,15.183,Y,NA
10.0,-40,13.029,11.601,14.457,Y,NA
16.0,-32,13.922,12.456,15.387,Y,NA
20.0,30,13.989,12.533,15.446,Y,NA
Gap,NA,NA,NA,NA,NA,Gap in the sedimetary profile
39.0,602,13.016,11.574,14.459,Y,NA
42.0,697,13.291,11.87,14.713,Y,NA
44.0,759,13.072,11.651,14.492,Y,NA
46.0,818,13.446,12.038,14.854,Y,NA
48.0,876,13.028,11.621,14.435,Y,NA
52.0,983,13.318,11.907,14.728,Y,NA
56.0,1080,13.752,12.345,15.159,Y,NA
63.0,1228,13.493,12.081,14.904,Y,NA
67.0,1247,13.567,12.172,14.962,Y,NA
71.0,1369,13.739,12.337,15.141,Y,NA
73.0,1401,13.738,12.338,15.139,Y,NA
79.0,1493,13.851,12.432,15.27,Y,NA
83.0,1551,14.359,12.943,15.775,Y,NA
87.0,1610,13.677,12.267,15.088,Y,NA
91.0,1669,13.872,12.466,15.278,Y,NA
95.0,1731,13.749,12.35,15.148,Y,NA
99.0,1795,13.701,12.298,15.104,Y,NA
103.0,1862,14.181,12.772,15.591,Y,NA
107.0,1932,13.835,12.438,15.233,Y,NA
111.0,2005,13.975,12.559,15.392,Y,NA
115.0,2080,13.971,12.56,15.382,Y,NA
119.0,2159,13.738,12.319,15.157,Y,NA
123.0,2241,14.122,12.695,15.548,Y,NA
127.0,2326,13.519,12.103,14.934,Y,NA
131.0,2415,14.028,12.6,15.457,Y,NA
135.0,2507,14.066,12.602,15.529,Y,NA
139.0,2602,13.729,12.288,15.169,Y,NA
143.0,2701,13.838,12.34,15.335,Y,NA
147.0,2804,13.817,12.314,15.321,Y,NA
151.0,2911,14.25,12.777,15.723,Y,NA
155.0,3021,14.001,12.431,15.571,Y,NA
159.0,3135,14.425,12.896,15.954,Y,NA
162.0,3224,13.52,12.106,14.934,Y,NA
166.0,3345,13.753,12.337,15.169,Y,NA
170.0,3471,13.713,12.305,15.12,Y,NA
174.0,3600,13.629,12.229,15.028,Y,NA
178.0,3735,14.019,12.612,15.427,Y,NA
182.0,3873,13.783,12.38,15.185,Y,NA
186.0,4016,13.955,12.533,15.378,Y,NA
190.0,4164,14.123,12.7,15.546,Y,NA
194.0,4317,14.043,12.627,15.46,Y,NA
198.0,4474,14.692,13.25,16.134,Y,NA
202.0,4636,14.359,12.943,15.775,Y,NA
206.0,4803,14.033,12.597,15.468,Y,NA
210.0,4973,14.308,12.868,15.748,Y,NA
214.0,5148,13.921,12.485,15.357,Y,NA
218.0,5326,14.155,12.708,15.602,Y,NA
222.0,5597,13.962,12.53,15.395,Y,NA
226.0,5689,13.824,12.384,15.264,Y,NA
230.0,5874,13.344,11.938,14.75,Y,NA
234.0,6061,13.95,12.502,15.397,Y,NA
238.0,6248,13.297,11.888,14.706,Y,NA
242.0,6436,13.734,12.278,15.19,Y,NA
246.0,6625,13.675,12.221,15.129,Y,NA
