year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr)
900,1050,1045.328,27.36,4.46,80.878
751.2,1198.8,1207.059,27.14,4.37,151.331
602.5,1347.5,1355.494,27.73,4.61,201.2
453.7,1496.3,1504.193,27.71,4.6,235.221
305,1645,1653.043,27.54,4.53,259.722
156.2,1793.8,1802.004,28.06,4.75,277.244
7.5,1942.5,1951.054,27.76,4.62,289.066
-141.2,2091.2,2100.182,27.16,4.38,295.873
-290,2240,2249.382,28.27,4.84,298.016
-438.8,2388.8,2398.653,27.73,4.61,295.598
-587.5,2537.5,2547.996,27.49,4.51,288.511
-736.2,2686.2,2697.417,28.04,4.74,276.401
-885,2835,2846.928,28.2,4.81,258.574
-1033.8,2983.8,2996.548,27.92,4.69,233.738
-1182.5,3132.5,3146.321,28.23,4.82,199.318
-1331.2,3281.2,3296.358,27.41,4.48,148.868
-1480,3430,3447.756,27.46,4.5,66.435
-1639.6,3589.6,3608.763,27.78,4.63,159.007
-1799.1,3749.1,3771.108,27.8,4.64,218.22
-1958.7,3908.7,3933.689,27.73,4.61,262.567
-2118.2,4068.2,4096.396,28.13,4.78,298.717
-2277.8,4227.8,4259.187,28.16,4.79,329.368
-2596.9,4546.9,4584.94,27.85,4.66,379.276
-2916,4866,4910.855,28.2,4.81,418.35
-3075.6,5025.6,5073.86,27.87,4.67,434.765
-3235.1,5185.1,5236.89,27.09,4.35,449.412
-3394.7,5344.7,5399.945,27.51,4.52,462.455
-3873.3,5823.3,5889.233,27.95,4.7,493.162
-4192.4,6142.4,6215.518,29.03,5.18,507.427
-4511.6,6461.6,6541.87,27.87,4.67,517.224
-4830.7,6780.7,6868.284,28.18,4.8,522.8
-4990.2,6940.2,7031.514,27.87,4.67,524.051
-5149.8,7099.8,7194.759,27.78,4.63,524.288
-5309.3,7259.3,7358.02,27.87,4.67,523.512
-5468.9,7418.9,7521.295,27.9,4.68,521.719
-5628.4,7578.4,7684.586,27.92,4.69,518.898
-5788,7738,7847.893,27.85,4.66,515.031
-5947.6,7897.6,8011.216,28.16,4.79,510.094
-6107.1,8057.1,8174.555,27.49,4.51,504.056
-6266.7,8216.7,8337.911,27.76,4.62,496.876
-6426.2,8376.2,8501.286,28.48,4.93,488.503
-6585.8,8535.8,8664.68,28.16,4.79,478.875
-6745.3,8695.3,8828.094,27.49,4.51,467.912
-6904.9,8854.9,8991.53,27.26,4.42,455.519
-7064.4,9014.4,9154.99,28.25,4.83,441.575
-7224,9174,9318.476,28.39,4.89,425.925
-7383.6,9333.6,9481.991,28.13,4.78,408.374
-7543.1,9493.1,9645.541,27.78,4.63,388.662
-7702.7,9652.7,9809.131,28.57,4.97,366.44
-7862.2,9812.2,9972.769,28.43,4.91,341.214
-8341,10291,10464.161,27.54,4.53,237.517
-8660,10610,10791.239,27.46,4.5,114.174
-8943,10893,11042.123,27.44,4.49,214.462
-9226,11176,11292.179,27.59,4.55,279.077
-9509,11459,11542.55,27.26,4.42,326.624
-9822,11772,11793.095,27.04,4.33,363.889
-10167,12117,12043.761,27.16,4.38,393.812
-10339,12289,12169.13,26.35,4.07,406.545
-10683,12633,12419.927,26.43,4.1,428.219
-10856,12806,12545.353,26.15,4,437.349
-11028,12978,12670.795,26.91,4.28,445.438
-11200,13150,12796.253,26.54,4.14,452.542
-11338,13288,12896.629,26.64,4.18,457.546
-11372,13322,12921.725,26.56,4.15,458.706
-11544,13494,13047.211,27.46,4.5,463.969
-11682,13632,13147.609,26.64,4.18,467.55
-11717,13667,13172.71,27.26,4.42,468.36
-11889,13839,13298.223,26.72,4.21,471.905
-12027,13977,13398.643,27.06,4.34,474.145
-12061,14011,13423.749,26.62,4.17,474.623
-12371,14321,13649.726,26.4,4.09,477.472
-12406,14356,13674.837,25.67,3.83,477.628
-12716,14666,13900.859,26.26,4.04,477.602
-12750,14700,13925.975,26.01,3.95,477.439
-12876,14826,14152.041,25.44,3.75,474.538
-12890,14840,14177.162,26.1,3.98,474.054
-13016,14966,14403.273,26.13,3.99,468.218
-13156,15106,14654.558,25.9,3.91,458.51
-13436,15386,15157.299,26.93,4.29,427.93
-13576,15526,15408.769,26.07,3.97,406.221
-13716,15666,15660.321,26.18,4.01,379.307
-13856,15806,15911.975,25.73,3.85,345.976
-13996,15946,16163.766,26.32,4.06,304.132
-14136,16086,16415.77,25.56,3.79,249.537
-14276,16226,16668.227,26.04,3.96,170.362
