depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,0,14.229,-8.4,1.97,508.143
1,201,14.157,-8.257,1.96,499.429
3,527,14.243,-8.643,1.887,516.286
5,751,12.957,-10.329,0.515,474.429
7,1081,14.157,-8.257,1.96,499.429
9,1387,14.171,-9.371,1.675,434.857
11,1755,14.229,-8.4,1.97,508.143
13,2146,13.043,-10.471,0.542,482.857
17,2917,13.1,-10.443,0.616,486.429
21,3750,13.043,-10.471,0.542,482.857
23,4200,13.343,-9.729,0.995,440.857
25,4682,13.729,-10.271,1.1,492.571
27,5092,13.343,-9.729,0.995,440.857
29,5550,13.171,-10.029,0.768,457.143
31,6010,14.029,-9.929,1.358,450.571
33,6606,13.343,-9.729,0.995,440.857
35,7288,14.243,-9.357,1.727,432.143
37,7593,13.171,-10.029,0.768,457.143
39,7768,13.543,-9.943,1.043,442
41,7963,13.171,-10.029,0.768,457.143
43,8162,14.243,-9.357,1.727,432.143
45,8366,14,-9.671,1.448,451.143
49,8819,14.029,-9.929,1.358,450.571
51,9103,13.843,-9.614,1.417,444.571
53,9401,13.343,-9.729,0.995,440.857
55,9525,16.057,-8.343,3.356,404.571
57,9640,13.757,-10.143,1.115,474.286
