depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
20,21.8,22.329,-5.214,9.312,908.143
40,43.6,22.329,-5.214,9.312,908.143
60,65.5,22.343,-5.486,9.206,908.714
80,87.3,22.329,-5.214,9.312,908.143
85,92.7,22.329,-5.214,9.312,908.143
95,103.6,22.329,-5.214,9.312,908.143
115,250.2,22.314,-5.429,9.173,886
130,640.8,22.257,-5.471,9.092,858.571
150,1161.7,22.271,-5.486,9.12,888
170,1682.5,22.314,-5.429,9.173,886
185,2027.3,22.514,-4.843,9.586,928.143
195,2196,22.343,-5.486,9.206,908.714
210,2449,23.629,-3.814,10.743,948.857
230,2786.5,22.929,-4.6,9.96,937.286
250,3123.9,22.143,-6.386,8.652,829
270,3461.3,22.229,-5.443,9.061,828.571
290,3798.7,22.257,-5.471,9.092,858.571
310,4136.1,22.843,-5.271,9.624,895.143
320,4304.8,22.171,-5.457,9.031,829
335,4557.9,22.229,-5.443,9.061,828.571
345,4726.6,22.114,-5.514,8.996,844.714
365,5064,22.114,-6.157,8.717,823
385,5401.4,22.171,-5.514,9.011,831.857
425,6076.2,22.171,-5.514,9.011,831.857
435,6244.9,22.543,-5.129,9.44,864
450,6498,22.114,-5.514,8.996,844.714
470,6835.4,22.171,-5.5,9.012,831.286
485,7088.5,22.171,-5.5,9.012,831.286
493,7223.4,22.171,-5.514,9.011,831.857
516,7611.5,22.229,-5.443,9.061,828.571
530,7847.6,22.229,-5.443,9.061,828.571
550,8185.1,22.229,-5.443,9.061,828.571
570,8522.5,22.071,-6.029,8.742,831.429
590,8859.9,22.143,-6.371,8.635,822.429
605,9112.9,22.229,-5.443,9.061,828.571
615,9281.6,22.1,-6.886,8.437,808.571
630,9534.7,22.1,-6.457,8.576,818.429
650,9872.1,22.286,-5.729,8.973,815.286
665,10125.2,22.314,-6.157,8.807,802.286
675,10293.9,22.314,-6.157,8.807,802.286
685,10462.6,22.171,-5.943,8.811,817.143
698,10681.9,22.114,-6.329,8.621,815.714
705,10800,20.9,-9.043,6.719,804.286
710,11325,NA,NA,NA,NA
715,11850,NA,NA,NA,NA
720,12375,NA,NA,NA,NA
725,12900,NA,NA,NA,NA
730,13103.3,NA,NA,NA,NA
735,13306.7,NA,NA,NA,NA
745,13713.3,NA,NA,NA,NA
755,14120,NA,NA,NA,NA
765,14526.7,NA,NA,NA,NA
775,14933.3,NA,NA,NA,NA
785,15340,NA,NA,NA,NA
793,15665.3,NA,NA,NA,NA
805,16153.3,NA,NA,NA,NA
815,16560,NA,NA,NA,NA
