age (Calibrated),temperature (degC),reliable (missing)
12,14.337,Y
209,14.706,Y
471,13.605,Y
733,15.012,Y
864,14.084,Y
999,12.255,Y
1015,11.429,Y
1032,12.96,Y
1067,12.986,Y
1106,14.04,Y
1145,13.447,Y
1316,12.178,Y
1468,10.56,Y
1518,11.304,Y
1568,10.606,Y
1668,10.335,Y
1718,13.299,Y
1768,13.517,Y
1818,14.219,Y
1868,12.468,Y
1968,12.92,Y
2140,13.904,Y
2336,12.197,Y
2532,13.135,Y
2628,11.889,Y
2724,12.081,Y
2820,10.918,Y
3016,11.517,Y
3409,12.102,Y
3802,10.348,Y
4304,12.568,Y
4806,9.226,Y
