depth (cm),age (BP),MAP_updated (mm/yr),DWHI (missing),MAP (mm/yr)
5,-40,2466,0.74,1855
15,171,2236,0.68,1730
25,314,2061,0.63,1635
35,461,1900,0.58,1549
45,609,2095,0.64,1653
55,761,2061,0.63,1635
65,915,1779,0.54,1486
75,1073,1463,0.42,1321
85,1233,1512,0.44,1346
115,1727,1667,0.5,1427
125,1900,1640,0.49,1413
135,2078,1931,0.59,1566
145,2263,1839,0.56,1517
155,2457,1694,0.51,1441
165,2659,1439,0.41,1309
175,2874,1487,0.43,1333
185,3100,1284,0.34,1230
195,3338,1722,0.52,1456
205,3585,1931,0.59,1566
215,3836,1779,0.54,1486
225,4088,1809,0.55,1501
235,4335,2095,0.64,1653
245,4571,1963,0.6,1583
255,4797,1722,0.52,1456
265,5009,1931,0.59,1566
275,5209,1839,0.56,1517
285,5398,1779,0.54,1486
295,5577,1722,0.52,1456
315,5915,1694,0.51,1441
325,6077,2310,0.7,1770
335,6236,1839,0.56,1517
345,6393,1667,0.5,1427
355,6549,1751,0.53,1470
365,6705,2095,0.64,1653
375,6862,1751,0.53,1470
385,7018,1931,0.59,1566
395,7177,1463,0.42,1321
425,7675,1164,0.28,1169
435,7847,1145,0.27,1160
445,8021,1164,0.28,1169
455,8197,1073,0.23,1124
465,8375,973,0.17,1075
475,8553,1038,0.21,1107
485,8731,1073,0.23,1124
495,8910,1127,0.26,1151
515,9266,868,0.1,1024
525,9443,957,0.16,1067
535,9620,897,0.12,1037
545,9796,840,0.08,1010
555,9972,868,0.1,1024
565,10147,826,0.07,1004
575,10321,1038,0.21,1107
585,10495,826,0.07,1004
592.5,10626,973,0.17,1075
597.5,10713,840,0.08,1010
602.5,10800,854,0.09,1017
607.5,10887,1005,0.19,1090
612.5,10973,1751,0.53,1470
617.5,11059,3049,0.87,2179
