depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
834,Carbon-14,110930,90,1140,gyttja,NA
888,Carbon-14,110931,70,2130,gyttja,NA
938,Carbon-14,110932,80,2900,gyttja,NA
996,Carbon-14,110933,80,3820,gyttja,NA
1061,Carbon-14,110934,80,4520,gyttja,NA
1104,Carbon-14,110935,80,5680,gyttja,NA
1158,Carbon-14,110936,100,6720,gyttja,NA
1212,Carbon-14,110937,100,8210,gyttja,NA
1266,Carbon-14,110938,100,9160,gyttja,NA
1305,Carbon-14,110939,130,9920,gyttja,NA
