depth (m),age (BP),temperature (permil),depth (m),age (BP),temperature (degC)
5,630,-0.07,0,0,24.6
10,1260,-0.33,10,1260,20.72
15,1880,0.633,15,1880,20.19
20,2510,0.426,25,3140,21.54
25,3140,0.496,30,3770,20.58
30,3770,0.622,50,6110,22.11
35,4360,0.185,60,6560,20.86
40,4660,0.041,70,7010,21.45
45,5250,0.076,80,7340,21.87
50,5840,-0.273,90,7510,20.76
55,6340,-0.514,112,7910,23.55
60,6560,-0.77,121,8000,22.2
65,6790,-0.86,130,8060,19.74
70,7010,-0.861,139,8110,20.34
75,7260,-0.638,148,8170,22.39
80,7340,-1.343,160,8240,22.67
85,7430,-0.922,175,8240,21.07
90,7510,-0.655,193,8330,20.73
95,7600,-0.374,215,8530,21.55
100,7690,-1.048,224,8560,22.96
103,7750,-1.21,233,8590,19.87
106,7800,-1.233,257,8660,20.52
109,7850,-1.303,266,8690,19.07
112,7910,-1.007,275,8710,19.38
115,7960,-1.372,290,8760,21.57
118,7980,-1.356,309,8810,20.42
121,8000,-1.392,333,8860,20.53
124,8020,-1.261,351,8870,19.42
127,8040,-0.992,369,8890,20.38
130,8060,-0.814,393,8940,23.89
133,8080,-0.742,409,9000,19.18
136,8090,-0.866,430,9090,20.63
139,8110,-0.804,451,9180,20.25
142,8130,-0.747,469,9230,23.49
145,8150,-0.762,484,9290,20.65
148,8170,-1.179,506,9370,22.84
151,8190,-1.24,515,9400,18.3
154,8200,-1.239,530,9450,20.32
157,8220,-1.333,554,9550,22.1
160,8240,-0.987,NA,NA,NA
163,8260,-1.204,NA,NA,NA
166,8280,-1.102,NA,NA,NA
169,8290,-1.148,NA,NA,NA
172,8310,-0.991,NA,NA,NA
175,8330,-1.332,NA,NA,NA
178,8340,-1.22,NA,NA,NA
181,8350,-1.402,NA,NA,NA
184,8360,-1.445,NA,NA,NA
187,8370,-1.402,NA,NA,NA
190,8380,-1.488,NA,NA,NA
193,8390,-0.694,NA,NA,NA
196,8400,-0.897,NA,NA,NA
199,8420,-1.038,NA,NA,NA
203,8450,-0.977,NA,NA,NA
206,8470,-1.346,NA,NA,NA
209,8490,-1.429,NA,NA,NA
