depth (cm),age (BP),BSi (percent),mineral_flux (grains>255 micron/cm2/yr)
48,1521.231,5.2,0.302
50,1560,6.394,0.364
52,1598.769,7.102,0.433
54,1637.538,8.082,0.571
56,1676.308,7.992,0.253
58,1715.077,8.982,0.202
60,1753.846,8.073,0.074
62,1792.615,9.395,0.062
64,1831.385,8.534,0.064
66,1870.154,10.865,0.071
68,1908.923,9.995,0.313
70,1947.692,7.621,0.261
72,1986.462,9.496,0.382
74,2025.231,9.6,0.377
76,2064,8.478,0.671
78,2102.769,9.265,0.373
80,2141.538,9.65,0.21
82,2180.308,9.3,0.419
84,2219.077,7.96,0.472
86,2257.846,6.262,0.384
88,2296.615,7.055,0.746
90,2335.385,6.807,0.643
92,2374.154,6.054,1.009
94,2412.923,5.931,0.625
96,2451.692,7.799,0.651
98,2490.462,7.943,0.745
100,2529.231,7.844,0.949
102,2568,8.782,0.649
104,2606.769,9.178,1.214
106,2645.538,8.379,0.738
108,2684.308,8.256,0.55
110,2723.077,8.723,0.391
112,2761.846,9.237,0.47
114,2800.615,7.997,0.279
116,2839.385,8.144,0.427
118,2878.154,8.124,0.31
120,2916.923,9.852,0.3
122,2955.692,10.836,0.234
124,2994.462,8.46,0.266
126,3033.231,9.537,0.919
128,3072,10.461,0.212
130,3110.769,9.315,0.393
132,3149.538,8.995,0.322
134,3188.308,13.024,0.245
136,3227.077,11.473,0.187
138,3265.846,9.128,0.367
140,3304.615,10.171,0.457
142,3343.385,10.957,0.097
144,3382.154,10.664,NA
146,3420.923,10.08,0.481
148,3459.692,11.685,0.238
150,3498.462,11.789,0.214
152,3537.231,11.187,0.578
154,3576,13.699,0.303
156,3614.769,14.209,0.113
158,3653.538,14.37,0.182
160,3692.308,13.325,0.212
162,3731.077,13.972,0.192
164,3769.846,15.34,0.284
166,3808.615,16.007,0.285
168,3847.385,17.738,0.551
170,3886.154,19.466,0.33
172,3924.923,19.721,0.203
174,3963.692,17.86,0.261
176,4002.462,15.538,0.272
178,4041.231,10.697,0.457
180,4080,4.858,0.221
182,4131.429,12.289,0.134
184,4182.857,19.494,0.133
186,4234.286,20.3,0.138
188,4285.714,21.272,0.093
190,4337.143,22.024,0.074
192,4388.571,22.726,0.131
