age (bp),depth (cm),depth_top (mm),depth_bot (mm),age14C (bp),error (1s),cal_age_range_young (2s),cal_age_range_old (2s),thickness (mm),age_type (),lab_id (),type ()
855,7.5,70,80,935,15,795,915,10,1,8,6
1118,79.5,790,800,1190,20,1062,1173,10,1,14,2
2626,149.5,1490,1500,2535,15,2511,2740,10,1,9,5
3929,209.5,2090,2100,3620,15,3879,3979,10,1,10,3
4480,214.5,2140,2150,4020,15,4434,4525,10,1,7,7
4726,264.5,2640,2650,4170,20,4624,4827,10,1,6,9
5954,319.5,3190,3200,5200,15,5918,5990,10,1,11,1
6312,359.5,3590,3600,5520,40,6221,6402,10,1,13,2
7819,415.5,4150,4160,6970,25,7716,7921,10,1,12,4
9476,464.5,4640,4650,8435,25,9432,9519,10,1,4,8
11314,532.5,5320,5330,9910,25,11241,11386,10,1,5,9
11513,553.5,5530,5540,10015,25,11330,11695,10,1,3,7
11555,665.5,6650,6660,10040,30,11359,11750,10,1,1,10
12799,680.5,6800,6810,10945,30,12659,12938,10,1,2,7
