depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
1197,Carbon-14,110172,70,300,gyttja,Dates all have a carbonate error.
1455,Carbon-14,110173,70,3870,gyttja,NA
1811,Carbon-14,110174,100,5750,gyttja,NA
2007,Carbon-14,110175,120,10140,gyttja,NA
2048,Carbon-14,110176,180,11750,clay gyttja,NA
2104,Carbon-14,110177,310,14680,clay/gyttja,NA
