depth (cm),age (BP),MS (cgs)
0.5,-56,-1
1,-44.292,-1
1.5,-32.554,0
2,-20.785,16
2.5,-8.986,192
3,2.843,318
3.5,14.703,373
4,26.592,274
4.5,38.512,288
5,50.461,260
5.5,62.441,286
6,74.45,371
6.5,86.488,382
7,98.556,371
7.5,110.653,376
8,122.78,340
8.5,134.936,402
9,147.12,441
9.5,159.334,469
10,171.577,465
10.5,183.848,458
11,196.148,421
11.5,208.477,383
12,220.834,337
12.5,233.22,341
13,245.633,257
13.5,258.075,311
14,270.545,299
14.5,283.043,349
15,295.568,267
15.5,308.122,295
16,320.703,401
16.5,333.312,419
17,345.948,280
17.5,358.611,222
18,371.302,230
18.5,384.02,171
19,396.764,232
19.5,409.536,171
20,422.335,241
20.5,435.16,169
21,448.012,186
21.5,460.891,145
22,473.795,171
22.5,486.727,161
23,499.684,130
23.5,512.668,137.1
24,525.677,196.2
24.5,538.713,159.2
25,551.774,164.3
25.5,564.862,161.3
26,577.974,198.2
26.5,591.113,192.1
27,604.276,183.6
27.5,617.465,218.7
28,630.679,162.9
28.5,643.919,222
29,657.183,262
29.5,670.472,150
30,683.786,153
30.5,697.125,288
31,710.489,210
31.5,723.876,325
32,737.289,445
32.5,750.725,421
33,764.186,406
33.5,777.671,358
34,791.18,472
34.5,804.713,403
35,818.269,384
35.5,831.85,293
36,845.454,341
36.5,859.081,442
37,872.732,402
37.5,886.406,388
38,900.103,366
38.5,913.823,381.9
39,927.567,367.8
39.5,941.333,377.7
40,955.122,377.7
40.5,968.934,391.6
41,982.768,372.5
41.5,996.625,389.3
42,1010.504,294.2
42.5,1024.405,271.1
43,1038.329,227.1
43.5,1052.275,277.1
44,1066.242,315.2
44.5,1080.232,320.3
45,1094.243,259.4
45.5,1108.276,261.5
46,1122.331,293.6
46.5,1136.407,246.7
47,1150.504,111.8
47.5,1164.623,106.8
48,1178.763,128.9
48.5,1192.923,105.9
49,1207.105,61.6
49.5,1221.308,158.5
50,1235.532,125.4
50.5,1249.776,179.4
51,1264.04,215.3
51.5,1278.325,178.2
52,1292.631,181.2
52.5,1306.957,121.1
53,1321.303,204
53.5,1335.669,127
54,1350.055,87
54.5,1364.46,176
55,1378.886,139
55.5,1393.331,102
56,1407.796,58
56.5,1422.28,85
57,1436.783,69
57.5,1451.306,166
58,1465.848,88
58.5,1480.409,71.9
59,1494.989,94.8
59.5,1509.587,74.7
60,1524.205,75.6
60.5,1538.841,65.5
61,1553.496,54.4
61.5,1568.169,26.3
62,1582.86,41.2
62.5,1597.57,22.2
63,1612.297,23.1
63.5,1627.043,45.1
64,1641.807,26.2
64.5,1656.588,31.3
65,1671.387,22.4
65.5,1686.204,29.5
66,1701.039,76.6
66.5,1715.89,82.7
67,1730.76,98.8
67.5,1745.646,122.9
68,1760.549,95.9
68.5,1775.47,129.7
69,1790.407,156.5
69.5,1805.361,80.3
70,1820.332,44
70.5,1835.32,50.9
71,1850.324,98.7
71.5,1865.344,163.5
72,1880.381,108.4
72.5,1895.434,117.2
73,1910.503,112.1
73.5,1925.588,113
74,1940.689,47
74.5,1955.806,81
75,1970.938,41
75.5,1986.086,13
76,2001.25,12
76.5,2016.428,12
77,2031.623,15
77.5,2046.832,22
78,2062.057,50
78.5,2077.296,81
79,2092.55,18
79.5,2107.82,17
80,2123.103,19
80.5,2138.402,19
81,2153.715,29
81.5,2169.042,52
82,2184.384,92
82.5,2199.739,184
83,2215.109,197
83.5,2230.493,67
84,2245.891,25
84.5,2261.302,39
85,2276.727,79
85.5,2292.166,121
86,2307.618,84
86.5,2323.084,37
87,2338.563,38
87.5,2354.055,32
88,2369.56,46
88.5,2385.078,43.5
89,2400.609,16.4
89.5,2416.152,53.2
90,2431.709,84
90.5,2447.277,17.9
91,2462.859,14.7
91.5,2478.452,11.6
92,2494.058,12.4
92.5,2509.676,9.3
93,2525.307,10.1
93.5,2540.949,11
94,2556.603,11
94.5,2572.268,11
95,2587.946,11
95.5,2603.635,127
96,2619.335,10
96.5,2635.047,9
97,2650.769,10
97.5,2666.504,9
98,2682.249,9
98.5,2698.005,10.9
99,2713.772,12.7
99.5,2729.549,12.7
100,2745.338,14.6
100.5,2761.136,17.5
101,2776.946,25.4
101.5,2792.765,31.3
102,2808.595,19.2
102.5,2824.435,33.1
103,2840.285,36
103.5,2856.145,30
104,2872.014,34
104.5,2887.894,41
105,2903.783,15
105.5,2919.681,8
106,2935.589,8
106.5,2951.507,11
107,2967.433,10
107.5,2983.369,11
108,2999.314,10
108.5,3015.267,12.8
109,3031.23,15.8
109.5,3047.201,8.7
110,3063.18,9.6
110.5,3079.169,9.5
111,3095.165,9.4
111.5,3111.17,10.3
112,3127.183,9.2
112.5,3143.205,9.2
113,3159.234,8.1
113.5,3175.271,9
114,3191.316,10
114.5,3207.369,11
115,3223.429,8
115.5,3239.497,8
116,3255.572,9
116.5,3271.654,8
117,3287.744,9
117.5,3303.841,8
118,3319.944,7
118.5,3336.055,7.9
119,3352.172,7.8
119.5,3368.297,6.7
120,3384.427,7.6
120.5,3400.564,7.5
121,3416.708,7.4
121.5,3432.858,9.4
122,3449.014,11.3
122.5,3465.176,11.2
123,3481.344,8.1
123.5,3497.518,9
124,3513.698,174
124.5,3529.883,194
125,3546.074,11
125.5,3562.27,9
126,3578.472,9
126.5,3594.679,10
127,3610.892,13
127.5,3627.109,12
128,3643.331,12
128.5,3659.558,12
129,3675.79,12
129.5,3692.027,12
130,3708.268,12
130.5,3724.513,15
131,3740.763,15
131.5,3757.018,12
132,3773.276,14
132.5,3789.538,19
133,3805.805,25
133.5,3822.075,38.9
134,3838.349,42.9
134.5,3854.627,52.8
135,3870.908,46.8
135.5,3887.192,113.4
136,3903.48,92.3
136.5,3919.772,36.2
137,3936.066,22.2
137.5,3952.363,18.1
138,3968.664,15
138.5,3984.967,20
139,4001.273,22
139.5,4017.581,13
140,4033.892,7
140.5,4050.206,7
141,4066.522,8
141.5,4082.84,8
142,4099.16,10
142.5,4115.482,10
143,4131.807,9
143.5,4148.133,11.8
144,4164.46,11.8
144.5,4180.79,9.7
145,4197.121,8.6
145.5,4213.453,8.5
146,4229.787,9.4
146.5,4246.121,10.3
147,4262.457,11.2
147.5,4278.794,11.1
148,4295.132,11.1
148.5,4311.471,11
149,4327.81,9
149.5,4344.15,10
150,4360.491,10
150.5,4376.832,12
151,4393.173,13
151.5,4409.515,14
152,4425.856,14
152.5,4442.198,14
153,4458.539,14
153.5,4474.881,13.9
154,4491.222,12.8
154.5,4507.562,11.7
155,4523.902,11.6
155.5,4540.242,11.5
156,4556.581,11.5
156.5,4572.919,11.4
157,4589.256,10.3
157.5,4605.592,11.2
158,4621.927,17
158.5,4638.26,24
159,4654.593,35
159.5,4670.924,38
160,4687.253,47
160.5,4703.581,58
161,4719.907,50
161.5,4736.232,47
162,4752.554,33
162.5,4768.875,29
163,4785.193,19
163.5,4801.509,22.9
164,4817.823,35.8
164.5,4834.134,51.7
165,4850.443,69.7
165.5,4866.749,38.6
166,4883.053,25.5
166.5,4899.353,27.4
167,4915.651,28.3
167.5,4931.945,23.3
168,4948.237,20.2
168.5,4964.525,19.1
169,4980.81,20.7
169.5,4997.092,25.5
170,5013.37,30.2
170.5,5029.644,47
171,5045.915,57.9
171.5,5062.181,56.7
172,5078.444,51.5
172.5,5094.703,37.3
173,5110.957,20.1
173.5,5127.208,14.1
174,5143.454,14.3
174.5,5159.695,12.3
175,5175.932,11.4
175.5,5192.165,12.5
176,5208.392,13.6
176.5,5224.615,13.7
177,5240.833,13.8
177.5,5257.046,14.9
178,5273.253,16.9
178.5,5289.456,16.7
179,5305.652,19.4
179.5,5321.844,41.3
180,5338.03,50.1
180.5,5354.21,56.9
181,5370.385,22.8
181.5,5386.553,13.6
182,5402.716,13.5
182.5,5418.872,13.3
183,5435.023,15.1
183.5,5451.167,15
184,5467.305,19
184.5,5483.436,28
185,5499.561,46
185.5,5515.679,30
186,5531.79,16
186.5,5547.894,19
187,5563.992,21
187.5,5580.082,64
188,5596.165,99
188.5,5612.241,111.9
189,5628.31,128.8
189.5,5644.371,113.7
190,5660.424,46.6
190.5,5676.47,36.5
191,5692.508,41.4
191.5,5708.538,83.3
192,5724.56,77.2
192.5,5740.574,37.1
193,5756.579,46.1
193.5,5772.577,83
194,5788.566,88
194.5,5804.546,88
195,5820.518,59
195.5,5836.481,22
196,5852.436,17
196.5,5868.381,17
197,5884.318,25
197.5,5900.245,41
198,5916.163,20
198.5,5932.072,21
199,5947.972,26
199.5,5963.862,28
200,5979.742,45
200.5,5995.613,111
201,6011.473,68
201.5,6027.324,37
