depth (m),core type (NA),85JC Sample Depths (cmbsf) (cmbsf),raw_pank_age (yrBP),error_raw_plank_sigma (yr),age_raw_benth (yr),error_raw_benth (yr),raw B-P (yr),error_raw_B-P (yr)
NA,TC,22,660,250,1530,45,870,250
NA,TC,124,1650,90,2505,50,855,100
0.26,JC,176,2340,70,2890,20,550,70
0.72,TC,222,2730,70,3440,60,710,90
1.04,JC,254,3560,60,4160,20,600,60
1.54,JC,304,4000,80,4810,60,810,100
2.06,JC,356,4330,60,5015,45,685,80
2.54,JC,404,4990,90,5840,25,850,90
3.04,JC,454,5500,70,6345,30,845,80
3.54,JC,504,6410,25,7190,25,780,40
4.05,JC,555,7980,25,8855,35,875,40
4.55,JC,605,8610,80,9265,30,655,90
5.05,JC,655,9020,120,9800,30,780,120
5.55,JC,705,9660,70,10355,45,695,80
5.75,JC,725,9930,30,10650,25,720,40
5.9,JC,740,10260,25,10915,25,655,40
6.04,JC,754,10410,100,11000,130,590,160
6.09,JC,759,10600,35,11195,30,595,50
6.2,JC,770,10855,30,11620,30,765,40
6.3,JC,780,11065,25,12315,35,1250,40
6.4,JC,790,11250,25,12670,35,1420,40
6.445,JC,794.5,11520,25,12520,30,1000,40
6.495,JC,799.5,12705,25,13365,35,660,45
6.54,JC,804,12810,60,13430,45,620,80
6.6,JC,810,13080,30,13695,30,615,40
6.7,JC,820,13170,60,13830,35,660,70
6.75,JC,825,13310,80,13945,45,635,90
6.8,JC,830,13430,45,13740,35,310,60
6.845,JC,834.5,13420,30,13965,30,545,40
6.9,JC,840,13830,35,14425,30,595,50
7.04,JC,854,14345,30,14880,35,535,50
7.26,JC,876,14645,35,15205,45,560,60
7.54,JC,904,14870,50,15440,60,570,80
8.04,JC,954,14985,35,NA,NA,NA,NA
8.54,JC,1004,14890,60,15590,90,700,110
9.04,JC,1054,15040,80,15640,60,600,100
9.53,JC,1103,14860,80,15680,160,820,180
10.03,JC,1153,15080,40,16110,90,1030,100
10.53,JC,1203,15110,60,15830,60,720,80
11.03,JC,1253,15160,35,15720,90,560,100
