age (yr BP),depth (cm),type (NA),error (yr),thickness (cm)
-58.6,0.5,Pb210,2,1
-55.7,1.5,Pb210,2,1
-52.4,2.5,Pb210,2,1
-46.6,3.5,Pb210,2,1
-37.4,4.5,Pb210,3,1
-18.1,5.5,Pb210,4,1
-8.6,6.8,Pb210,5,1
9.3,7.8,Pb210,7,1
1170,34.5,AMS14C,20,1
1655,51,AMS14C,20,1
1840,58,AMS14C,20,1
2860,76,AMS14C,20,1
5815,93,AMS14C,20,1
4340,114.5,AMS14C,60,1
4730,128.3,AMS14C,20,1
5420,153,AMS14C,20,1
5965,172.5,AMS14C,20,1
7365,220.5,AMS14C,20,1
8905,248.5,AMS14C,25,1
7940,269.5,AMS14C,160,1
9305,289.5,AMS14C,25,1
5530,327.5,AMS14C,130,1
