depth (cm),dateType (),measurementMaterial (),sensorSpecies (),measurementN (),labID (),age14C (kyr),age14CUncertainty (kyr),reservoirAge (kyr)
6,14C,planktic foraminifera,Globigerinoides ruber,700,KIA 41029,0.45,0.025,0.48
64,14C,planktic foraminifera,Globigerinoides ruber,700,KIA 44459,1.37,0.03,0.48
292,14C,planktic foraminifera,Globigerinoides ruber,700,KIA 44460,2.57,0.035,0.48
338,14C,planktic foraminifera,Globigerinoides ruber,700,KIA 44461,2.71,0.03,0.48
386,14C,planktic foraminifera,Globigerinoides ruber,700,KIA 44462,3.515,0.03,0.48
470,14C,planktic foraminifera,Mixed planktonics,700,KIA 45578,4.6,0.03,0.48
496,14C,planktic foraminifera,Mixed planktonics,700,KIA 45579,5.055,0.03,0.48
538,14C,planktic foraminifera,Mixed planktonics,700,KIA 45580,6.105,0.04,0.48
560,14C,planktic foraminifera,Globigerinoides ruber,700,KIA 41030,6.645,0.07,0.48
670,14C,planktic foraminifera,Mixed planktonics,700,KIA 45581,9.8,0.05,0.48
770,14C,planktic foraminifera,Globigerinoides ruber,700,KIA 41031,12.51,0.16,0.63
818,14C,planktic foraminifera,Globigerinoides ruber,700,KIA 48207,13.6,0.18,0.63
848,14C,planktic foraminifera,Globigerinoides ruber,700,KIA 48208,14.35,0.18,0.63
870,14C,planktic foraminifera,Mixed planktonics,700,KIA 45582,15.49,0.08,0.63
940,14C,planktic foraminifera,Globigerinoides ruber,700,KIA 48055,22.91,0.2,0.63
970,14C,planktic foraminifera,Mixed planktonics,700,KIA 45583,26.12,0.27,0.63
