age (),dummy2 (),dummy3 (),dummy4 (),dummy5 ()
0,NA,NA,247,NA
46,NA,1170,NA,NA
158,NA,2095,NA,NA
293,NA,2385,NA,NA
388,NA,3080,NA,NA
466.2,NA,NA,3595,Santorini ash
537.5,NA,4605,NA,NA
578,NA,5715,NA,NA
614,NA,6590,NA,NA
624,NA,7625,NA,NA
