age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),cal_age_range_old (bp),cal_age_range_young (bp),thickness (mm),age_type (),lab_id (),material_dated (),note ()
-45,0,0,0,NA,NA,NA,NA,0,2,NA,NA,1
NA,84,850,830,1455,65,1439,1315,20,1,10,1,NA
NA,88,890,870,1420,70,1398,1290,20,1,16,1,NA
NA,105,1060,1040,1850,70,1867,1711,20,1,17,1,NA
NA,114.5,1150,1140,1920,65,1949,1789,10,1,11,1,NA
NA,130,1310,1290,2500,65,2696,2460,20,1,12,1,NA
NA,148,1490,1470,2690,75,2892,2768,20,1,1,1,NA
NA,180,1810,1790,3470,100,3884,3634,20,1,2,1,NA
NA,212,2130,2110,4185,60,4822,4620,20,1,3,1,NA
NA,233,2340,2320,4550,75,5315,5073,20,1,13,1,NA
NA,235,2360,2340,4515,60,5268,5058,20,1,4,1,NA
NA,258,2590,2570,5375,75,6262,6044,20,1,5,1,NA
NA,273,2740,2720,5940,75,6887,6719,20,1,6,1,NA
NA,282,2830,2810,6195,80,7180,6982,20,1,7,1,NA
NA,297,2980,2960,7135,90,7993,7813,20,1,14,1,NA
NA,302,3030,3010,7020,60,7879,7733,20,1,15,1,NA
NA,325.5,3260,3250,8125,85,9114,8832,10,1,8,1,NA
NA,328,3290,3270,8175,100,9129,8885,20,1,9,1,NA
