age (bp),depth (cm),lab_id (),depth_top (mm),depth_bot (mm),age14C (bp),age_error (1s),cal_age_range_old (bp),cal_age_range_young (bp),thickness (mm),age_type (),note ()
1899,127,115587,1260,1280,1950,45,1785,1991,20,1,1
3103,165.5,124551,1650,1660,2940,130,2805,3394,10,1,3
3621,184,124552,1835,1845,3380,50,3486,3802,10,1,2
3641,185,115588,1845,1855,3395,50,3494,3811,10,1,6
4305,195,119170,1945,1955,3870,35,4165,4408,10,1,8
4515,210.5,119171,2100,2110,4045,35,4432,4777,10,1,8
7113,260.5,124553,2600,2610,6220,35,7012,7243,10,1,9
8116,279.5,115590,2790,2800,7235,45,8026,8278,10,1,4
9000,304,119172,3035,3045,8080,70,8712,9235,10,1,7
11234,328.5,115591,3280,3290,9830,45,11190,11323,10,1,4
12224,340,119173,3395,3405,10365,35,12075,12457,10,1,7
13221,350.5,124554,3500,3510,11350,80,13091,13364,10,1,5
