depth (cm),age (BP),temperature (degC),sampleID (missing)
3,183.33,3.08,MF-3
5,329.99,1.83,MF-5
6,403.32,2.31,MF-6
8,549.98,1.53,MF-8
9,623.31,1.24,MF-9
11,769.97,0.99,MF-11
12,843.3,1.43,MF-12
14,989.96,1,MF-14
15,1063.29,1.38,MF-15
17,1209.95,1.66,MF-17
18,1283.28,1.43,MF-18
20,1429.94,1.56,MF-20
21,1503.27,1.59,MF-21
23,1649.93,2.02,MF-23
24,1723.26,2.35,MF-24
26,1869.92,2.66,MF-26
27,1943.25,2.78,MF-27
29,2089.91,1.94,MF-29
30,2163.24,2.67,MF-30
32,2309.9,2.84,MF-32
33,2383.23,3.13,MF-33
35,2529.89,3.61,MF-35
36,2637.5,3.07,MF-36
38,2852.5,4.88,MF-38
41,3039.1,4.06,MF-41
44,3157.75,3.38,MF-44
45,3197.3,3.07,MF-45
47,3276.4,4.32,MF-47
48,3315.95,3.01,MF-48
51,3434.6,3.55,MF-51
54,3553.25,2.29,MF-54
56,3632.35,3.57,MF-56
57,3671.9,3.65,MF-57
59,3751,4.98,MF-59
62,3883.53,2.78,MF-62
65,4044.12,4.18,MF-65
66,4097.65,3.57,MF-66
68,4204.71,5.55,MF-68
69,4258.24,3.65,MF-69
71,4365.3,4.06,MF-71
74,4525.89,3.12,MF-74
77,4686.48,3.31,MF-77
78,4740.01,3.3,MF-78
80,4803.64,4.59,MF-80
81,4835.46,3.85,MF-81
83,4899.1,3.42,MF-83
86,4994.56,3.83,MF-86
87,5026.38,3.17,MF-87
89,5090.02,2.87,MF-89
90,5234.17,4.47,MF-90
92,5522.51,4.89,MF-92
93,5666.68,4.41,MF-93
95,5955.02,4.15,MF-95
96,6099.19,4.21,MF-96
99,6531.7,4.7,MF-99
101,6820.04,4.16,MF-101
102,6964.21,3.18,MF-102
104,7410.76,4.77,MF-104
107,8001.52,5.82,MF-107
108,8198.44,4.96,MF-108
109,8395.36,3.76,MF-109
110,8592.28,5.05,MF-110
111,8789.2,4.67,MF-111
113,9183.04,4.59,MF-113
114,9379.96,3.73,MF-114
116,9415.56,4.53,MF-116
117,9433.34,6.47,MF-117
119,9468.9,4.88,MF-119
120,9486.68,4.61,MF-120
122,9522.24,3.97,MF-122
123,9540.02,4.21,MF-123
125,9575.58,3.7,MF-125
126,9593.36,3.03,MF-126
128,9628.92,3.95,MF-128
131,9682.26,3.43,MF-131
132,9700.04,3.06,MF-132
137,9788.94,3.21,MF-137
138,9806.72,2.55,MF-138
140,9842.28,3.26,MF-140
144,9932.63,2.08,MF-144
146,9981.05,4.18,MF-146
147,10005.26,2.84,MF-147
150,10077.89,4.51,MF-150
152,10126.31,5.25,MF-152
153,10150.52,5.13,MF-153
155,10198.94,2.76,MF-155
156,10223.15,4.02,MF-156
158,10271.57,2.66,MF-158
159,10295.78,4.49,MF-159
160,10319.99,4.37,MF-160
162,10334.28,1.38,MF-162
166,10362.84,2.61,MF-166
169,10384.26,2.18,MF-169
172,10405.68,1.28,MF-172
174,10419.96,1.76,MF-174
178,10448.52,8.3,MF-178
181,10469.94,4.2,MF-181
184,10539.75,3.3,MF-184
188,10632.75,1.35,MF-188
190,10679.25,1.13,MF-190
193,10749,2.42,MF-193
196,10818.75,3.66,MF-196
199,10888.5,3.43,MF-199
202,10958.25,4.84,MF-202
205,11028,4.75,MF-205
208,11097.75,5.63,MF-208
211,11167.5,2.25,MF-211
214,11237.25,2.05,MF-214
217,11307,1.26,MF-217
220,11376.75,2,MF-220
223,11462.94,2.12,MF-223
226,11557.35,1.83,MF-226
229,11651.76,1.64,MF-229
232,11746.17,1.84,MF-232
235,11840.58,1.36,MF-235
238,11934.99,1.13,MF-238
241,12029.4,1.54,MF-241
244,12123.81,2.08,MF-244
247,12218.22,2.1,MF-247
250,12312.63,1.79,MF-250
253,12407.04,1.65,MF-253
255,12469.98,4.59,MF-255
259,12935.56,3.22,MF-259
