age (yr BP),depth (cm),id (),error (yr),cc (),dR (),dSTD (),ta (),tb ()
-50,0,NA,1,0,0,0,33,34
970,91.5,GX-28713,40,1,0,0,3,4
1520,129.5,CURL-5454,50,1,0,0,3,4
2210,171.5,GX-28986,40,1,0,0,3,4
2670,215.5,GX-28985,40,1,0,0,3,4
3640,275.5,GX-28984,40,1,0,0,3,4
4230,305.5,GX-28982,40,1,0,0,3,4
4460,328.5,UGA-11023,40,1,0,0,3,4
6010,375.5,GX-28983,40,1,0,0,3,4
9350,465.5,CURL-5449,55,1,0,0,3,4
