year (AD),age (BP),MTWM (degC)
1150,800,25.029
1100,850,24.986
1050,900,24.944
1000,950,24.902
950,1000,24.86
900,1050,24.817
850,1100,24.775
800,1150,24.733
750,1200,24.691
700,1250,24.649
650,1300,24.606
600,1350,24.564
550,1400,24.522
500,1450,24.485
450,1500,24.483
400,1550,24.481
350,1600,24.479
300,1650,24.477
250,1700,24.474
200,1750,24.472
150,1800,24.47
100,1850,24.468
50,1900,24.465
0,1950,24.463
-50,2000,24.461
-100,2050,24.459
-150,2100,24.469
-200,2150,24.513
-250,2200,24.556
-300,2250,24.599
-350,2300,24.643
-400,2350,24.686
-450,2400,24.729
-500,2450,24.773
-550,2500,24.816
-600,2550,24.859
-650,2600,24.903
-700,2650,24.946
-750,2700,24.989
-800,2750,25.026
-850,2800,25.052
-900,2850,25.079
-950,2900,25.106
-1000,2950,25.132
-1050,3000,25.159
-1100,3050,25.186
-1150,3100,25.212
-1200,3150,25.239
-1250,3200,25.265
-1300,3250,25.292
-1350,3300,25.319
-1400,3350,25.345
-1450,3400,25.252
-1500,3450,25.066
-1550,3500,24.88
-1600,3550,24.693
-1650,3600,24.507
-1700,3650,24.321
-1750,3700,24.135
-1800,3750,23.964
-1850,3800,24.096
-1900,3850,24.229
-1950,3900,24.362
-2000,3950,24.494
-2050,4000,24.553
-2100,4050,24.586
-2150,4100,24.619
-2200,4150,24.653
-2250,4200,24.702
-2300,4250,24.771
-2350,4300,24.841
-2400,4350,24.911
-2450,4400,24.942
-2500,4450,24.706
-2550,4500,24.471
-2600,4550,24.235
-2650,4600,24
-2700,4650,24.437
-2750,4700,25.022
-2800,4750,25.608
-2850,4800,25.17
-2900,4850,24.233
-2950,4900,23.329
-3000,4950,22.805
-3050,5000,22.281
-3100,5050,22.207
-3150,5100,22.598
-3200,5150,22.99
-3250,5200,23.208
-3300,5250,23.406
-3350,5300,23.426
-3400,5350,23.051
-3450,5400,22.676
-3500,5450,22.739
-3550,5500,22.97
-3600,5550,23.169
-3650,5600,23.146
-3700,5650,23.124
-3750,5700,23.186
-3800,5750,23.318
-3850,5800,23.451
-3900,5850,23.62
-3950,5900,23.791
-4000,5950,23.792
-4050,6000,23.495
-4100,6050,23.197
-4150,6100,23.114
-4200,6150,23.095
-4250,6200,23.377
-4300,6250,23.98
-4350,6300,24.263
-4400,6350,24.013
-4450,6400,23.7
-4500,6450,23.219
-4550,6500,22.807
-4600,6550,22.759
-4650,6600,22.721
-4700,6650,22.864
-4750,6700,23.006
-4800,6750,23.085
-4850,6800,23.159
-4900,6850,23.443
-4950,6900,23.768
-5000,6950,23.409
-5050,7000,22.792
-5100,7050,23.073
-5150,7100,23.906
-5200,7150,24.013
-5250,7200,23.424
-5300,7250,23.161
-5350,7300,23.385
-5400,7350,23.587
-5450,7400,23.736
-5500,7450,23.866
-5550,7500,23.913
-5600,7550,23.913
-5650,7600,23.343
-5700,7650,22.774
-5750,7700,22.707
-5800,7750,22.655
-5850,7800,22.734
-5900,7850,22.946
-5950,7900,23.158
-6000,7950,23.072
-6050,8000,22.913
-6100,8050,22.801
-6150,8100,23.066
-6200,8150,23.331
-6250,8200,23.537
-6300,8250,23.659
-6350,8300,23.781
-6400,8350,23.822
-6450,8400,23.833
-6500,8450,23.859
-6550,8500,24.368
-6600,8550,24.877
-6650,8600,25.117
-6700,8650,24.831
-6750,8700,24.544
-6800,8750,24.539
-6850,8800,24.687
-6900,8850,24.836
-6950,8900,24.58
-7000,8950,24.304
-7050,9000,24.097
-7100,9050,24.087
-7150,9100,24.076
-7200,9150,23.978
-7250,9200,23.814
-7300,9250,23.649
-7350,9300,23.38
-7400,9350,23.095
-7450,9400,22.81
-7500,9450,22.525
-7550,9500,22.24
-7600,9550,22.186
-7650,9600,22.186
-7700,9650,22.186
-7750,9700,22.186
-7800,9750,22.186
-7850,9800,22.186
-7900,9850,22.183
-7950,9900,22.181
-8000,9950,22.179
-8050,10000,22.176
-8100,10050,22.174
-8150,10100,22.179
-8200,10150,22.26
-8250,10200,22.34
-8300,10250,22.421
-8350,10300,22.501
-8400,10350,22.582
-8450,10400,22.641
-8500,10450,22.631
-8550,10500,22.621
-8600,10550,22.611
-8650,10600,22.601
-8700,10650,22.592
-8750,10700,22.547
-8800,10750,22.447
-8850,10800,22.347
-8900,10850,22.247
-8950,10900,22.147
-9000,10950,22.047
-9050,11000,22.008
