depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
1,-15,18.771,-10.229,4.783,916.143
20,266,18.929,-9.8,5.117,1056.143
40,562,18.5,-10.414,4.655,975
60,858,18.757,-10.486,4.713,877.143
80,1154,18.914,-10.243,4.948,899.714
100,1450,18.814,-10.2,4.886,919.429
120,1746,18.743,-10.086,4.935,1021.857
140,2042,19.771,-8.486,6.07,867
160,2338,19.457,-9.571,5.587,964.857
180,2634,18.514,-11.057,4.406,878.571
200,2930,18.543,-11.443,4.238,879.857
220,3226,18.757,-10.971,4.489,839
240,3523,18.743,-11,4.544,874.286
260,3819,18.5,-12.071,3.93,843.857
280,4115,18.743,-11,4.544,874.286
300,4411,18.743,-11,4.544,874.286
320,4707,18.371,-11.214,4.095,841.143
340,5003,18.529,-11.443,4.164,842.857
360,5299,18.457,-11.071,4.2,841.714
380,5628,18.5,-10.914,4.376,875.571
400,6013,18.657,-10.543,4.531,831
420,6398,19.457,-8.943,5.692,872.286
440,6782,19.414,-11.186,4.923,829.143
460,7167,19.414,-11.2,4.921,829
480,7552,19.714,-10.514,5.395,830.714
500,7937,19.714,-11.557,5.036,814.571
520,8441,19.371,-12.157,4.576,813
540,8984,19.229,-13.686,3.865,802.714
560,9528,18.786,-11.071,4.418,787.429
580,10072,18.6,-14.186,3.23,762.857
600,10616,18.714,-11.257,4.362,772
620,11159,NA,NA,NA,NA
