age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),cal_age_range_old (bp),cal_age_range_young (bp),thickness (mm),age_type (),lab_id (),material_dated (),note ()
-49,338,3380,3380,NA,NA,NA,NA,0,2,NA,NA,1
NA,393,3960,3900,1295,75,1340,1010,60,1,7,1,NA
NA,419,4200,4180,1555,65,1570,1300,20,1,6,1,NA
NA,452.5,4540,4510,2420,65,2720,2340,30,1,8,1,NA
NA,509,5110,5070,3620,80,4150,3690,40,1,5,1,NA
NA,566.5,5680,5650,4580,70,5500,4950,30,1,4,1,NA
NA,605.5,6070,6040,6165,75,7250,6800,30,1,3,1,NA
NA,623.5,6250,6220,7395,95,8380,8010,30,1,2,1,NA
NA,648.5,6500,6470,9315,160,11000,10150,30,1,1,1,NA
