depth (cm),age (BP),temperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
451,116.343,10.51,11.89,9.129,Y
453,348.002,10.633,11.953,9.313,Y
456,692.839,10.185,11.499,8.871,Y
460,1147.455,10.976,12.272,9.68,Y
464.5,1651.456,10.098,11.411,8.785,Y
477,3006.219,9.203,10.529,7.876,Y
479,3216.325,8.704,10.044,7.363,Y
481.5,3476.211,9.815,11.114,8.516,Y
484.5,3783.934,11.156,12.446,9.866,Y
487.5,4087.008,11.296,12.596,9.996,Y
490.5,4385.292,10.775,12.078,9.473,Y
493.5,4678.643,10.924,12.22,9.627,Y
496.5,4966.921,11.081,12.375,9.787,Y
499.5,5249.985,10.265,11.543,8.988,Y
502.5,5527.693,11.156,12.453,9.858,Y
505.25,5777.433,12.452,13.737,11.168,Y
507.25,5956.097,10.934,12.236,9.633,Y
508.75,6088.43,11.826,13.102,10.55,Y
510.45,6236.656,11.352,12.644,10.061,Y
512.3,6395.816,11.936,13.214,10.658,Y
514.15,6552.711,11.593,12.876,10.31,Y
516.05,6711.452,11.412,12.696,10.128,Y
517.9,6863.652,11.105,12.406,9.805,Y
519.7,7009.465,10.434,11.75,9.119,Y
521.5,7153.009,11.3,12.617,9.984,Y
523.3,7294.252,10.836,12.222,9.449,Y
525.1,7433.162,11.42,12.786,10.053,Y
526.85,7565.949,13.169,14.47,11.868,Y
528.5,7689.077,13.164,14.461,11.866,Y
530.15,7810.172,11.499,12.785,10.214,Y
531.75,7925.633,10.951,12.267,9.636,Y
533.25,8032.102,10.246,11.568,8.923,Y
534.75,8136.834,10.978,12.312,9.643,Y
536.25,8239.812,10.605,11.927,9.284,Y
537.75,8341.018,11.203,12.541,9.866,Y
539.25,8440.434,10.914,12.247,9.581,Y
540.8,8541.264,10.795,12.088,9.502,Y
542.35,8640.146,11.318,12.619,10.018,Y
543.9,8737.059,12.064,13.352,10.776,Y
545.45,8831.982,11.913,13.221,10.605,Y
547,8924.899,11.452,12.82,10.084,Y
548.55,9015.789,12.1,13.432,10.769,Y
550.1,9104.632,11.225,12.553,9.897,Y
551.65,9191.406,11.323,12.634,10.012,Y
553.2,9276.097,11.415,12.724,10.105,Y
554.7,9356.05,11.088,12.456,9.72,Y
556.1,9428.879,11.855,13.229,10.48,Y
557.45,9497.452,11.884,13.215,10.553,Y
558.8,9564.389,10.542,11.84,9.243,Y
560.25,9634.443,11.364,12.685,10.043,Y
561.75,9704.894,11.017,12.325,9.71,Y
563,9762.018,10.092,11.413,8.772,Y
564,9806.676,10.04,11.335,8.744,Y
565.35,9865.482,10.955,12.255,9.655,Y
566.85,9928.814,9.494,10.816,8.171,Y
568.25,9986.001,10.118,11.424,8.812,Y
569.5,10035.477,10.085,11.369,8.8,Y
570.5,10073.977,10.592,11.859,9.326,Y
572.5,10148.072,10.738,11.99,9.485,Y
