depth (m),age (BP),temperature (degC),planktic.d18O (permil),planktic.MgCa (mmol_mol)
0.18,210,27.26,-2.57,4.42
0.23,620,27.35,-2.79,4.45
0.28,1020,26.95,-2.83,4.3
0.33,1530,27.08,-2.35,4.35
0.38,1750,26.18,-2.7,4.01
0.43,2070,26.37,-2.6,4.08
0.48,2360,26.2,-2.78,4.02
0.53,2570,NA,NA,NA
0.58,2790,26.78,-2.56,4.23
0.63,3000,27.44,-2.54,4.49
0.68,3230,27.4,-2.49,4.48
0.73,3470,27.29,-2.74,4.43
0.78,3690,26.42,-2.41,4.1
0.83,3920,28.11,-2.64,4.77
0.88,4150,26.79,-2.48,4.23
0.93,4370,26.54,-2.7,4.14
0.98,4600,26.04,-2.66,3.96
1.03,4840,27.03,-2.68,4.33
1.08,5060,27.46,-2.24,4.5
1.13,5280,26.44,-2.05,4.11
1.18,5510,26.71,-2.17,4.21
1.23,5730,26.95,-2.14,4.3
1.28,5960,26.53,-2.42,4.14
1.33,6200,26.7,-2.38,4.2
1.38,6420,26.67,-2.37,4.19
1.43,6640,NA,NA,NA
1.48,6860,26.4,-2.52,4.09
1.53,7060,26.08,-2.35,3.97
1.58,7220,26.9,-2.3,4.28
1.63,7410,26.78,-2.44,4.23
1.68,7600,26.14,-2.1,3.99
1.73,7790,25.73,-2.4,3.85
1.78,7990,26.8,-2.43,4.24
1.83,8190,26.4,-2.63,4.09
1.88,8390,26.07,-2.03,3.97
1.93,8570,25.95,-2.51,3.93
1.98,8760,NA,NA,NA
2.03,8940,27.44,-2.55,4.49
2.08,9150,27.59,-2.09,4.55
2.13,9360,26.27,-2.14,4.04
2.18,9580,27.04,-2.69,4.33
2.33,11200,NA,-2.28,NA
2.38,11610,26.99,-1.19,4.31
2.43,12120,26.97,-1.31,4.3
2.48,12630,26.58,-0.94,4.16
2.53,13140,26.46,-1.75,4.11
2.58,13660,26.15,-1.39,4
2.63,14170,25.26,-1.14,3.69
2.68,14680,26.73,-1.3,4.21
2.73,15190,25.56,-1.06,3.79
2.78,15630,26.16,-1.08,4
2.83,16140,26.32,-1.06,4.06
2.88,16690,24.58,-0.93,3.47
2.93,17220,25.52,-0.71,3.78
2.98,17700,25.13,-0.64,3.65
3.03,18280,25.52,-0.78,3.78
3.08,19000,25.09,-0.78,3.64
3.13,19860,23.97,-0.6,3.29
3.18,20800,25.23,-0.96,3.68
3.23,21730,24.73,-0.84,3.52
3.28,22560,24.78,-0.96,3.54
3.33,23640,25.67,-0.47,3.83
3.38,24990,25.07,-0.75,3.63
3.43,26410,24.57,-0.66,3.47
3.48,27820,24.27,-0.97,3.38
3.53,29350,24.62,-0.71,3.48
3.58,30870,25.06,-0.6,3.62
3.63,32300,26.41,-1.08,4.09
3.68,33630,25.22,-1.3,3.68
