age (BP),depth (cm),temperature (degC),salinity (psu),Sea_Ice_months (months/year),Sea_Ice_conc (0-10),productivity (gcm2),P1 (missing),age (BP),temperature (degC)
125.61,0,0.33,26.37,11.16,9.03,35.31,1,125.61,-0.64
145.41,1,3.833,26.917,8.77,7.069,92.126,1,145.41,1.148
165.34,2,4.293,26.968,8.552,6.881,106.45,1,165.34,1.382
185.42,3,6.833,27.468,7.153,5.726,142.31,1,185.42,2.667
205.67,4,4.19,27.677,8.764,7.071,87.692,1,205.67,1.309
226.08,5,4.235,26.577,8.482,6.843,101.73,1,226.08,1.417
246.65,6,5.146,27.659,7.815,6.274,129.249,1,246.65,1.777
267.38,7,4.666,27.07,8.33,6.697,111.462,1,267.38,1.573
288.27,8,6.428,27.54,7.43,5.95,147.716,1,288.27,2.434
309.32,9,3.859,27.12,8.989,7.22,94.942,1,309.32,1.145
330.53,10,5.845,26.975,6.514,5.231,135.701,1,330.53,2.395
351.91,11,4.335,28.639,8.718,7.039,91.188,1,351.91,1.364
373.44,12,4.966,25.524,8.265,6.683,145.89,1,373.44,1.966
395.14,13,5.192,27.808,8.171,6.593,100.091,1,395.14,1.822
417,14,4.288,28.649,8.522,6.902,84.173,1,417,1.351
439.02,15,4.364,28.32,8.35,6.769,122.756,1,439.02,1.359
461.2,16,4.382,28.223,8.382,6.797,126.091,1,461.2,1.373
483.54,17,5.371,26.538,8.018,6.464,128.441,1,483.54,1.904
506.05,18,4.72,27.662,7.969,6.424,105.095,1,506.05,1.585
528.71,19,5.223,27.044,6.745,5.429,109.467,1,528.71,2.152
551.53,20,5.968,26.928,6.305,5.063,134.004,1,551.53,2.495
574.52,21,4.023,28.158,8.699,7.04,102.676,1,574.52,1.193
597.67,22,4.236,26.722,8.637,6.964,92.311,1,597.67,1.4
620.98,23,4.422,29.275,5.738,4.539,206.23,1,620.98,1.864
644.45,24,2.947,27.552,8.987,7.283,132.125,1,644.45,0.632
668.08,25,3.848,26.303,8.594,6.948,95.714,1,668.08,1.185
691.87,26,5.713,31.027,6.327,4.996,133.655,1,691.87,2.117
715.82,27,5.022,28.183,6.666,5.244,193.473,1,715.82,1.783
739.94,28,6.15,26.183,7.486,6.022,135.83,1,739.94,2.304
788.66,30,5.551,28.775,6.879,5.488,143.712,1,788.66,2.151
838.01,32,3.738,26.254,8.603,6.963,92.453,1,838.01,1.145
888.01,34,3.864,28.41,8.999,7.217,83.387,1,888.01,1.132
938.66,36,4.589,29.077,6.613,5.299,146.436,1,938.66,1.898
1015.8,39,4.303,29.146,8.381,6.783,84.536,1,1015.8,1.334
1068.1,41,5.994,29.597,7.659,6.158,101.657,1,1068.1,2.136
673.98,31,3.948,29.396,7.922,6.403,125.895,1,673.98,1.158
888.63,36,5.329,30.629,7.641,6.188,146.325,1,888.63,1.811
1103.3,41,6.183,31.121,4.929,3.927,166.453,1,1103.3,2.411
1317.9,46,4.845,30.43,7.256,5.83,129.428,1,1317.9,1.558
1804.9,56,4.39,29.663,8.336,6.739,120.296,1,1804.9,1.352
2086.3,61,4.309,30.283,7.527,6.064,131.815,1,2086.3,1.295
2418.7,66,4.464,29.905,7.498,6.022,118.66,1,2418.7,1.402
2873,71,5.201,30.259,7.463,6.011,115.817,1,2873,1.764
3559.8,76,3.975,29.928,7.822,6.301,134.889,1,3559.8,1.129
4329.5,81,5.564,28.774,6.947,5.568,159.288,1,4329.5,1.945
4875.2,86,4.828,24.463,8.446,6.787,161.513,1,4875.2,1.591
5172.3,91,4.747,29.136,6.346,5.063,161,1,5172.3,1.603
5366.5,96,4.698,26.563,8.351,6.767,102.099,1,5366.5,1.581
5527.5,101,5.386,30.288,7.525,6.071,121.359,1,5527.5,1.832
5681.6,106,6.484,31.49,4.893,3.856,166.763,1,5681.6,2.51
5850.1,111,3.835,30.391,7.709,6.224,103.722,1,5850.1,1.105
6311.3,121,6.898,26.349,4.96,3.977,186.966,1,6311.3,2.967
6559.1,126,4.117,28.338,7.775,6.228,173.235,1,6559.1,1.221
6719,131,5.607,26.502,6.686,5.38,129.672,1,6719,2.298
6830,136,5.67,26.97,7.146,5.737,146.406,1,6830,2.262
6987.9,146,6.402,26.564,6.784,5.441,155.778,1,6987.9,2.446
7049.8,151,4.524,28.581,8.293,6.695,109.961,1,7049.8,1.452
7102,156,3.1,26.81,8.848,7.146,155.045,1,7102,0.801
7151.9,161,5.393,30.281,6.835,5.48,142.624,1,7151.9,1.872
7251.6,171,5.362,28.646,6.134,4.894,190.225,1,7251.6,2.204
7301.5,176,5.528,28.547,6.284,5.002,169.432,1,7301.5,2.299
7351.4,181,6.134,27.767,5.936,4.655,192.642,1,7351.4,2.311
7401.3,186,6.702,28.913,4.794,3.753,206.153,1,7401.3,3.004
7451.1,191,6.021,29.142,5.3,4.176,201.603,1,7451.1,2.712
7501,196,5.174,27.41,6.905,5.461,198.91,1,7501,1.749
8388.9,285,5.898,29.198,5.643,4.457,179.6,1,8388.9,2.171
8538.6,300,3.147,28.415,7.949,6.358,133.584,1,8538.6,0.759
8688.2,315,4.452,32.066,4.619,3.802,139.183,1,8688.2,1.895
8887.7,335,7.085,32.797,2.116,1.719,202.4,1,8887.7,3.632
9236.9,370,6.794,32.7,2.34,1.906,196.112,1,9236.9,3.437
9436.4,390,7.23,24.702,6.284,5.018,164.209,1,9436.4,3.061
9626,409,11.85,28.668,3.175,2.517,411.451,1,9626,5.462
