year (AD),age (BP),temperature (missing),kyryr BP2 (BP),accumulation (m)
1854.859,95.141,-31.591,0.144,0.244
1842.87,107.13,-31.622,0.173,0.246
1836.851,113.149,-31.603,0.202,0.249
1830.795,119.205,-31.6,0.23,0.25
1830.795,119.205,-31.598,0.259,0.25
1824.549,125.451,-31.666,0.288,0.249
1817.593,132.407,-31.724,0.317,0.248
1811.193,138.807,-31.758,0.346,0.246
1804.874,145.126,-31.81,0.375,0.245
1797.737,152.263,-31.841,0.403,0.244
1797.737,152.263,-31.881,0.432,0.243
1790.62,159.38,-31.956,0.461,0.243
1784.536,165.464,-32.024,0.49,0.242
1778.153,171.847,-32.038,0.519,0.242
1770.579,179.421,-31.987,0.547,0.242
1763.377,186.623,-31.969,0.576,0.242
1756.395,193.605,-31.995,0.605,0.242
1749.415,200.585,-32.022,0.634,0.241
1749.415,200.585,-32.029,0.663,0.239
1741.894,208.106,-32.02,0.691,0.238
1734.696,215.304,-32.013,0.72,0.238
1726.932,223.068,-32.025,0.749,0.238
1718.944,231.056,-32.026,0.778,0.239
1711.438,238.562,-32.021,0.807,0.24
1704.337,245.663,-32.012,0.835,0.243
1696.539,253.461,-32.034,0.864,0.246
1688.713,261.287,-32.081,0.893,0.248
1681.529,268.471,-32.072,0.922,0.25
1674.057,275.943,-32.027,0.951,0.251
1665.878,284.122,-32,0.979,0.252
1657.477,292.523,-31.988,1.008,0.252
1657.477,292.523,-32.002,1.037,0.251
1650.12,299.88,-32.001,1.066,0.251
1642.694,307.306,-32.013,1.095,0.251
1635.317,314.683,-32.034,1.124,0.251
1627.886,322.114,-32.09,1.152,0.251
1619.801,330.199,-32.085,1.181,0.252
1611.521,338.479,-32.085,1.21,0.252
1603.721,346.279,-32.037,1.239,0.251
1595.813,354.187,-32.005,1.268,0.249
1588.358,361.642,-31.988,1.296,0.246
1580.64,369.36,-31.981,1.325,0.243
1572.748,377.252,-31.981,1.354,0.239
1564.863,385.137,-31.993,1.383,0.237
1556.295,393.705,-31.971,1.412,0.235
1547.908,402.092,-31.942,1.44,0.234
1540.197,409.803,-31.919,1.469,0.233
1532.163,417.837,-31.913,1.498,0.234
1523.805,426.195,-31.939,1.527,0.235
1514.605,435.395,-31.959,1.556,0.235
1505.876,444.124,-31.965,1.584,0.235
1505.876,444.124,-32.009,1.613,0.234
1497.849,452.151,-32.024,1.642,0.233
1489.854,460.146,-31.989,1.671,0.231
1481.79,468.21,-31.942,1.7,0.229
1472.846,477.154,-31.885,1.729,0.228
1464.14,485.86,-31.877,1.757,0.227
1456.094,493.906,-31.857,1.786,0.227
1447.872,502.128,-31.884,1.815,0.229
1439.453,510.547,-31.858,1.844,0.232
1430.39,519.61,-31.844,1.873,0.235
1420.021,529.979,-31.808,1.901,0.238
1411.839,538.161,-31.811,1.93,0.24
1403.039,546.961,-31.902,1.959,0.243
1394.214,555.786,-31.947,1.988,0.243
1386.122,563.878,-32.013,2.017,0.242
1378.266,571.734,-32.031,2.045,0.241
1370.189,579.811,-32.016,2.074,0.241
1361.816,588.184,-31.99,2.103,0.239
1353.028,596.972,-31.949,2.132,0.239
1345.152,604.848,-31.914,2.161,0.24
1336.662,613.338,-31.879,2.189,0.243
1328.536,621.464,-31.832,2.218,0.245
