year (AD) [1-1],age (BP) [1-1],lakeLevel (cm) [1-1],lakeLevelHi (cm) [1-1],lakeLevelLo (cm) [1-1],year (AD) [2-1],age (BP) [2-1],AnnualPrecipitation (mm/yr) [2-1]
1900,50,108.178,58.893,157.463,1950,0,1208.974
1850,100,103.663,43.47,163.856,1900,50,1271.772
1800,150,111.956,55.577,168.334,1850,100,1170.793
1750,200,111.343,44.754,177.932,1800,150,1221.547
1700,250,115.327,54.938,175.715,1750,200,1238.312
1650,300,126.527,86.23,166.824,1700,250,1217.176
1600,350,148.018,136.67,159.365,1650,300,1267.298
1550,400,137.034,123.409,150.659,1600,350,1276.644
1500,450,101.464,65.265,137.664,1550,400,1247.959
1450,500,93.542,41.372,145.712,1500,450,1263.068
1400,550,118.982,73.528,164.436,1450,500,1262.937
1350,600,155.43,113.357,197.503,1400,550,1253.531
1300,650,160.125,118.156,202.094,1350,600,1271.385
1250,700,164.041,121.374,206.708,1300,650,1269.299
1200,750,167.101,123.009,211.194,1250,700,1252.034
1150,800,170.031,124.391,215.67,1200,750,1269.931
1100,850,172.921,125.774,220.068,1150,800,1275.575
1050,900,175.817,127.157,224.477,1100,850,1256.027
1000,950,178.659,128.539,228.779,1050,900,1251.702
950,1000,148.981,86.154,211.809,1000,950,1243.065
900,1050,151.664,87.536,215.792,950,1000,1232.687
850,1100,178.235,125.202,231.268,900,1050,1244.879
800,1150,236.927,206.759,267.094,850,1100,1227.019
750,1200,262.86,244.672,281.048,800,1150,1204.695
700,1250,264.529,246.424,282.634,750,1200,1223.076
650,1300,221.416,180.378,262.455,700,1250,1218.488
600,1350,170.184,98.237,242.131,650,1300,1199.553
550,1400,137.239,39.239,235.238,600,1350,1180.619
500,1450,135.758,39.7,231.816,550,1400,1196.892
450,1500,127.904,39.7,216.109,500,1450,1245.383
400,1550,145.492,113.885,177.1,450,1500,1261.799
350,1600,127.126,97.913,156.339,400,1550,1259.307
300,1650,166.399,147.722,185.076,350,1600,1232.706
250,1700,163.101,100.109,226.094,300,1650,1245.786
200,1750,207.823,150.897,264.75,250,1700,1250.393
150,1800,209.361,152.365,266.358,200,1750,1265.868
100,1850,209.705,153.833,265.576,150,1800,1235.705
50,1900,211.265,155.301,267.229,100,1850,1215.636
0,1950,242.262,194.198,290.325,50,1900,1238.292
-50,2000,275.532,233.15,317.914,0,1950,1249.514
-100,2050,277.138,234.711,319.565,-50,2000,1269.838
-150,2100,260.401,211.437,309.365,-100,2050,1242.824
-200,2150,230.438,175.758,285.119,-150,2100,1167.121
-250,2200,232.869,178.926,286.812,-200,2150,1119.212
-300,2250,228.009,171.247,284.771,-250,2200,1130.112
-350,2300,231.165,175.903,286.428,-300,2250,1141.012
-400,2350,265.791,213.555,318.027,-350,2300,1151.911
-450,2400,264.417,214.974,313.86,-400,2350,1162.811
-500,2450,265.978,216.392,315.564,-450,2400,1173.71
-550,2500,235.331,183.341,287.32,-500,2450,1184.61
-600,2550,236.877,184.76,288.994,-550,2500,1195.234
-650,2600,238.424,186.179,290.669,-600,2550,1169.03
-700,2650,239.978,187.597,292.359,-650,2600,1142.826
-750,2700,225.098,167.857,282.339,-700,2650,1116.623
-800,2750,226.632,169.275,283.989,-750,2700,1111.004
-850,2800,228.157,170.694,285.621,-800,2750,1202.548
-900,2850,246.109,193.272,298.947,-850,2800,1257.382
-950,2900,197.266,129.321,265.212,-900,2850,1206.914
-1000,2950,148.151,64.897,231.405,-950,2900,1187.719
