depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,-15,15.986,-7.471,4.527,515.143
10,256,12.829,-16.2,-2.052,403.714
20,470,15.657,-7.6,4.305,526.857
30,618,14.729,-10.543,2.129,606.286
40,773,11.571,-19.471,-4.525,380.429
50,983,15.743,-8.4,4.032,510.286
60,1219,15.743,-8.4,4.032,510.286
70,1398,15.986,-7.471,4.527,515.143
80,1634,15.257,-8.014,3.833,650.714
90,1889,15.986,-7.471,4.527,515.143
100,2150,15.829,-8.357,4.076,506.857
110,2391,14.586,-11.243,1.72,576
120,2729,13.457,-15.886,-1.542,529.714
130,2909,12.186,-22.043,-5.501,323.714
140,3238,11.957,-22.229,-5.796,411.143
150,3467,10.414,-27.643,-9.651,194.571
160,3725,14.029,-9.271,2.501,605.286
170,3893,15.986,-7.471,4.527,515.143
180,4066,15.986,-7.471,4.527,515.143
190,4267,15.986,-7.471,4.527,515.143
200,4443,15.257,-7.914,3.795,550.429
210,4615,16.4,-7.643,4.714,498.143
220,4819,11.657,-22.129,-5.625,346.143
230,4936,14.957,-11.457,1.94,467.571
240,5166,15.014,-8.486,3.487,680.571
250,5359,16.2,-8.371,4.26,490.714
260,5506,16.129,-11.329,2.618,429.571
270,5627,12.914,-19.686,-3.446,389.429
280,5756,12.914,-19.686,-3.446,389.429
290,5902,9.757,-27.371,-9.699,274.857
300,6062,9.757,-27.371,-9.699,274.857
310,6246,9.857,-26.729,-9.081,367.143
320,6371,11.586,-22.071,-5.649,340.286
330,6519,16.729,-9.257,4.283,479.571
340,6697,16.371,-10.129,3.774,462.143
350,6865,14.086,-15.729,-0.704,382.571
360,7075,14.957,-13.286,1.206,427.714
370,7254,13.443,-12.086,0.233,614.571
380,7387,16.829,-11.143,3.354,515.714
390,7504,14.957,-12.486,1.592,446.286
400,7618,12.9,-18.871,-3.099,361.714
410,7775,17.214,-11.671,3.624,419.286
420,7947,15.586,-14.5,1.192,395.143
430,8111,11.029,-21.671,-5.949,304.429
440,8305,11.057,-23.343,-6.551,379.571
450,8492,9.786,-26.671,-9.105,361.286
460,8750,9.014,-20.157,-6.357,676.857
470,9100,10.286,-18.586,-4.61,714
480,9417,8.357,-15.5,-4.392,750.143
490,9575,8.357,-15.5,-4.392,750.143
500,9900,8.357,-15.5,-4.392,750.143
505,10139,8.429,-15.443,-4.36,758.429
510,10237,10.729,-18.686,-4.639,700.857
515,10333,9.914,-16.657,-4.025,759.714
520,10689,10.771,-10.871,-0.357,657.143
525,11178,NA,NA,NA,NA
530,11451,NA,NA,NA,NA
535,12073,NA,NA,NA,NA
540,12600,NA,NA,NA,NA
545,12847,NA,NA,NA,NA
550,13030,NA,NA,NA,NA
555,13263,NA,NA,NA,NA
