depth (cm),labID (),DatedMaterial (),age14C (14C a BP),age14C_uncertainty (14C a BP)
63,UCIAMS-83271,Charcoal,1415,20
78,UCIAMS-83272,Charcoal,2190,20
101,UCIAMS-83273,Charcoal,2850,20
111,UCIAMS-83274,Charcoal,3080,20
129,UCIAMS-83275,Charcoal,3520,20
206,UCIAMS-83276,Charcoal,4715,20
353,Beta-94238,Bulk,6860,90
628,Beta-94239,Bulk,9220,70
