depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
227.5,Carbon-14,108948,55,6250,peat and gyttja,NA
315,Carbon-14,108949,95,7730,marl,NA
455,Carbon-14,108950,135,8100,spruce wood,NA
455.5,Carbon-14,108951,110,8110,spruce wood,NA
