depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
63,Carbon-14,109391,125,840,NA,NA
315,Carbon-14,109392,165,3155,NA,NA
521,Carbon-14,109393,145,4885,NA,NA
549,Carbon-14,109394,120,6320,NA,NA
614,Carbon-14,109395,235,9785,NA,NA
675,Carbon-14,109396,380,11760,NA,NA
