year (AD),age (BP),d18O (permil),depth (missing),age (BP),d13C (permil),d18O (permil)
1950,0,-10.8,0.6,-60,-2.694,-10.801
1900,50,-11.49,0.7,-55.041,-3.394,-11.307
1850,100,-11.91,0.8,-50.082,-4.009,-11.42
1800,150,-11.64,0.9,-45.122,-5.558,-12.057
1750,200,-11.09,1,-40.163,-4.927,-11.682
1700,250,-11.74,1.1,-35.204,-2.65,-10.867
1650,300,-11.09,1.2,-30.245,-3.055,-10.925
1600,350,-11,1.3,-25.285,-3.239,-11.047
1550,400,-11.11,1.4,-20.326,-3.46,-11.161
1500,450,-11.62,1.5,-15.367,-4.376,-11.498
1450,500,-11.16,1.6,-10.408,-4.517,-11.448
1400,550,-11.84,1.7,-5.449,-5.509,-11.959
1350,600,-11.83,1.8,-0.489,-5.107,-11.757
1300,650,-12.05,1.9,4.47,-5.615,-11.906
1250,700,-12.08,2,9.429,-5.944,-12.071
1200,750,-11.69,2.1,14.388,-6.413,-12.378
1150,800,-11.12,2.2,19.347,-5.297,-11.896
1100,850,-11.91,2.3,24.307,-5.053,-11.83
1050,900,-12.01,2.4,29.266,-5.127,-11.851
1000,950,-12.44,2.5,34.225,-5.261,-11.934
950,1000,-11.46,2.6,39.184,-5.22,-11.881
900,1050,-11.44,2.7,44.144,-5.372,-12.051
850,1100,-12.09,2.8,49.103,-5.236,-11.631
800,1150,-11.45,2.9,54.062,-5.282,-11.801
750,1200,-11.31,3,59.021,-5.291,-11.518
700,1250,-11.48,3.1,63.98,-5.184,-11.543
650,1300,-11.05,3.2,68.94,-5.246,-11.626
600,1350,-11.35,3.3,73.899,-5.221,-11.907
550,1400,-11.6,3.4,78.858,-5.16,-11.762
500,1450,-11.76,3.5,83.817,-4.969,-11.8
450,1500,-11.41,3.6,88.776,-4.73,-11.611
400,1550,-11.76,3.7,93.736,-4.373,-11.724
350,1600,-11.98,3.8,98.695,-4.02,-11.517
300,1650,-12.63,3.9,103.654,-4.024,-11.537
250,1700,-11.89,4,108.613,-3.601,-11.255
200,1750,-11.96,4.1,113.573,-3.347,-11.123
150,1800,-11.99,4.2,118.532,-3.141,-11.175
100,1850,-11.4,4.3,123.491,-3.392,-11.338
50,1900,-11.92,4.4,128.45,-2.937,-10.914
0,1950,-11.75,4.5,133.409,-3.004,-11.164
-50,2000,-11.64,4.6,138.369,-3.102,-11.162
-100,2050,-11.5,4.7,143.328,-2.596,-10.949
-150,2100,-11.55,4.8,148.287,-3.332,-11.217
-200,2150,-11.19,4.9,153.246,-2.633,-10.942
-250,2200,-12.24,5,158.205,-3.359,-11.413
-300,2250,-11.19,5.1,163.165,-2.832,-11.204
-350,2300,-12.04,5.2,168.124,-3.078,-11.453
-400,2350,-12.12,5.3,173.083,-3.412,-11.485
-450,2400,-11.46,5.4,178.042,-3.562,-11.668
-500,2450,-11.9,5.5,183.002,-3.696,-11.608
-550,2500,-12.24,5.6,187.961,-4.162,-11.75
-600,2550,-11.29,5.7,192.92,-4.299,-11.713
-650,2600,-12.26,5.8,197.879,-4.45,-11.614
-700,2650,-11.6,5.9,202.838,-4.308,-11.392
-750,2700,-11.3,6,207.798,-4.42,-11.491
-800,2750,-11.57,6.1,212.757,-4.393,-11.425
-850,2800,-12.12,6.2,217.716,-4.358,-11.479
-900,2850,-11.93,6.3,222.675,-4.169,-11.434
-950,2900,-11.53,6.4,227.634,-4.032,-11.509
-1000,2950,-11.69,6.5,232.594,-3.216,-11.215
-1050,3000,-11.37,6.6,237.553,-2.941,-11.064
-1100,3050,-10.85,6.7,242.512,-2.824,-11.122
-1150,3100,-11.38,6.8,247.471,-2.984,-10.943
-1200,3150,-10.95,6.9,252.431,-3.512,-11.059
-1250,3200,-11.39,7,257.39,-4.206,-11.42
-1300,3250,-11.31,7.1,259.872,-4.574,-11.667
-1350,3300,-10.89,7.2,262.355,-4.927,-11.772
-1400,3350,-11.07,7.3,264.837,-5.045,-11.588
-1450,3400,-11.76,7.4,267.32,-4.647,-11.447
-1500,3450,-11.31,7.5,269.803,-4.17,-11.238
-1550,3500,-11.03,7.6,272.285,-4.002,-11.079
-1600,3550,-11.84,7.7,274.768,-3.876,-11.029
-1650,3600,-11.87,7.8,277.25,-4.44,-11.056
-1700,3650,-11.59,7.9,279.733,-4.298,-10.882
-1750,3700,-11.48,8,282.216,-4.492,-10.893
-1800,3750,-11.12,8.1,284.698,-4.299,-10.806
-1850,3800,-12.05,8.2,287.181,-4.34,-10.955
-1900,3850,-12.01,8.3,289.663,-4.591,-10.985
-1950,3900,-11.78,8.4,292.146,-4.793,-11.084
-2000,3950,-11.19,8.5,294.628,-4.954,-11.042
-2050,4000,-11.15,8.6,297.111,-5.107,-11.149
-2100,4050,-11.17,8.7,299.594,-5.066,-11.005
-2150,4100,-10.95,8.8,302.076,-4.912,-11.101
-2200,4150,-10.68,8.9,304.559,-4.596,-11.03
-2250,4200,-10.8,9,307.041,-4.443,-10.958
-2300,4250,-11.08,9.1,309.524,-4.197,-10.841
-2350,4300,-10.81,9.2,312.006,-4.282,-10.924
-2400,4350,-10.76,9.3,314.489,-3.829,-10.693
-2450,4400,-11.03,9.4,316.972,-4.641,-10.933
-2500,4450,-10.77,9.5,319.454,-4.847,-10.966
-2550,4500,-10.84,9.6,321.937,-4.742,-10.825
-2600,4550,-11.05,9.7,324.419,-4.771,-10.84
-2650,4600,-10.91,9.8,326.902,-4.962,-11.041
-2700,4650,-10.83,9.9,329.384,-4.47,-10.905
-2750,4700,-10.89,10,331.867,-4.717,-10.952
-2800,4750,-11.18,10.1,334.35,-4.964,-10.984
-2850,4800,-11.08,10.2,336.832,-5.017,-11.036
-2900,4850,-10.52,10.3,339.315,-4.933,-11.137
-2950,4900,-10.49,10.4,341.797,-4.816,-11.044
-3000,4950,-10.7,10.5,344.28,-5.005,-11.259
-3050,5000,-10.77,10.6,346.763,-4.978,-11.225
-3100,5050,-10.96,10.7,349.245,-5.033,-11.22
-3150,5100,-11.27,10.8,351.728,-5.269,-11.37
-3200,5150,-11.01,10.9,354.21,-5.369,-11.428
-3250,5200,-10.78,11,356.693,-5.407,-11.44
-3300,5250,-10.82,11.1,359.175,-5.334,-11.412
-3350,5300,-11.06,11.2,361.658,-5.489,-11.519
-3400,5350,-10.43,11.3,364.141,-5.285,-11.369
-3450,5400,-10.39,11.4,366.623,-5.077,-11.402
-3500,5450,-10.48,11.5,369.106,-5.008,-11.283
-3550,5500,-10.77,11.6,371.588,-5.214,-11.404
-3600,5550,-10.62,11.7,374.071,-5.321,-11.454
-3650,5600,-10.64,11.8,376.553,-5.373,-11.545
-3700,5650,-10.67,11.9,379.036,-5.158,-11.361
-3750,5700,-10.55,12,381.519,-5.169,-11.497
-3800,5750,-10.44,12.1,384.001,-5.169,-11.541
-3850,5800,-10.4,12.2,386.484,-5.273,-11.697
-3900,5850,-10.43,12.3,388.966,-5.177,-11.597
-3950,5900,-10.52,12.4,391.449,-5.194,-11.64
-4000,5950,-10.58,12.5,393.932,-4.376,-11.405
-4050,6000,-10.54,12.6,396.414,-3.82,-11.28
-4100,6050,-10.23,12.7,398.897,-3.79,-11.326
-4150,6100,-10.02,12.8,401.379,-2.558,-11.059
-4200,6150,-9.96,12.9,403.862,-4.116,-11.28
-4250,6200,-10.08,13,406.344,-3.623,-11.178
-4300,6250,-9.99,13.1,408.827,-2.194,-11.002
-4350,6300,-10.05,13.2,411.31,-2.332,-11.066
-4400,6350,-10.22,13.3,413.792,-2.437,-11.085
-4450,6400,-10.39,13.4,416.275,-2.627,-11.056
-4500,6450,-10.61,13.5,418.757,-2.763,-11.129
-4550,6500,-10.64,13.6,421.24,-3.05,-11.005
-4600,6550,-10.22,13.7,423.722,-2.865,-10.927
-4650,6600,-10.13,13.8,426.205,-3.013,-10.976
-4700,6650,-10.16,13.9,428.688,-2.96,-10.966
-4750,6700,-10.33,14,431.17,-3.685,-11.041
-4800,6750,-10.68,14.1,433.916,-3.637,-11.014
-4850,6800,-11.03,14.2,436.662,-3.561,-11.088
-4900,6850,-11.25,14.3,439.409,-3.576,-11.136
-4950,6900,-11.15,14.4,442.155,-3.342,-11.249
-5000,6950,-11,14.5,444.901,-3.649,-11.345
-5050,7000,-11,14.6,447.647,-3.996,-11.53
-5100,7050,-11.21,14.7,450.393,-3.663,-11.32
-5150,7100,-11.45,14.8,453.139,-3.162,-11.326
-5200,7150,-11.37,14.9,455.885,-4.425,-11.624
-5250,7200,-11.13,15,458.632,-4.489,-11.775
-5300,7250,-11.09,15.1,461.378,-3.731,-11.361
-5350,7300,-10.85,15.2,464.124,-4.717,-11.684
-5400,7350,-10.65,15.3,466.87,-4.85,-11.617
-5450,7400,-10.65,15.4,469.616,-5.021,-11.646
-5500,7450,-10.75,15.5,472.362,-5.306,-11.796
-5550,7500,-10.8,15.6,475.109,-5.31,-11.733
-5600,7550,-10.83,15.7,477.855,-5.326,-11.664
-5650,7600,-10.96,15.8,480.601,-5.524,-11.703
-5700,7650,-10.85,15.9,483.347,-5.575,-11.745
-5750,7700,-10.63,16,486.093,-5.723,-11.812
-5800,7750,-10.41,16.1,488.839,-5.749,-11.803
-5850,7800,-10.21,16.2,491.585,-5.821,-11.883
-5900,7850,-9.99,16.3,494.332,-5.908,-12.008
-5950,7900,-9.73,16.4,497.078,-5.865,-11.914
-6000,7950,-9.7,16.5,499.824,-5.843,-11.977
-6050,8000,-9.65,16.7,505.316,-5.882,-11.947
-6100,8050,-9.61,16.9,510.808,-5.738,-11.817
-6150,8100,-9.7,17.1,516.301,-5.691,-11.85
-6200,8150,-9.97,17.3,521.793,-5.619,-11.862
-6250,8200,-10.08,17.5,527.285,-5.62,-11.839
-6300,8250,-9.88,17.7,532.778,-5.568,-11.776
-6350,8300,-9.74,17.9,538.27,-5.567,-11.852
-6400,8350,-9.52,18.1,543.762,-5.57,-11.792
-6450,8400,-9.34,18.3,549.254,-5.619,-11.828
-6500,8450,-9.75,18.5,554.747,-5.496,-11.791
-6550,8500,-9.86,18.7,560.239,-5.384,-11.887
-6600,8550,-9.81,18.9,565.731,-5.552,-11.972
-6650,8600,-9.68,19.1,571.224,-5.628,-11.919
-6700,8650,-9.65,19.3,576.716,-5.56,-11.904
-6750,8700,-9.79,19.5,582.208,-5.452,-11.912
-6800,8750,-9.73,19.7,587.701,-5.489,-12.068
-6850,8800,-9.66,19.9,593.193,-5.315,-12.023
-6900,8850,-9.76,20.1,598.685,-5.41,-12.042
-6950,8900,-9.95,20.3,604.177,-5.473,-12.17
-7000,8950,-10.06,20.5,609.67,-5.447,-12.19
-7050,9000,-10.35,20.7,615.162,-5.462,-12.216
-7100,9050,-10.25,20.9,620.654,-5.317,-12.164
-7150,9100,-10.09,21.1,626.147,-5.432,-12.227
