depth (mm),depth (cm),age (BP),temperature (degC),d18O (permil),C (missing)
4,0.4,-48.236,8.341,1.202,1
10,1,-45.873,8.035,1.272,1
15,1.5,-43.878,8.079,1.262,1
20,2,-41.847,8.517,1.162,1
25,2.5,-39.773,8.211,1.232,1
30,3,-37.646,8.255,1.222,1
35,3.5,-35.46,9.438,0.952,1
40,4,-33.208,9.001,1.052,1
45,4.5,-30.886,8.651,1.131,1
50,5,-28.489,8.52,1.161,1
55,5.5,-26.013,8.039,1.271,1
60,6,-23.455,8.652,1.131,1
65.5,6.55,-20.544,8.784,1.101,1
70.5,7.05,-17.806,8.04,1.271,1
75.5,7.55,-14.979,8.304,1.211,1
80,8,-12.36,8.26,1.221,1
85.5,8.55,-9.059,8.874,1.08,1
90.5,9.05,-5.964,9.006,1.05,1
95,9.5,-3.102,8.044,1.27,1
100.5,10.05,0.494,8.876,1.08,1
105.5,10.55,3.857,9.096,1.03,1
110.5,11.05,7.308,8.658,1.13,1
115,11.5,10.489,8.309,1.21,1
120.5,12.05,14.472,7.697,1.349,1
125.5,12.55,18.183,8.047,1.269,1
130.5,13.05,21.98,7.829,1.319,1
130.5,13.05,21.98,8.442,1.179,1
140.5,14.05,29.826,8.05,1.269,1
145.5,14.55,33.875,8.051,1.268,1
150.5,15.05,38.009,8.796,1.098,1
155.5,15.55,42.227,8.184,1.238,1
160.5,16.05,46.531,8.36,1.198,1
165.5,16.55,50.922,7.354,1.428,1
170.5,17.05,55.402,8.186,1.238,1
175.5,17.55,59.972,7.881,1.307,1
180.5,18.05,64.637,8.144,1.247,1
185.5,18.55,69.399,8.539,1.157,1
190.5,19.05,74.264,8.146,1.247,1
195.5,19.55,79.235,8.76,1.106,1
200.5,20.05,84.32,8.323,1.206,1
205.5,20.55,89.524,7.58,1.376,1
210.5,21.05,94.855,8.676,1.126,1
215.5,21.55,100.323,8.239,1.226,1
220.5,22.05,105.937,8.371,1.195,1
225.5,22.55,111.707,8.679,1.125,1
230.5,23.05,117.645,8.023,1.275,1
235.5,23.55,123.765,8.374,1.194,1
240.5,24.05,130.081,8.462,1.174,1
245.5,24.55,136.608,7.893,1.304,1
250.5,25.05,143.364,8.244,1.224,1
255.5,25.55,150.367,8.2,1.234,1
260.5,26.05,157.636,8.113,1.254,1
265.5,26.55,165.193,8.464,1.174,1
270.5,27.05,173.061,7.763,1.334,1
275.5,27.55,181.264,8.99,1.054,1
280.5,28.05,189.828,7.983,1.284,1
285.5,28.55,198.782,7.983,1.284,1
290.5,29.05,208.154,9.341,0.974,1
295.5,29.55,217.976,8.466,1.174,1
300.5,30.05,228.282,7.853,1.314,1
305.5,30.55,239.107,7.766,1.333,1
310.5,31.05,250.488,7.329,1.433,1
315.5,31.55,262.464,7.723,1.343,1
320.5,32.05,275.076,8.03,1.273,1
5,32.5,279.122,7.942,1.293,1
10,33,284.638,7.767,1.333,1
15,33.5,290.149,7.286,1.443,1
25,34.5,301.155,8.162,1.243,1
30,35,306.649,8.162,1.243,1
35,35.5,312.139,7.987,1.283,1
40,36,317.622,8.163,1.243,1
45,36.5,323.101,8.382,1.193,1
55,37.5,334.042,8.689,1.123,1
60,38,339.504,8.645,1.133,1
65,38.5,344.961,7.901,1.303,1
70,39,350.413,8.339,1.203,1
80,40,361.301,7.902,1.302,1
90,41,372.167,8.033,1.272,1
100,42,383.013,8.165,1.242,1
110,43,393.837,7.553,1.382,1
120,44,404.64,7.815,1.322,1
130,45,415.423,8.166,1.242,1
140,46,426.185,7.729,1.342,1
150,47,436.926,7.992,1.282,1
160,48,447.646,8.167,1.242,1
170,49,458.346,7.861,1.312,1
180,50,469.025,7.687,1.352,1
200,52,490.323,7.644,1.361,1
210,53,500.941,8.213,1.231,1
220,54,511.54,8.082,1.261,1
230,55,522.118,8.039,1.271,1
240,56,532.676,8.302,1.211,1
250,57,543.215,7.733,1.341,1
260,58,553.733,9.31,0.981,1
270,59,564.232,8.128,1.251,1
280,60,574.712,8.304,1.211,1
290,61,585.171,7.953,1.291,1
300,62,595.612,7.779,1.331,1
310,63,606.033,8.392,1.19,1
320,64,616.434,8.48,1.17,1
330,65,626.817,8.393,1.19,1
340,66,637.18,8.612,1.14,1
350,67,647.525,7.781,1.33,1
360,68,657.85,8.175,1.24,1
370,69,668.157,8.263,1.22,1
380,70,678.445,8.438,1.18,1
390,71,688.714,8.789,1.1,1
400,72,698.965,7.87,1.31,1
410,73,709.197,8.834,1.09,1
420,74,719.411,8.265,1.22,1
430,75,729.607,8.484,1.169,1
440,76,739.784,8.616,1.139,1
450,77,749.943,8.923,1.069,1
460,78,760.085,9.448,0.949,1
470,79,770.208,8.529,1.159,1
480,80,780.314,9.23,0.999,1
490,81,790.402,8.661,1.129,1
500,82,800.472,8.443,1.179,1
510,83,810.525,8.662,1.129,1
520,84,820.56,8.531,1.159,1
530,85,830.578,8.663,1.129,1
540,86,840.579,8.313,1.208,1
550,87,850.562,9.014,1.048,1
560,88,860.529,9.014,1.048,1
570,89,870.479,8.314,1.208,1
580,90,880.411,8.752,1.108,1
590,91,890.327,8.753,1.108,1
600,92,900.227,7.44,1.408,1
610,93,910.11,8.315,1.208,1
620,94,919.976,7.484,1.398,1
630,95,929.826,8.929,1.068,1
640,96,939.66,8.229,1.228,1
650,97,949.478,8.536,1.158,1
660,98,959.279,8.624,1.138,1
670,99,969.065,8.361,1.198,1
680,100,978.835,8.887,1.077,1
685,100.5,983.714,9.106,1.027,1
700,102,998.328,7.312,1.437,1
710,103,1008.051,8.144,1.247,1
720,104,1017.758,8.232,1.227,1
730,105,1027.451,8.539,1.157,1
740,106,1037.128,8.583,1.147,1
750,107,1046.79,8.715,1.117,1
760,108,1056.437,8.321,1.207,1
770,109,1066.069,7.752,1.337,1
780,110,1075.686,8.847,1.087,1
790,111,1085.289,8.541,1.157,1
800,112,1094.877,8.103,1.256,1
810,113,1104.45,7.491,1.396,1
820,114,1114.01,8.629,1.136,1
830,115,1123.555,7.842,1.316,1
840,116,1133.086,7.711,1.346,1
850,117,1142.603,7.273,1.446,1
860,118,1152.106,8.543,1.156,1
870,119,1161.595,7.843,1.316,1
880,120,1171.07,8.369,1.196,1
890,121,1180.532,7.45,1.406,1
900,122,1189.981,7.932,1.296,1
910,123,1199.416,8.063,1.266,1
920,124,1208.838,8.195,1.236,1
930,125,1218.246,8.195,1.235,1
950,127,1237.025,8.59,1.145,1
960,128,1246.395,8.021,1.275,1
970,129,1255.753,8.853,1.085,1
980,130,1265.097,8.723,1.115,1
1000,132,1283.75,8.635,1.135,1
1020,134,1302.354,8.111,1.255,1
1030,135,1311.638,8.987,1.055,1
1040,136,1320.91,8.374,1.195,1
1050,137,1330.17,8.725,1.115,1
1060,138,1339.419,8.462,1.174,1
1070,139,1348.656,9.601,0.914,1
1080,140,1357.882,8.113,1.254,1
