depth (mm) [1-1],depth (cm) [1-1],age (BP) [1-1],temperature (degC) [1-1],uncertainty.temperature (degC) [1-1],uncertainty.temperature (degC) [1-1],SunFrac (unitless) [1-1],SunFracMin (unitless) [1-1],SunFracMax (unitless) [1-1],age (BP) [2-1],hobdob (unitless) [2-1],BSi (percent) [2-1]
6.25,0.625,8,7.856,6.8,9,31.856,29.168,33.2,6.333,NA,7.221
8.75,0.875,11,8.328,6.984,9,32.178,30.135,33.2,11.4,1,5.229
11.25,1.125,14,8.019,6.056,9,34.086,32.9,36.458,18.999,2,5.022
13.75,1.375,17,7.65,4.949,9,32.311,30.534,33.2,29.132,2,3.241
16.25,1.625,20,8.143,6.8,9,31.826,29.079,33.2,38,2,1.889
18.75,1.875,23,7.544,4.631,9,32.451,30.953,33.2,53.198,2,0.537
21.25,2.125,26,8.101,6.8,9,31.878,29.234,33.2,81.545,2,0.519
23.75,2.375,29,8.088,7.1,9,32.732,31.796,33.2,158.7,2,0.581
26.25,2.625,33,7.781,7.1,9,32.618,31.7,33.2,253.66,3,0.643
28.75,2.875,36,7.106,6,7.8,32.087,29.4,33.9,301.14,3,0.913
31.25,3.125,39,7.57,6,9,32.92,31.7,33.9,367.569,3,5.193
33.75,3.375,42,6.93,6,8,34.127,31.7,38.982,485.441,3,2.081
38.75,3.875,49,7.324,6,8,34.99,31.7,38.8,661.877,3,1.009
15,4,50,7.388,6.2,8,38.216,37.4,39.6,757.687,3,1.508
55,8,106,7.051,6.2,8,38.731,37.4,39.6,858.165,3,3.685
105,13,182,7.082,6.2,8.2,37.966,34.699,39.6,963.012,3,5.552
155,18,270,7.362,6.2,8,38.379,37.4,39.6,1184.639,3,11.133
205,23,370,7.642,6.2,8.5,38.564,37.6,39.6,1300.831,3,8.245
245,27,467,7.668,6,9,33.119,32.6,33.9,1420.222,3,6.133
305,33,656,7.33,6.2,8.2,36.465,33.1,39.6,1667.45,3,9.655
345,37,812,7.232,6.2,8.2,37.486,33.259,39.6,2055.18,3,16.15
425,45,1207,8.104,7.1,9.6,33.095,31.7,34.9,2456.623,3,18.642
455,48,1388,8.553,7.1,11.4,34.1,31.7,38.901,2864.77,3,20.747
505,53,1709,8.202,8.006,8.3,36.493,33.68,37.9,3273.093,3,17.976
555,58,2041,7.306,6.2,8.2,34.102,31.7,38.906,3807.61,3,20.864
615,64,2446,8.726,8,10.177,35.894,33.1,38.7,4319.748,3,21.002
645,67,2648,8.809,8,10.426,36.532,33.1,40.8,4799.848,3,20.552
705,73,3052,8.196,8,8.3,36.394,33.382,37.9,5241.189,3,21.33
755,78,3384,9.733,8.9,11.399,37.102,32.4,40.8,5544.588,3,22.685
805,83,3707,8.2,8.001,8.3,36.507,33.72,37.9,5824.145,3,21.646
865,89,4071,10.029,7.7,11.4,39.695,37.485,40.8,6081.076,3,22.14
915,94,4341,8.87,7.1,11.4,36.331,31.7,40.8,6317.977,3,20.517
955,98,4539,9.331,7.1,11.4,37.392,31.7,40.8,6538.913,3,19.069
1005,103,4772,10.471,8.212,11.6,38.154,32.861,40.8,6749.518,3,16.857
1055,108,4995,7.785,6.756,8.3,34.934,30.6,37.9,6957.09,3,17.296
1105,113,5215,8.667,7.1,9.5,35.002,31.7,40.2,7170.683,3,17.07
1155,118,5435,9.145,6.8,11.8,33.665,26.5,39.1,7911.921,3,15.163
1205,123,5659,11.423,10.9,11.7,40.78,40.741,40.8,8700.005,3,10.461
1255,128,5887,10.628,8.485,11.7,38.997,35.39,40.8,9084.841,3,6.324
1305,133,6120,11.427,10.9,11.7,40.778,40.734,40.8,9109.912,3,7.634
1355,138,6358,10.502,8,12.5,38.319,33.2,42,9172.588,3,4.151
1405,143,6602,11.955,10.9,13.2,41.365,38,44,9360.616,3,3.187
1455,148,6849,12.181,11.3,13,41.651,37,44.3,NA,3,3.783
1505,153,7101,12.109,11.2,12.6,42.554,40.7,44.5,NA,NA,NA
1555,158,7357,10.358,6.8,12.5,36.587,26.5,42,NA,NA,NA
1605,163,7616,6.234,3.6,9,32.038,27.713,34.2,NA,NA,NA
1655,168,7880,7.588,6.5,9,30.622,26.5,33.2,NA,NA,NA
1705,173,8147,7.105,5.3,9,31.698,26.5,36.9,NA,NA,NA
1755,178,8416,6.099,3.9,9,31.995,30.3,34.2,NA,NA,NA
1795,182,8634,5.779,3.8,9.738,33.862,28.4,40.4,NA,NA,NA
