depth (cm),dateType (),measurementMaterial (),sensorSpecies (),measurementN (),labID (),age14C (kyr),age14CUncertainty (kyr)
8,14C,planktic foraminifera,G. ruber,555-1037,KIA6969,2.66,2.332
18,14C,planktic foraminifera,G. ruber,555-1037,KIA7639,4.195,4.282
28,14C,planktic foraminifera,G. ruber,555-1037,KIA7640,4.875,5.24
38,14C,planktic foraminifera,G. ruber,555-1037,KIA7641,5.91,6.301
91,14C,planktic foraminifera,G. ruber,555-1037,KIA7642,7.755,8.193
190,14C,planktic foraminifera,G. ruber,555-1037,KIA7643,8.445,8.935
288,14C,planktic foraminifera,G. ruber,555-1037,KIA7644,8.755,9.238
358,14C,planktic foraminifera,G. ruber,555-1037,KIA8131,9.86,10.61
529,14C,planktic foraminifera,G. ruber,555-1037,KIA8581,15.8,18.285
564,14C,planktic foraminifera,G. ruber,555-1037,KIA8132,18.37,21.243
