depth (unitless),age (unitless),Reference (unitless),SiteName (unitless),State (unitless),CoreID (unitless),LabID (unitless),ageErrorYoungest (unitless),ageErrorOldest (unitless),ReservoirCorrected14CAge_yrsBefore1950AD_ (unitless),calibratedAge_yrsBefore1950AD_ (unitless),ReservoirCorrection__R (unitless),Comments (unitless)
66,1460,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-21925,1390,1530,860,755,-600,at 0.48 m there is an erosional contact at the base of the salt
79,1560,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-21926,1470,1650,960,915,-600,evidence for hiatus from 212.5-242 cm
98.5,1960,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-21927,1900,2020,1360,1290,-600,NA
110.5,2000,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-22055,1940,2060,1400,1305,-600,NA
131,2150,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-21928,2080,2220,1550,1460,-600,NA
147.5,2950,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-21929,2880,3020,2350,2350,-600,NA
185,3510,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-21540,3450,3570,2910,3080,-600,NA
212.5,4000,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-22383,3950,4050,3400,3670,-600,NA
242,6290,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-20023,6240,6340,5690,6480,-600,NA
242,6320,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-22384,6260,6380,5720,6490,-600,NA
336,7140,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-20024,7080,7200,6540,7460,-600,NA
336,6900,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-22386,6840,6960,6300,7260,-600,NA
384,7110,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-22387,7050,7170,6510,7430,-600,NA
479,9170,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-20025,9110,9230,8570,9540,-600,NA
558,9520,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-20026,9460,9580,8920,9970,-600,NA
558,9540,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-22388,9480,9600,8940,10060,-600,NA
631.5,9680,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-20027,9620,9740,9080,10240,-600,NA
670,9260,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-59869,9210,9310,866,970,NA,NA
700,10050,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-59870,10000,10100,9450,10690,-600,NA
725,10870,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-59871,10820,10920,10270,12030,-600,NA
780,11520,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-20028,11460,11580,10920,13000,-600,NA
820,12230,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-59872,12180,12280,11630,13500,-600,NA
853,12650,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-20128,12580,12720,12050,14043.812,-600,NA
907,13360,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-20219,13290,13430,12760,14921.057,-600,NA
913,13270,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-21541,13200,13340,12670,14810.075,-600,NA
943,15020,Benson et al. 2002,Owens Lake,CA,OL84B,CAMS-20220,14920,15120,14420,16956.739,-600,NA
