depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1_s),cal_age_range_old (bp),cal_age_range_young (2_s),thickness (mm),age_type (),lab_id (),material_dated ()
20.5,210,200,1032,32,635,615,10,1,1,1
52.5,530,520,2151,35,1847,1746,10,1,11,1
88.5,890,880,3073,35,2932,2829,10,1,12,1
116.5,1170,1160,4278,35,4518,4511,10,1,13,1
144.5,1450,1440,6060,35,6581,6476,10,1,2,1
176.5,1770,1760,7554,35,8097,8005,10,1,3,1
216.5,2170,2160,7959,35,8503,8422,10,1,4,1
300.5,3010,3000,9062,35,9904,9747,10,1,5,1
388.5,3890,3880,9300,35,10245,10176,10,1,6,1
449,4500,4480,9491,35,10447,10323,20,1,7,1
480.5,4810,4800,9752,35,10688,10606,10,1,8,1
585,5860,5840,10356,35,11428,11295,20,1,9,1
637,6380,6360,10577,36,11980,11797,20,1,10,1
