depth (m),age (BP),temperature (degC),planktic.MgCa (mmol_mol),planktic.d18O (permil)
0.13,470,26.774,3.84,-2.88
0.18,544,26.421,3.72,-2.76
0.23,618,26.803,3.85,-2.79
0.28,693,26.745,3.83,-2.46
0.33,767,26.57,3.77,-2.75
0.38,841,27.98,4.28,-2.54
0.43,915,26.687,3.81,-2.61
0.48,989,27.2,3.99,-2.71
0.53,1063,27.032,3.93,-2.78
0.58,1137,27.338,4.04,-2.73
0.63,1211,28.185,4.36,-2.58
0.68,1278,27.032,3.93,-2.69
0.73,1340,27.421,4.07,-2.69
0.78,1401,27.311,4.03,-2.87
0.83,1463,27.475,4.09,-2.66
0.88,1525,26.362,3.7,-2.77
0.93,1615,26.745,3.83,-2.56
0.98,1705,26.918,3.89,-2.41
1.03,1795,27.556,4.12,-2.31
1.08,1875,27.256,4.01,-2.79
1.13,1913,27.502,4.1,-2.62
1.18,1951,27.69,4.17,-2.64
1.23,1993,27.2,3.99,-2.64
1.28,2047,27.98,4.28,-2.92
1.33,2101,27.529,4.11,-2.72
1.38,2156,27.954,4.27,-2.61
1.43,2210,26.687,3.81,-2.52
1.48,2264,27.664,4.16,-2.63
1.53,2318,27.032,3.93,-2.57
1.58,2373,26.861,3.87,-2.84
1.63,2427,27.556,4.12,-2.62
1.68,2481,26.774,3.84,-2.54
1.73,2535,26.861,3.87,-2.77
1.78,2590,26.687,3.81,-2.63
1.83,2644,26.774,3.84,-2.66
1.88,2698,27.98,4.28,-2.45
1.93,2776,27.583,4.13,-2.74
1.98,2853,26.947,3.9,-2.71
2.03,2931,27.088,3.95,-2.63
2.08,3008,27.529,4.11,-2.78
2.18,3163,27.928,4.26,-2.73
2.23,3241,28.134,4.34,-2.59
2.28,3318,26.745,3.83,-2.5
2.33,3396,27.393,4.06,-2.81
2.38,3474,27.116,3.96,-2.65
2.43,3551,27.283,4.02,-2.67
2.48,3629,27.448,4.08,-2.83
2.53,3706,27.583,4.13,-2.42
2.58,3784,27.796,4.21,-2.82
2.63,3861,26.918,3.89,-2.73
2.68,3939,27.032,3.93,-2.86
2.73,4011,27.664,4.16,-2.59
2.78,4082,27.228,4,-2.79
2.83,4153,27.475,4.09,-2.67
2.88,4225,28.006,4.29,-2.69
2.93,4296,28.262,4.39,-2.67
2.98,4368,27.69,4.17,-2.78
3.03,4439,27.743,4.19,-2.67
3.08,4511,26.745,3.83,-2.93
3.13,4582,27.849,4.23,-2.67
3.18,4654,26.745,3.83,-2.9
3.23,4725,27.556,4.12,-2.74
3.28,4796,28.083,4.32,-2.81
3.33,4868,27.475,4.09,-3.05
3.38,4939,27.583,4.13,-2.79
3.43,5011,27.664,4.16,-2.73
3.48,5082,27.875,4.24,-2.73
3.53,5154,28.006,4.29,-2.83
3.58,5225,27.743,4.19,-2.61
3.63,5297,27.717,4.18,-2.64
3.68,5368,28.185,4.36,-2.7
3.73,5439,27.77,4.2,-2.64
3.78,5511,27.717,4.18,-2.39
3.83,5612,27.421,4.07,-2.61
3.88,5713,27.283,4.02,-2.66
3.93,5814,27.743,4.19,-2.6
3.98,5915,28.185,4.36,-2.57
4.03,6016,27.583,4.13,-2.88
4.08,6117,27.796,4.21,-2.83
4.13,6218,28.362,4.43,-2.74
4.18,6319,27.77,4.2,-2.78
4.23,6420,27.664,4.16,-2.6
4.28,6520,28.512,4.49,-2.73
4.33,6621,28.057,4.31,-2.66
4.38,6722,27.743,4.19,-2.83
4.43,6823,27.69,4.17,-2.6
4.49,6944,28.586,4.52,-2.74
4.53,7025,27.69,4.17,-2.61
4.58,7126,28.109,4.33,-2.52
4.63,7227,27.475,4.09,-2.59
4.68,7328,27.954,4.27,-2.53
4.73,7447,27.823,4.22,-3.02
4.78,7566,27.664,4.16,-2.92
4.83,7686,28.134,4.34,-2.52
4.88,7805,28.006,4.29,-2.62
4.93,7924,27.717,4.18,-2.43
4.98,8043,27.032,3.93,-2.29
5.03,8162,27.637,4.15,-2.93
5.08,8281,27.98,4.28,-2.87
5.13,8400,28.287,4.4,-2.56
5.18,8520,28.134,4.34,-2.58
5.23,8639,27.61,4.14,-2.65
5.28,8758,27.61,4.14,-2.61
5.33,8877,28.362,4.43,-2.55
5.38,8996,27.664,4.16,-2.48
5.43,9115,27.61,4.14,-2.61
5.48,9235,28.057,4.31,-2.32
5.53,9354,28.057,4.31,-2.87
5.58,9449,28.287,4.4,-2.6
5.63,9592,28.16,4.35,-2.38
5.68,9711,28.362,4.43,-2.44
5.73,9830,28.262,4.39,-2.43
