year (AD),age (BP),IP25_flux (g/cm2/ka)
1770,180,0.09
1740,210,NA
1700,250,NA
1670,280,0.102
1630,320,NA
1600,350,0.103
1560,390,NA
1530,420,0.109
1490,460,NA
1460,490,NA
1420,530,0.083
1390,560,NA
1350,600,NA
1320,630,0.088
1280,670,NA
1250,700,0.084
1210,740,NA
1180,770,0.081
1140,810,NA
1110,840,0.077
1070,880,NA
1040,910,0.071
1000,950,NA
970,980,0.071
930,1020,NA
900,1050,0.063
860,1090,NA
830,1120,0.075
790,1160,NA
760,1190,0.064
720,1230,NA
690,1260,0.06
650,1300,NA
620,1330,0.055
580,1370,NA
550,1400,0.065
510,1440,NA
480,1470,0.074
450,1500,NA
410,1540,0.067
380,1570,NA
340,1610,0.067
310,1640,NA
270,1680,0.061
240,1710,NA
200,1750,0.046
160,1790,NA
120,1830,0.052
70,1880,NA
30,1920,0.043
-10,1960,NA
-50,2000,0.052
-90,2040,NA
-130,2080,0.044
-170,2120,NA
-210,2160,0.042
-250,2200,NA
-290,2240,0.045
-330,2280,NA
-370,2320,0.05
-410,2360,NA
-450,2400,0.048
-490,2440,NA
-530,2480,0.038
-570,2520,NA
-610,2560,0.043
-650,2600,NA
-690,2640,0.04
-730,2680,NA
-770,2720,0.041
-810,2760,NA
-850,2800,0.04
-890,2840,NA
-930,2880,0.044
-970,2920,NA
-1010,2960,0.043
-1050,3000,NA
-1090,3040,0.038
-1130,3080,NA
-1170,3120,0.038
-1220,3170,NA
-1260,3210,0.037
-1300,3250,NA
-1340,3290,0.037
-1380,3330,NA
-1420,3370,0.041
-1460,3410,NA
-1500,3450,0.035
-1540,3490,NA
-1580,3530,0.036
-1620,3570,NA
-1660,3610,0.045
-1700,3650,NA
-1740,3690,0.042
-1780,3730,NA
-1820,3770,NA
-1870,3820,NA
-1930,3880,0.032
-1980,3930,NA
-2030,3980,0.033
-2080,4030,NA
-2140,4090,0.026
-2190,4140,NA
-2240,4190,0.026
-2290,4240,NA
-2350,4300,0.025
-2400,4350,NA
-2450,4400,NA
-2500,4450,NA
-2560,4510,0.028
-2610,4560,NA
-2660,4610,0.025
-2710,4660,NA
-2770,4720,0.022
-2820,4770,NA
-2870,4820,0.027
-2920,4870,NA
-2980,4930,0.019
-3030,4980,NA
-3080,5030,0.02
-3130,5080,NA
-3190,5140,0.022
-3240,5190,NA
-3290,5240,0.022
-3340,5290,NA
-3370,5320,0.046
-3390,5340,NA
-3420,5370,0.049
-3450,5400,NA
-3470,5420,0.043
-3500,5450,NA
-3520,5470,0.041
-3550,5500,NA
-3570,5520,0.039
-3600,5550,NA
-3620,5570,0.043
-3650,5600,NA
-3670,5620,0.04
-3700,5650,NA
-3720,5670,0.033
-3750,5700,NA
-3770,5720,0.037
-3800,5750,NA
-3820,5770,0.034
-3850,5800,NA
-3870,5820,0.03
-3900,5850,NA
-3930,5880,0.026
-3950,5900,NA
-3980,5930,0.039
-4000,5950,NA
-4030,5980,0.03
-4050,6000,NA
-4080,6030,0.021
-4100,6050,NA
-4130,6080,0.04
-4150,6100,NA
-4180,6130,NA
-4200,6150,NA
-4230,6180,0.032
-4250,6200,NA
-4280,6230,0.039
-4300,6250,NA
-4330,6280,0.045
-4360,6310,NA
-4380,6330,0.034
-4410,6360,NA
-4430,6380,0.042
-4460,6410,NA
-4480,6430,NA
-4530,6480,0.037
-4560,6510,NA
-4580,6530,0.023
-4600,6550,NA
-4610,6560,NA
-4630,6580,0.034
-4660,6610,NA
-4680,6630,0.025
-4700,6650,NA
-4730,6680,0.03
-4750,6700,NA
-4770,6720,0.026
-4800,6750,NA
-4810,6760,0.023
-4820,6770,NA
-4850,6800,NA
-4870,6820,0.032
-4890,6840,NA
-4920,6870,0.033
-4940,6890,NA
-4970,6920,0.028
-4990,6940,NA
-5010,6960,0.028
-5040,6990,NA
-5060,7010,0.023
