depth (cm),age14C (bp),age_error (1 sigma),age_type (),core_name (),lab_id (),material_dated ()
34.5,260,25,1,1,21,1
64.5,740,30,1,1,5,1
117,1730,30,1,1,1,1
135,1775,30,1,1,3,1
165,2480,30,1,1,6,1
200,3090,30,1,1,4,1
208,3330,35,1,1,7,1
298,6960,50,1,1,8,1
309,8240,40,1,1,2,1
20,590,30,1,3,9,1
41,2660,30,1,3,10,1
58,3040,35,1,3,11,1
67,4100,35,1,3,12,1
87,6990,40,1,3,13,1
103.5,6020,40,1,3,14,1
112,4650,35,1,3,15,1
141,8330,40,1,3,16,1
123,6170,40,1,4,17,1
145,3900,40,1,5,18,1
74,3540,35,1,2,19,1
161,6260,50,1,2,20,1
