year (AD),age (BP),error (permil),temperature (0.5s)
1822.026,127.974,-20.194,0.202
1778.495,171.505,-18.266,0.137
1734.636,215.364,-19.171,0.479
1690.447,259.553,-20.57,0.316
1645.928,304.072,-18.127,0.694
1601.08,348.92,-19.567,0.594
1555.903,394.097,-18.2,0.125
1510.396,439.604,-19.607,0.303
1464.56,485.44,-19.153,0.869
1418.395,531.605,-17.548,0.79
1371.9,578.1,-17.357,0.588
1325.075,624.924,-16.76,0.202
1277.922,672.078,-19.412,0.915
1230.439,719.561,-17.664,0.249
1182.626,767.374,-16.293,0.297
1134.484,815.516,-14.792,0.112
1086.013,863.987,-15.614,0.118
1037.212,912.788,-15.536,0.067
988.082,961.918,-13.847,0.166
938.623,1011.377,-15.348,0.011
888.834,1061.166,-16.528,0.506
838.716,1111.284,-15.753,0.251
788.268,1161.732,-15.538,0.039
686.384,1263.616,-16.549,0.261
583.183,1366.817,-12.768,0.395
531.088,1418.912,-17.182,0.186
478.664,1471.336,-15.318,0.064
425.911,1524.089,-15.675,0.171
372.828,1577.172,-14.042,0.177
319.416,1630.584,-13.954,0.329
265.674,1684.326,-15.712,0.159
211.603,1738.397,-16.103,0.365
157.202,1792.798,-14.042,0.385
102.472,1847.528,-15.499,0.093
47.413,1902.587,-12.211,0.361
-7.976,1957.976,-14.146,0.112
-63.694,2013.694,-13.626,0.129
-119.741,2069.741,-15.12,0.785
-176.118,2126.118,-15.011,0.241
-232.825,2182.825,-13.878,0.112
-289.86,2239.86,-13.176,0.143
-347.225,2297.225,-13.737,0.043
-404.92,2354.92,-15.33,0.155
-462.944,2412.944,-13.064,0.124
-521.297,2471.297,-12.989,0.137
-579.98,2529.98,-13.884,0.194
-638.992,2588.992,-14.179,0.093
-698.333,2648.333,-13.128,0.245
-758.004,2708.004,-15.136,0.568
-818.005,2768.005,-14.139,0.042
-878.334,2828.334,-13.83,0.1
-938.993,2888.993,-14.311,0.21
-999.982,2949.982,-15.169,0.118
-1061.3,3011.3,-15.496,0.195
-1122.947,3072.947,-14.187,0.085
-1184.924,3134.924,-11.944,0.31
-1247.23,3197.23,-13.551,0.076
-1309.865,3259.865,-13.671,0.339
-1372.83,3322.83,-12.696,0.053
-1436.124,3386.124,-14.553,0.51
-1499.748,3449.748,-14.217,0.297
-1563.701,3513.701,-12.506,0.087
-1627.984,3577.984,-12.524,0.097
-1692.596,3642.596,-13.538,0.429
-1757.537,3707.537,-13.311,0.036
-1822.808,3772.808,-12.441,0.324
-1888.408,3838.408,-14.467,0.085
-1954.337,3904.337,-10.634,0.322
-2020.596,3970.596,-14.963,0.404
-2087.184,4037.184,-13.624,0.026
-2154.102,4104.102,-13.221,0.426
-2221.349,4171.349,-13.94,0.041
-2288.926,4238.926,-11.694,0.088
-2356.832,4306.832,-13.591,0.055
-2425.067,4375.067,-14.157,0.195
-2493.632,4443.632,-14.076,0.048
-2631.749,4581.749,-12.917,0.633
-2701.302,4651.302,-13.098,0.065
-2771.184,4721.185,-13.05,0.241
-2841.396,4791.396,-13.742,0.51
-2911.937,4861.937,-13.245,0.689
-2982.808,4932.808,-13.121,0.435
-3125.537,5075.537,-11.674,0.016
-3197.396,5147.396,-13.464,0.188
-3342.101,5292.101,-13.866,0.733
-3414.948,5364.948,-11.196,0.231
-3488.124,5438.124,-11.501,0.105
-3561.63,5511.63,-13.237,0.354
-3635.465,5585.465,-11.891,0.38
-3709.63,5659.63,-11.87,0.05
-3784.124,5734.124,-13.965,0.772
-3858.947,5808.947,-13.197,0.357
-3934.1,5884.1,-13.025,0.071
-4009.582,5959.582,-12.347,0.224
-4085.393,6035.393,-13.119,0.751
-4314.804,6264.804,-12.327,0.02
-4391.933,6341.933,-14.141,0.057
-4469.392,6419.392,-12.608,0.037
-4547.18,6497.18,-12.695,0.176
-4625.297,6575.297,-12.916,0.474
-4703.744,6653.744,-13.16,0.056
-4782.52,6732.52,-13.547,0.203
-4861.625,6811.625,-14.839,0.357
-4941.06,6891.06,-12.686,0.051
-5020.824,6970.824,-14.153,0.011
-5100.918,7050.918,-12.767,0.063
-5181.341,7131.341,-10.162,0.386
-5262.094,7212.094,-12.658,0.054
-5343.176,7293.176,-12.823,0.434
-5424.587,7374.587,-15.67,0.445
-5506.328,7456.328,-13.223,0.515
-5588.398,7538.398,-14.865,0.206
-5670.797,7620.797,-12.695,0.641
-5753.526,7703.526,-14.61,0.125
-5836.584,7786.584,-15.055,0.104
-5919.972,7869.972,-12.113,0.172
-6003.689,7953.689,-13.212,0.019
-6087.736,8037.736,-13.811,0.204
-6172.112,8122.112,-16.663,0.419
-6256.817,8206.817,-16.383,0.434
-6341.852,8291.852,-16.065,0.117
-6427.216,8377.216,-15.91,0.102
-6512.909,8462.909,-16.087,0.005
-6598.932,8548.932,-14.933,0.206
-6685.284,8635.284,-16.496,0.594
-6771.966,8721.966,-15.834,0.118
-6858.977,8808.977,-15.495,0.132
-6946.318,8896.318,-13.742,0.028
-7033.988,8983.988,-15.836,0.24
-7121.987,9071.987,-14.624,0.067
-7210.316,9160.316,-13.947,0.14
-7298.974,9248.974,-13.452,0.42
-7387.961,9337.961,-12.64,0.059
-7477.278,9427.278,-12.401,0.216
-7566.925,9516.924,-13.177,0.222
-7656.9,9606.9,-13.449,0.3
-7747.205,9697.205,-14.161,0.55
-7837.84,9787.84,-14.726,0.045
-7928.804,9878.804,-14.859,0.352
