year (AD),age (BP),ELA (m)
1950,0,0
1920,30,-10
1890,60,-55
1860,90,-110
1830,120,-120
1800,150,-120
1770,180,-61
1740,210,-56
1710,240,-51
1680,270,-47
1650,300,-57
1620,330,-52
1590,360,-38
1560,390,-33
1530,420,-58
1500,450,-48
1470,480,-58
1440,510,-54
1410,540,-49
1380,570,-49
1350,600,-54
1320,630,-44
1290,660,-49
1260,690,-45
1230,720,-50
1200,750,-51
1170,780,-55
1140,810,-65
1110,840,-56
1080,870,-56
1050,900,-61
1020,930,-57
990,960,-59
960,990,-62
930,1020,-58
900,1050,-53
870,1080,-58
840,1110,-64
810,1140,-69
780,1170,-74
750,1200,-79
720,1230,-57
690,1260,-55
660,1290,-50
630,1320,-51
600,1350,-46
570,1380,-51
540,1410,-46
510,1440,-46
480,1470,-52
450,1500,-57
420,1530,-52
390,1560,-57
360,1590,-63
330,1620,-68
300,1650,-68
270,1680,-74
240,1710,-79
210,1740,-84
180,1770,-74
150,1800,-60
120,1830,-65
90,1860,-72
60,1890,-51
30,1920,-51
0,1950,-17
-30,1980,-17
-60,2010,-20
-90,2040,3
-120,2070,32
-150,2100,27
-180,2130,-3
-210,2160,-9
-240,2190,1
-270,2220,10
-300,2250,15
-330,2280,19
-360,2310,38
-390,2340,37
-420,2370,41
-450,2400,45
-480,2430,55
-510,2460,45
-540,2490,34
-570,2520,34
-600,2550,38
-630,2580,28
-660,2610,22
-690,2640,17
-720,2670,21
-750,2700,36
-780,2730,70
-810,2760,75
-840,2790,64
-870,2820,74
-900,2850,69
-930,2880,68
-960,2910,98
-990,2940,107
-1020,2970,117
-1050,3000,146
-1080,3030,166
-1110,3060,135
-1140,3090,144
-1170,3120,123
-1200,3150,132
-1230,3180,141
-1260,3210,149
-1290,3240,127
-1320,3270,135
-1350,3300,132
-1380,3330,132
-1410,3360,128
-1440,3390,121
-1470,3420,129
-1500,3450,133
-1530,3480,143
-1560,3510,147
-1590,3540,142
-1620,3570,136
-1650,3600,126
-1680,3630,111
-1710,3660,125
-1740,3690,129
-1770,3720,133
-1800,3750,148
-1830,3780,152
-1860,3810,157
-1890,3840,166
-1920,3870,166
-1950,3900,166
-1980,3930,166
-2000,3950,166
-2050,4000,166
