year (AD),age (BP),Ti (cps)
1839.63,110.37,0.18
1835.21,114.79,0.173
1830.8,119.2,0.147
1826.39,123.61,0.18
1821.97,128.03,0.177
1817.56,132.44,0.203
1813.14,136.86,0.187
1808.73,141.27,0.183
1804.31,145.69,0.167
1799.9,150.1,0.147
1795.48,154.52,0.157
1791.07,158.93,0.13
1786.65,163.35,0.123
1782.24,167.76,0.117
1777.82,172.18,0.127
1773.41,176.59,0.15
1768.99,181.01,0.13
1764.58,185.42,0.143
1760.16,189.84,0.097
1755.75,194.25,0.083
1751.33,198.67,0.07
1746.92,203.08,0.08
1742.5,207.5,0.073
1738.09,211.91,0.057
1733.67,216.33,0.063
1729.26,220.74,0.087
1724.84,225.16,0.107
1720.43,229.57,0.117
1716.01,233.99,0.13
1711.6,238.4,0.14
1707.19,242.81,0.157
1702.77,247.23,0.153
1698.36,251.64,0.15
1693.94,256.06,0.14
1689.53,260.47,0.157
1685.11,264.89,0.157
1680.7,269.3,0.157
1676.28,273.72,0.14
1671.87,278.13,0.14
1667.45,282.55,0.14
1663.04,286.96,0.143
1658.62,291.38,0.127
1654.21,295.79,0.11
1649.42,300.58,0.06
1644.25,305.75,0.09
1639.08,310.92,0.09
1633.92,316.08,0.15
1628.75,321.25,0.127
1623.59,326.41,0.163
1618.42,331.58,0.127
1613.25,336.75,0.147
1608.09,341.91,0.12
1602.92,347.08,0.15
1597.76,352.24,0.15
1592.59,357.41,0.147
1587.42,362.58,0.13
1582.26,367.74,0.117
1577.09,372.91,0.113
1571.93,378.07,0.11
1566.76,383.24,0.087
1561.59,388.41,0.107
1556.43,393.57,0.123
1551.26,398.74,0.157
1546.09,403.91,0.157
1540.93,409.07,0.14
1535.76,414.24,0.133
1530.6,419.4,0.147
1525.43,424.57,0.177
1520.26,429.74,0.203
1515.1,434.9,0.2
1509.93,440.07,0.19
1504.77,445.23,0.153
1499.6,450.4,0.157
1494.43,455.57,0.143
1489.27,460.73,0.157
1484.1,465.9,0.15
1478.94,471.06,0.163
1473.77,476.23,0.17
1468.6,481.4,0.173
1463.44,486.56,0.177
1458.27,491.73,0.167
1453.11,496.89,0.157
1447.94,502.06,0.15
1442.77,507.23,0.17
1437.61,512.39,0.19
1432.44,517.56,0.197
1427.27,522.73,0.195
1422.11,527.89,0.19
1416.94,533.06,0.185
1411.78,538.22,0.173
1406.61,543.39,0.16
1401.44,548.56,0.163
1396.28,553.72,0.187
1391.11,558.89,0.183
1385.95,564.05,0.197
1380.78,569.22,0.19
1375.61,574.39,0.213
1370.45,579.55,0.203
1365.28,584.72,0.203
1360.12,589.88,0.193
1354.95,595.05,0.203
1349.78,600.22,0.21
1344.62,605.38,0.22
1339.45,610.55,0.207
1334.28,615.72,0.203
1329.12,620.88,0.207
1323.95,626.05,0.223
1318.79,631.21,0.217
1313.62,636.38,0.223
1308.45,641.55,0.21
1303.29,646.71,0.233
1298.12,651.88,0.21
1292.96,657.04,0.223
1287.79,662.21,0.21
1282.62,667.38,0.213
1277.46,672.54,0.207
1272.29,677.71,0.183
1267.13,682.87,0.157
1261.96,688.04,0.137
1256.79,693.21,0.14
1251.63,698.37,0.187
1246.46,703.54,0.197
1241.29,708.71,0.193
1236.13,713.87,0.18
1230.96,719.04,0.19
1225.8,724.2,0.213
1220.63,729.37,0.21
1215.46,734.54,0.21
1210.3,739.7,0.2
1205.13,744.87,0.19
1199.97,750.03,0.187
1194.8,755.2,0.18
1189.63,760.37,0.187
1184.47,765.53,0.183
1179.3,770.7,0.197
1174.14,775.86,0.203
1168.97,781.03,0.197
1163.8,786.2,0.183
1158.64,791.36,0.17
1153.47,796.53,0.177
1148.31,801.69,0.18
1143.14,806.86,0.187
1137.97,812.03,0.173
1132.81,817.19,0.17
1127.64,822.36,0.157
1122.47,827.53,0.16
1117.31,832.69,0.17
1112.14,837.86,0.187
1106.98,843.02,0.187
1101.81,848.19,0.167
1096.64,853.36,0.16
1091.48,858.52,0.157
1086.31,863.69,0.17
1081.15,868.85,0.18
1075.98,874.02,0.183
1070.81,879.19,0.18
1065.65,884.35,0.177
1060.48,889.52,0.193
1055.32,894.68,0.2
1050.15,899.85,0.207
1044.98,905.02,0.203
1039.82,910.18,0.217
1034.65,915.35,0.22
1029.48,920.52,0.223
1024.32,925.68,0.233
1019.15,930.85,0.223
1013.99,936.01,0.217
1008.82,941.18,0.2
1003.65,946.35,0.193
998.49,951.51,0.193
993.32,956.68,0.19
988.16,961.84,0.21
982.99,967.01,0.217
977.82,972.18,0.21
972.66,977.34,0.21
967.49,982.51,0.213
962.33,987.67,0.233
957.16,992.84,0.223
951.99,998.01,0.233
946.8,1003.2,0.237
941.7,1008.3,0.24
936.5,1013.5,0.223
931.3,1018.7,0.217
926.2,1023.8,0.213
921,1029,0.207
915.8,1034.2,0.217
910.7,1039.3,0.227
905.5,1044.5,0.233
900.3,1049.7,0.213
895.2,1054.8,0.187
890,1060,0.183
883.9,1066.1,0.17
877.8,1072.2,0.173
871.7,1078.3,0.183
865.6,1084.4,0.19
859.5,1090.5,0.197
853.5,1096.5,0.18
847.4,1102.6,0.17
841.3,1108.7,0.16
835.2,1114.8,0.163
829.1,1120.9,0.16
823,1127,0.173
816.9,1133.1,0.173
810.8,1139.2,0.183
804.7,1145.3,0.17
798.6,1151.4,0.177
792.6,1157.4,0.177
786.5,1163.5,0.173
780.4,1169.6,0.16
774.3,1175.7,0.16
768.2,1181.8,0.167
762.1,1187.9,0.17
756,1194,0.157
749.9,1200.1,0.143
743.8,1206.2,0.143
737.7,1212.3,0.16
