depth (cm),age (BP),age (yr),temperature (degC),uncertaintyHigh (degC),uncertaintyLow (degC)
0.5,-48,7,20.5,0.4,0.4
1.5,-32,9,20.1,0.2,0.2
2.5,-14,9,19.5,0.1,0.1
3.5,3,8,19.6,0.4,0.4
4.5,22,11,19.5,0.3,0.3
5.5,43,10,19,0.4,0.4
6.5,174,121,19.7,0.6,0.6
7.5,393,99,19.9,0.2,0.2
8.5,1083,591,20.1,0.2,0.2
11.5,2939,163,20,0.4,0.4
12.5,3284,182,20.8,0.1,0.1
13.5,3631,164,20.4,0.3,0.3
14.5,3996,201,19.6,0.3,0.3
15.5,4523,326,20.4,0.3,0.3
16.5,5153,304,20.3,0.2,0.2
17.5,5761,304,21.4,0.2,0.2
18.5,6399,334,21.1,0.2,0.2
19.5,7083,351,20.7,0.3,0.3
20.5,8108,674,20.5,0.2,0.2
21.5,9424,642,20.4,0.5,0.5
22.5,10699,633,20,0.1,0.1
23.5,11949,618,20.6,0.2,0.2
24.5,13275,708,21.5,0.4,0.4
26.5,18784,500,16.3,0.4,0.4
27.5,19767,484,16.5,0.4,0.4
28.5,20740,489,17,0.4,0.4
29.5,21779,550,16.9,0.2,0.2
30.5,22913,584,1.3,0.4,0.4
31.5,24048,552,16.9,0.5,0.5
32.5,25215,616,17.5,0.1,0.1
33.5,26388,557,17.6,0.5,0.5
34.5,27550,605,17.7,0.3,0.3
35.5,28852,697,17.2,0.3,0.3
36.5,30198,649,17.2,0.1,0.1
37.5,31556,710,18.3,0.3,0.3
39.5,34267,700,18.1,0.4,0.4
40.5,35138,171,18,0.3,0.3
42.5,35843,169,18.3,0.3,0.3
43.5,36193,180,18,0.2,0.2
44.5,36613,240,18.5,0.3,0.3
45.5,37261,407,18.3,0.2,0.2
