age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (2s),cal_age_range_old (bp),cal_age_range_young (bp),thickness (mm),age_type (),lab_id (),material_dated (),note ()
530,415,4100,4200,520,70,650,480,100,2,NA,NA,1
1740,515,5100,5200,1810,80,1900,1540,100,1,9,1,NA
3310,615,6100,6200,3080,90,3480,3010,100,1,8,1,NA
4170,715,7100,7200,3790,60,4380,3970,100,1,7,1,NA
4950,815,8100,8200,4400,80,5300,4840,100,1,6,1,NA
6160,915,9100,9200,5350,80,6300,5940,100,1,5,1,NA
7240,1015,10100,10200,6310,60,7370,7050,100,1,4,1,NA
8020,1115,11100,11200,7230,80,8190,7900,100,1,3,1,NA
8510,1215,12100,12200,7750,100,8770,8370,100,1,2,1,NA
9100,1265,12600,12700,8180,70,9370,8990,100,1,1,1,NA
