year (AD),age (BP),depth (m),dust (percent),AlProp (missing),SiProp (missing),KProp (missing),CaProp (missing),TiProp (missing),FeProp (missing),UncertaintyDust0x5B0x250x5D0x28Plus0x29 (missing),UncertaintyDust0x5B0x250x5D0x28Minus0x29 (missing)
-260,2210,0.02,1.2,0.147,0.305,0.02,0.448,0.01,0.071,1.7,0
-640,2590,0.03,3.6,0.143,0.311,0.02,0.448,0.009,0.069,4.6,2.3
-1020,2970,0.04,2.8,0.148,0.313,0.02,0.444,0.009,0.066,4.5,1.6
-1400,3350,0.05,1.8,0.144,0.307,0.02,0.451,0.009,0.068,4.7,0.5
-1780,3730,0.06,1.2,0.158,0.3,0.019,0.449,0.009,0.065,0,0
-2160,4110,0.07,1.2,0.155,0.292,0.018,0.46,0.009,0.066,0,0
-2540,4490,0.08,1.2,0.157,0.291,0.016,0.464,0.008,0.063,0,0
-2920,4870,0.09,1.3,0.153,0.301,0.016,0.464,0.008,0.059,1,0
-3300,5250,0.1,1.2,0.151,0.288,0.015,0.463,0.008,0.074,0,0
-3680,5630,0.11,1.2,0.139,0.284,0.015,0.473,0.007,0.082,0,0
-4060,6010,0.12,1.2,0.157,0.284,0.014,0.476,0.008,0.062,0,0
-4440,6390,0.13,1.3,0.147,0.286,0.014,0.486,0.007,0.059,0,0
-4820,6770,0.14,1.2,0.155,0.28,0.013,0.492,0.008,0.052,0,0
-5200,7150,0.15,1.2,0.161,0.294,0.013,0.464,0.009,0.059,0,0
-5580,7530,0.16,1.1,0.171,0.305,0.014,0.441,0.009,0.061,0,0
-5960,7910,0.17,1.1,0.166,0.325,0.016,0.4,0.009,0.084,0,0
-6340,8290,0.18,1.2,0.14,0.312,0.016,0.421,0.009,0.103,0,0
-6720,8670,0.19,1.1,0.178,0.329,0.015,0.399,0.009,0.07,0,0
-7100,9050,0.2,1.1,0.177,0.327,0.015,0.402,0.009,0.071,0,0
-7480,9430,0.21,1.1,0.179,0.333,0.015,0.396,0.009,0.069,0,0
-7860,9810,0.22,1.7,0.177,0.349,0.016,0.375,0.01,0.074,3.3,0.6
