year (AD),age (BP),d18O (permil),d13C (permil),TIC (percent),TOC (percent)
931.72,1018.28,27.71,-0.13,3.5,0.62
868.58,1081.42,27.47,1.85,2.32,3.67
796.42,1153.58,27.49,2.51,2.72,3.35
715.24,1234.76,26.14,3.55,3.02,1.45
625.04,1324.96,27.16,3.54,2.83,1.25
534.84,1415.16,27.52,3.73,3.97,0.46
462.68,1487.32,27.82,3.55,2.87,1.57
399.54,1550.46,27.3,3,3.12,2.01
318.36,1631.64,27,4.02,3.5,0.69
228.16,1721.84,26.46,4.15,4.13,0.42
137.96,1812.04,27.75,3.6,3.19,1.56
47.76,1902.24,27.68,3.6,3.04,1.48
-33.42,1983.42,27.37,3.71,3.35,0.38
-105.58,2055.58,26.63,4.03,3.72,0.45
-168.72,2118.72,27.09,3.29,2.42,1.49
-240.88,2190.88,27.38,4.07,3.68,0.37
-322.06,2272.06,27.1,3.78,2.76,0.7
-403.24,2353.24,27.32,3.93,2.61,0.76
-475.4,2425.4,27.23,3.87,2.75,0.45
-538.54,2488.54,27.65,2.83,2.02,2.69
-601.68,2551.68,27.98,3.94,4.25,0.99
-673.84,2623.84,27.02,3.55,2.55,0.54
-764.04,2714.04,27.77,4.19,4.87,0.93
-836.2,2786.2,27.24,4.2,4.73,0.61
-899.34,2849.34,26.68,4.18,5.51,0.16
-971.5,2921.5,26.71,4.07,6.22,0.14
-1160.92,3110.92,26.348,3.923,6.14,0.26
-1251.12,3201.12,26.855,4.125,3.4,0.49
-1314.26,3264.26,28.235,4.941,4.61,0.77
-1354.85,3304.85,28.291,4.889,4.33,0.65
-1386.42,3336.42,28.122,4.261,3,0.49
-1440.54,3390.54,27.48,2.72,2.51,1.78
-1490.15,3440.15,28.288,4.003,3.39,0.53
-1548.78,3498.78,27.55,2.994,2.53,1.4
-1657.02,3607.02,27.783,3.344,2.95,0.88
-1774.28,3724.28,27.794,4.63,5.73,0.62
-1864.48,3814.48,27.832,4.083,5.27,0.06
-1945.66,3895.66,27.828,4.862,5.37,0.99
-2008.8,3958.8,28.07,4.51,4.2,1.38
-2071.94,4021.94,27.618,4.282,5.06,0.46
-2180.18,4130.18,27.388,4.386,6.42,0.46
-4314.605,6264.605,27.281,4.653,6.22,0.47
-4353.195,6303.195,27.43,3.77,3.21,0.33
-4385.849,6335.849,26.923,3.043,1.91,0.35
-4474.904,6424.904,27.165,3.629,3.83,0.73
-4513.494,6463.494,27.05,3.412,2.61,0.58
-4543.179,6493.179,28.045,3.45,2.25,0.6
-4566.927,6516.927,27.148,2.567,2.14,0.25
-4593.644,6543.644,27.33,2.21,2.23,1.09
-4620.36,6570.36,26.977,1.911,1.87,0.78
-4647.077,6597.077,27.864,4.423,6.15,0.68
-4670.824,6620.824,27.723,3.832,5.28,0.52
-4694.573,6644.573,28.351,4.994,7.74,0.74
-4724.257,6674.257,27.982,4.166,5.68,1.03
-4753.943,6703.943,28.616,4.413,5.85,0.55
-4783.627,6733.627,27.661,2.027,2.34,0.51
-4816.281,6766.281,27.037,1.635,1.79,0.49
-4851.903,6801.903,27.88,3.31,3.07,0.5
-4878.619,6828.619,27.88,3.31,4.04,0.91
-4905.336,6855.336,27.83,2.85,3.05,0.84
-4943.926,6893.926,28.046,2.865,3.2,0.62
-4976.58,6926.58,28.474,4.28,6.69,0.73
-5003.297,6953.297,28.798,4.278,4.87,0.76
-5032.981,6982.981,NA,NA,3.09,0.61
-5068.604,7018.604,28.506,4.115,5.09,0.65
-5107.194,7057.194,27.501,2.153,2.51,0.78
-5142.816,7092.816,28.254,4.009,5.67,0.89
-5178.438,7128.438,28.3,4.216,6.88,1.08
-5214.06,7164.06,27.986,4.339,7.74,1.28
-5237.808,7187.808,27.031,0.259,2.29,0.72
-5252.65,7202.65,29.464,2.398,3.18,0.94
-5277.36,7227.36,27.787,4.927,8.31,1.44
-5353.24,7303.24,28.505,4.126,5.82,0.96
-5439.96,7389.96,27.448,1.286,2.7,2.02
-5537.52,7487.52,27.579,0.572,2.33,2.56
-5667.6,7617.6,28.691,0.616,4.46,0.76
-5819.36,7769.36,28.014,0.274,3.98,1.05
-5971.12,7921.12,28.09,-0.14,3.13,1.52
-6122.88,8072.88,26.93,-0.08,2.41,1.95
-6968.4,8918.4,27.469,0.995,3.29,1.81
-7076.8,9026.8,27.08,0.98,2.69,1.96
-7185.2,9135.2,27.44,1.26,3.12,1.6
-7277.578,9227.577,26.599,0.676,2.58,1.88
-7294.413,9244.413,27.586,1.209,2.21,2.39
-7311.248,9261.247,27.746,1.535,2.17,2.16
-7328.083,9278.083,27.952,1.71,2.31,2.78
-7344.917,9294.917,28.516,1.885,2.84,2.79
-7361.752,9311.753,26.165,0.737,2.64,2.14
-7378.587,9328.587,25.867,0.464,2.17,1.99
-7395.422,9345.423,26.141,0.479,2.34,2.04
-7412.257,9362.257,26.637,0.404,2.32,2.13
-7429.092,9379.093,26.385,0.407,2.57,2.05
-7445.927,9395.927,27.181,0.628,2.53,2.43
-7513.267,9463.267,27.469,3.256,2.95,2.66
-7530.102,9480.103,27.022,2.895,2.46,2.87
-7546.938,9496.938,26.969,3.228,3.04,2.59
-7563.773,9513.772,27.16,3.34,3.17,2.33
-7580.608,9530.608,27.91,2.93,3.12,3.22
-7597.443,9547.442,28.18,2.87,3.4,2.75
-7614.278,9564.278,27.662,2.676,3.35,2.45
-7631.113,9581.112,27.802,2.651,3.28,2.53
-7647.948,9597.948,27.519,2.476,3.01,3.48
-7664.783,9614.782,26.755,1.951,2.73,3.96
-7681.618,9631.618,22.7,1.35,3.12,2.96
-7698.453,9648.452,21.267,0.996,2.49,2.8
-7715.288,9665.288,20.503,1.116,2.03,2.92
-7732.123,9682.122,20.743,1.334,1.95,2.87
-7748.958,9698.958,19.42,1.32,0.361,2.859
-7765.792,9715.792,23.181,1.102,0.112,2.748
-7782.627,9732.628,23.853,1.724,0.143,2.827
-7799.462,9749.462,20.827,1.467,0.196,2.784
-7876.904,9826.904,26.991,2.22,3.45,2.29
-7893.739,9843.738,27.091,3.157,3.11,2.5
-7910.574,9860.574,26.904,3.092,3.23,2.45
-7927.408,9877.408,27.478,2.732,3.17,2.88
-7944.243,9894.244,28.313,2.788,3.05,3.05
-7961.078,9911.078,27.531,2.732,3.33,2.49
-8037.362,9987.362,27.291,2.404,2.98,2.95
-8138.711,10088.711,27.922,2.512,3.15,3.29
-8238.861,10188.861,23.73,1.454,3.72,2.4
-8337.811,10287.811,21.786,1.071,3.14,2.53
-8435.562,10385.562,20.766,0.807,2.77,2.45
-8532.113,10482.113,20.637,1.166,2.25,2.66
-8627.465,10577.465,20.537,1.372,0.21,4.74
-8721.618,10671.618,18.514,0.511,0.23,2.68
-8814.57,10764.57,22.81,1.7,0.13,2.73
-8906.324,10856.324,19.371,1.234,0.15,2.4
-8969.837,10919.837,26.75,2.49,3.39,1.84
-9304.37,11254.37,20.167,1.397,0.76,2.78
-9381.064,11331.064,20.12,1.627,0.62,2.8
-9465.141,11415.141,18.168,1.264,0.55,2.53
-9548.018,11498.018,20.505,2.029,0.83,2.25
-9629.695,11579.695,19.564,1.684,1.2,2.28
-9710.173,11660.173,18.802,1.734,1.23,2.25
-9789.452,11739.452,18.466,1.63,1.04,2.44
-9867.531,11817.531,19.657,1.635,1.17,2.31
-9944.41,11894.41,18.119,0.714,0.84,2.06
-10020.09,11970.09,19.04,1.31,0.85,2.08
-10094.571,12044.571,18.465,0.871,1.03,2.11
-10167.852,12117.852,19.222,1.498,1.2,2.3
-10239.933,12189.933,20.144,1.883,1.59,2.27
-10310.815,12260.815,18.885,1.103,1.51,2.17
-10380.498,12330.498,18.9,0.84,1.15,2.1
-10448.981,12398.981,18.825,1.119,1.16,2.29
-10516.264,12466.264,19.279,1.027,0.73,2.11
-10582.348,12532.348,18.355,0.553,0.29,2.34
-10710.918,12660.918,18.385,1.1,0.5,2.44
-10773.403,12723.403,18.985,0.745,0.42,2.73
-10834.689,12784.689,19.143,0.807,0.82,2.34
-10894.776,12844.776,20.741,1.181,0.59,2.38
-10953.663,12903.663,21.195,1.646,0.71,2.42
-11011.35,12961.35,24.49,3.77,1.09,2.46
-11067.838,13017.838,23.829,-0.073,0.02,2.47
-11123.127,13073.127,NA,NA,0,2.04
-11177.216,13127.216,NA,NA,0,1.87
-11230.105,13180.105,NA,NA,0,1.91
-11281.795,13231.795,NA,NA,0,1.63
-11322.283,13272.283,NA,NA,0.01,1
-11347.199,13297.199,NA,NA,0,0.61
-11381.577,13331.577,NA,NA,0,0.46
-11429.668,13379.668,NA,NA,0,0.36
-11476.56,13426.56,NA,NA,0,0.44
-11522.253,13472.253,NA,NA,0,0.4
-11566.746,13516.746,26.162,0.329,0.03,0.36
