depth (m),age (BP),temperature (degC),Uk37 (missing),C37.concentration (g)
0,932,16.98,0.6,171.4
0.02,1104,17.19,0.61,157.5
0.04,1275,17.3,0.61,167.5
0.06,1447,17.07,0.61,175.8
0.08,1619,17.16,0.61,194
0.12,1962,17.32,0.62,217.4
0.14,2134,17.18,0.61,174.5
0.16,2305,17.2,0.61,222.8
0.18,2477,17.12,0.61,225.9
0.2,2649,17.18,0.61,181.7
0.22,2820,17.14,0.61,188.4
0.24,2992,16.84,0.6,217
0.26,3153,16.93,0.6,218.9
0.28,3304,17.07,0.61,197.1
0.3,3454,17.23,0.61,250.6
0.32,3604,17.15,0.61,386.8
0.34,3755,17.27,0.61,234.7
0.36,3905,17.52,0.62,178.8
0.38,4056,16.98,0.6,459.9
0.4,4206,17.26,0.61,269.8
0.42,4357,17.13,0.61,253.7
0.44,4507,17.34,0.62,175.9
0.46,4657,17.72,0.63,187
0.48,4808,17.75,0.63,183.8
0.5,4958,17.98,0.64,129.1
0.52,5109,17.76,0.63,127.9
0.54,5259,17.58,0.62,189.8
0.56,5409,17.65,0.63,171.7
0.6,5710,17.21,0.61,399.7
0.62,5927,16.74,0.6,445.7
0.64,6210,16.96,0.6,431.5
0.66,6494,17.24,0.61,423.4
0.68,6777,17.47,0.62,219.4
0.7,7060,17.67,0.63,180.6
0.72,7344,17.86,0.63,253.8
0.74,7627,18.32,0.65,209
0.76,7910,17.89,0.63,258.3
0.78,8194,17.64,0.63,320.5
0.8,8477,17.62,0.63,294.3
0.82,8760,18.16,0.64,282
0.84,9044,18.2,0.64,319.6
0.86,9327,18.01,0.64,332.4
0.88,9610,17.95,0.64,309.2
0.9,9894,17.76,0.63,356.2
0.92,10177,18.04,0.64,353.1
0.94,10460,18.05,0.64,350.8
0.96,10744,17.81,0.63,365.6
0.98,11027,17.81,0.63,391
1,11216,18.32,0.65,387.8
1.02,11310,18.11,0.64,366
1.04,11404,17.9,0.63,387.4
1.06,11498,17.94,0.64,391.7
1.08,11592,17.86,0.63,357.8
1.1,11686,17.87,0.63,489.3
1.12,11780,17.73,0.63,447.3
1.14,11874,17.27,0.61,439.2
1.16,11968,17.12,0.61,350.1
1.18,12062,16.92,0.6,386
1.2,12156,16.53,0.59,395.3
1.22,12605,16.35,0.58,398.3
1.24,13053,16.6,0.59,393.1
1.26,13502,17.24,0.61,539.1
1.28,13950,16.64,0.59,377.5
1.3,14399,15.97,0.57,300.6
1.32,14649,16.26,0.58,381.4
1.34,14899,15.96,0.57,318.8
1.36,15149,15.53,0.56,251.3
1.38,15399,14.59,0.53,127.1
1.4,15916,13.8,0.5,101
1.42,16433,13.34,0.48,99.3
1.44,16950,13.14,0.48,108.9
1.46,17467,13.5,0.49,150.3
1.48,17685,12.79,0.47,145.1
1.5,17903,12.69,0.46,199.1
1.52,18121,12.75,0.46,228.8
1.54,18339,13.95,0.5,227
1.56,18557,14.14,0.51,281.8
1.58,18635,14.25,0.51,321.5
1.6,18713,14.65,0.53,438.8
1.62,18791,15.04,0.54,436.8
1.64,18869,14.69,0.53,563.9
1.66,18946,14.66,0.53,592.6
1.68,19024,14.44,0.52,534.3
1.7,19102,14.25,0.51,637.2
1.72,19180,14.52,0.52,548.1
