depth (cm),depth (mm),age (BP),temperature (degC)
3.5,40,-27.942,12.443
6.5,70,-4.103,11.831
9.5,100,20.34,11.981
11,120,36.974,12.149
13,140,53.882,12.684
16,170,79.779,11.788
21,220,126.302,12.245
29.5,300,210.075,11.863
31.5,320,232.562,11.621
33.5,340,255.585,11.8
39.5,400,327.472,12.169
41.5,420,352.239,11.774
43.5,440,377.341,12.187
49.5,500,454.254,11.784
51.5,520,480.293,12.144
53.5,540,506.466,12.365
56.5,570,545.887,12.074
59.5,600,585.382,11.646
73.5,740,766.664,12.389
81.5,820,864.32,11.372
86,865,921.505,11.757
96.5,970,1013.981,11.896
99.5,1000,1065.117,11.6
101.5,1020,1099.397,11.517
103.5,1040,1132.006,12.418
106.5,1070,1177.84,11.682
109.5,1100,1220.048,11.951
111.5,1120,1246.214,12.028
116.5,1170,1303.688,11.625
127,1275,1343.367,12.11
131.5,1320,1351.583,11.808
133.5,1340,1366.505,11.816
137,1375,1375.924,12.347
147,1475,1529.324,12.115
149.5,1500,1548.683,11.737
151.5,1520,1611.024,11.907
151.5,1520,1656.11,11.798
157,1575,1703.992,12.076
159.5,1600,1781.009,12.278
164,1645,1864.193,12.438
169,1695,1956,12.479
175,1760,2076,12.19
186,1865,2360,12.089
198,1985,2727,12.284
214,2145,3121,12.13
222,2225,3261,11.76
232,2325,3423,12.373
242,2430,3577,11.691
250,2510,3698,12.933
268,2685,3947,12.15
276,2765,4032,11.886
286,2865,4128,11.838
298,2985,4275,11.785
306,3070,4402,12.236
314,3150,4535,12.221
326,3270,4751,12.077
339,3395,5011,12.517
347,3480,5185,12.389
352,3530,5285,11.698
357,3580,5394,11.46
363,3640,5537,11.607
368,3690,5655,11.699
373,3740,5775,11.804
378,3790,5899,11.572
381,3815,5976,12.218
384,3850,6056,11.773
389,3900,6195,11.663
394,3950,6345,11.149
399,4000,6507,11.446
405,4060,6715,12.162
410,4110,6896,11.914
415,4160,7085,11.798
420,4210,7282,11.76
425,4260,7487,11.804
430,4310,7699,12.345
435,4355,7919,12.04
441,4415,8198,12.119
446,4470,8451,11.925
451,4515,8721,12.134
454,4545,8899,12.417
457,4575,9077,12.463
462,4630,9384,12.508
465,4655,9574,12.164
