depth (cm),age (BP),temperature (degC)
808,-43.5,12.127
812,125.72,11.466
816,305.98,11.838
820,485.73,11.215
824,664.72,10.916
828,842.68,11.618
832,1019.33,11.941
836,1194.42,11.738
840,1367.69,11.2
844,1538.89,11.562
848,1708.44,11.396
852,1877.25,12.101
856,2046.27,11.968
860,2216.44,12.049
864,2388.72,11.604
868,2564.03,11.843
872,2743.34,11.734
876,2927.57,12.199
880,3117.68,12.302
884,3314.62,12.216
888,3519.32,12.52
892,3732.72,12.247
896,3955.79,12.153
900,4189.44,12.453
904,4434.17,12.698
908,4689.71,12.677
912,4955.73,12.536
916,5231.89,12.07
920,5517.87,12.338
924,5813.34,12.485
928,6117.95,12.512
932,6431.39,12.576
936,6753.31,12.852
940,7083.38,12.535
944,7421.28,12.664
948,7766.55,13.067
950,7941.7,12.957
952,8118.38,12.498
954,8296.47,12.515
956,8475.87,12.78
958,8656.46,12.465
960,8838.12,12.86
962,9020.71,12.399
