depth (cm),age (yr bp),errorpositive (yr),errornegative (yr),type (unitless)
10,160,90,90,AMS14C
58,1150,55,50,AMS14C
108,4175,45,45,AMS14C
158,5910,45,45,AMS14C
208,6605,60,60,AMS14C
255.5,8040,55,55,AMS14C
305.5,8670,80,70,AMS14C
355.5,9130,90,80,AMS14C
405.5,10515,60,60,AMS14C
455.5,11630,80,80,AMS14C
505.5,12780,70,70,AMS14C
555.5,14900,80,80,AMS14C
605.5,22690,170,170,AMS14C
655.5,29000,360,340,AMS14C
705.5,35840,830,750,AMS14C
