depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
10,143,19.086,-12.557,4.158,1074.286
20,286,18.057,-12.771,3.426,1104.143
40,572,17.729,-10.486,4.181,1070.429
60,858,18.557,-10.157,4.677,1057
80,1147,18.071,-10.314,4.442,1064.857
100,1456,18.029,-11.457,3.918,1172.143
120,1765,17.757,-11.143,3.914,1138.429
140,2074,17.871,-11.543,3.739,1162.286
160,2383,17.214,-11.043,3.592,1200.143
180,2692,18.829,-11.3,4.481,1108.571
200,3001,19.6,-11.414,4.907,1094.714
220,3310,19.286,-12.371,4.37,1062.857
240,3619,18.029,-11.457,3.918,1172.143
260,3928,18.871,-10.1,4.91,1061.286
280,4338,17.871,-12.614,3.327,1147.857
300,5449,17.2,-13.3,2.705,1220.571
320,6561,18.543,-12.157,3.987,1011.857
