depth (cm),temperature (degC)
0.158,10.882
1.3,10.196
2.232,12.293
3.256,11.972
4.116,11.195
5.25,11.011
6.282,10.097
7.241,10.324
8.156,9.684
9.203,11.69
10.174,11.049
11.119,12.28
12.212,11.092
13.211,12.459
14.118,12.367
15.216,10.814
16.235,10.766
17.181,11.906
18.129,12.908
18.641,12.77
19.156,12.359
19.737,11.263
20.26,10.304
20.804,11.9
21.153,11.215
22.083,13.495
23.001,12.672
23.323,13.904
23.789,12.945
24.128,12.99
25.09,12.989
25.917,14.584
26.415,11.39
26.988,10.887
28.066,10.703
29.344,8.419
