depth (cm),age (BP),temperature (degC),temperature (degC),tempSmooth5 (degC),tempAv8 (degC),tempAv0 (degC),LakeName (missing)
0.5,-274.878,8.335,-0.765,NA,NA,NA,3M
0.01,-235.029,9.322,-0.578,NA,NA,NA,Cabin
1,-127.935,12.203,-1.697,-0.441,NA,NA,Frozen
0.025,-122.251,11.796,0.696,-0.548,NA,NA,LOWoods
0.025,7.341,10.738,0.138,-0.876,-0.767,NA,Crater
5,65.445,12.599,-1.301,-0.62,-0.479,-0.48,Frozen
2.5,91.345,6.883,-2.217,-0.451,-0.433,-0.471,3M
0.125,107.009,10.186,-0.414,-0.519,-0.304,-0.29,Crater
0.225,230.581,12.139,1.539,-0.393,-0.237,0.086,Crater
0.155,244.147,9.696,-0.204,0.296,0.003,-0.127,Cabin
10,307.17,13.232,-0.668,0.792,-0.014,-0.275,Frozen
0.325,378.056,11.828,1.228,0.196,0.095,-0.092,Crater
0.125,410.105,13.165,2.065,-0.031,0.214,0.019,LOWoods
4.5,457.567,7.66,-1.44,0.208,-0.117,0.089,3M
15,548.895,12.559,-1.341,-0.259,-0.055,-0.088,Frozen
0.425,549.435,11.13,0.53,-0.613,-0.001,-0.157,Crater
0.305,739.847,8.791,-1.109,-0.371,-0.267,0.05,Cabin
0.525,744.716,10.893,0.293,-0.283,-0.349,-0.127,Crater
20,790.62,13.669,-0.231,-0.108,-0.237,-0.492,Frozen
6.5,823.79,8.199,-0.901,0.005,-0.267,-0.468,3M
0.225,930.654,12.505,1.405,-0.37,-0.484,-0.37,LOWoods
0.625,963.9,10.056,-0.544,-0.565,-0.391,-0.394,Crater
25,1032.345,12.32,-1.58,-0.457,-0.39,-0.248,Frozen
8.5,1190.013,7.897,-1.203,-0.679,-0.318,-0.241,3M
0.725,1206.987,10.235,-0.365,-0.501,-0.16,-0.322,Crater
0.455,1235.547,10.196,0.296,-0.111,-0.465,-0.303,Cabin
30,1274.07,14.249,0.349,-0.079,-0.486,-0.52,Frozen
0.325,1439.396,11.465,0.365,-0.148,-0.385,-0.455,LOWoods
0.825,1473.978,9.56,-1.04,-0.362,-0.221,-0.399,Crater
